Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
35.0,Lonwabo Mvovo,South Africa,976.0,85.0,94.0,137.0,58.0,68.0,56.0,37.0,48.0,20.0,69.0,24.0,87.0,38.0,107.0,16.0,7.0,25.0
36.0,Joshua T. Makuwa,Zimbabwe,987.0,131.0,166.0,19.0,20.0,24.0,22.0,69.0,48.0,67.0,69.0,46.0,142.0,9.0,107.0,16.0,7.0,25.0
37.0,Zandré Calitz,South Africa,990.0,45.0,80.0,100.0,60.0,68.0,56.0,69.0,48.0,233.0,24.0,36.0,35.0,44.0,44.0,16.0,7.0,25.0
38.0,Patrick Ellis,South Africa,994.0,55.0,79.0,15.0,29.0,22.0,19.0,48.0,24.0,16.0,69.0,61.0,77.0,325.0,107.0,16.0,7.0,25.0
39.0,Arinze Owoh,Nigeria,1038.0,140.0,54.0,49.0,77.0,68.0,56.0,27.0,48.0,80.0,69.0,49.0,119.0,47.0,107.0,16.0,7.0,25.0
40.0,Mohamed Ben Driss Chokri,Morocco,1046.0,65.0,23.0,135.0,87.0,68.0,56.0,38.0,30.0,62.0,66.0,189.0,81.0,2.0,104.0,16.0,7.0,17.0
41.0,Anass Doublal,Morocco,1048.0,111.0,97.0,111.0,94.0,68.0,56.0,44.0,4.0,94.0,69.0,108.0,4.0,33.0,107.0,16.0,7.0,25.0
41.0,Justin Zhang,South Africa,1048.0,48.0,99.0,43.0,64.0,46.0,35.0,69.0,48.0,118.0,54.0,85.0,116.0,68.0,107.0,16.0,7.0,25.0
43.0,Taariq Hassim,South Africa,1052.0,165.0,185.0,36.0,26.0,32.0,31.0,22.0,29.0,157.0,23.0,70.0,93.0,105.0,49.0,12.0,7.0,10.0
44.0,Christian Lacle,Togo,1064.0,39.0,115.0,37.0,22.0,34.0,38.0,64.0,33.0,57.0,69.0,162.0,209.0,74.0,63.0,16.0,7.0,25.0
45.0,Brendan James Gray,South Africa,1065.0,247.0,276.0,102.0,91.0,44.0,40.0,17.0,5.0,50.0,16.0,71.0,25.0,23.0,19.0,13.0,7.0,19.0
46.0,Shane Swanepoel,South Africa,1090.0,141.0,42.0,64.0,76.0,41.0,42.0,69.0,21.0,91.0,58.0,147.0,58.0,85.0,107.0,16.0,7.0,25.0
47.0,Anas Meziani,Morocco,1112.0,94.0,51.0,25.0,28.0,53.0,56.0,68.0,48.0,17.0,69.0,34.0,196.0,250.0,75.0,16.0,7.0,25.0
48.0,Jaco Momberg,South Africa,1121.0,145.0,226.0,136.0,43.0,37.0,27.0,20.0,30.0,133.0,65.0,74.0,38.0,46.0,53.0,16.0,7.0,25.0
49.0,Jaron Weyermüller,South Africa,1128.0,83.0,108.0,68.0,61.0,68.0,56.0,26.0,48.0,71.0,69.0,51.0,242.0,78.0,51.0,16.0,7.0,25.0
50.0,Quinton Scholtz,South Africa,1131.0,103.0,40.0,67.0,104.0,68.0,56.0,69.0,42.0,227.0,25.0,86.0,39.0,96.0,61.0,16.0,7.0,25.0
51.0,Tristan Ford,South Africa,1158.0,154.0,210.0,115.0,100.0,68.0,56.0,32.0,48.0,112.0,12.0,27.0,139.0,8.0,29.0,16.0,7.0,25.0
52.0,Mohannad Mahmoud Fathy,Egypt,1176.0,27.0,32.0,22.0,54.0,68.0,56.0,69.0,48.0,105.0,69.0,135.0,45.0,325.0,73.0,16.0,7.0,25.0
53.0,Christian Swartz,South Africa,1177.0,68.0,47.0,86.0,108.0,68.0,56.0,69.0,48.0,61.0,69.0,249.0,39.0,54.0,107.0,16.0,7.0,25.0
54.0,Jaméan Groenewald,South Africa,1180.0,119.0,42.0,85.0,27.0,20.0,32.0,69.0,48.0,166.0,69.0,142.0,172.0,126.0,15.0,16.0,7.0,25.0
55.0,Timothy Lawrance,South Africa,1225.0,344.0,146.0,124.0,65.0,35.0,29.0,10.0,1.0,289.0,18.0,72.0,27.0,35.0,17.0,4.0,2.0,7.0
56.0,Riley Naidoo,South Africa,1232.0,156.0,83.0,122.0,42.0,38.0,41.0,69.0,48.0,144.0,52.0,53.0,175.0,91.0,70.0,16.0,7.0,25.0
57.0,Amine Chouchane,Tunisia,1237.0,46.0,161.0,62.0,90.0,68.0,56.0,69.0,48.0,66.0,69.0,78.0,179.0,90.0,107.0,16.0,7.0,25.0
