Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
35.0,Oscar Watson,Australia,1475.0,90.0,28.0,70.0,91.0,123.0,76.0,94.0,16.0,54.0,233.0,82.0,60.0,52.0,161.0,65.0,33.0,147.0
36.0,Camerone Chin,New Zealand,1489.0,167.0,96.0,25.0,36.0,50.0,352.0,118.0,48.0,17.0,26.0,26.0,35.0,239.0,9.0,65.0,33.0,147.0
37.0,Amy Smith,Australia,1496.0,164.0,51.0,209.0,137.0,114.0,109.0,23.0,142.0,104.0,48.0,111.0,97.0,36.0,115.0,6.0,10.0,20.0
38.0,James Macdiarmid,New Zealand,1552.0,81.0,31.0,41.0,42.0,62.0,130.0,8.0,6.0,162.0,249.0,5.0,331.0,195.0,130.0,44.0,33.0,2.0
39.0,Ben Kirby,New Zealand,1591.0,13.0,127.0,2.0,5.0,9.0,7.0,215.0,23.0,23.0,627.0,51.0,49.0,98.0,97.0,65.0,33.0,147.0
40.0,Edward Rust,Australia,1597.0,105.0,239.0,114.0,87.0,55.0,50.0,90.0,125.0,101.0,81.0,11.0,43.0,161.0,109.0,65.0,33.0,128.0
41.0,Matthew Sieredzinski,Australia,1603.0,240.0,253.0,51.0,24.0,18.0,25.0,86.0,11.0,98.0,105.0,131.0,223.0,75.0,143.0,35.0,33.0,52.0
42.0,David Pearce,Australia,1617.0,59.0,27.0,44.0,76.0,175.0,165.0,27.0,60.0,29.0,278.0,236.0,41.0,157.0,118.0,50.0,33.0,42.0
43.0,Peri Le Dain,Australia,1626.0,67.0,119.0,52.0,72.0,104.0,121.0,152.0,40.0,158.0,127.0,20.0,176.0,93.0,80.0,65.0,33.0,147.0
44.0,Liam Wadek,New Zealand,1680.0,127.0,151.0,84.0,67.0,28.0,24.0,173.0,229.0,195.0,4.0,75.0,42.0,94.0,142.0,65.0,33.0,147.0
45.0,Michael Tripodi,Australia,1698.0,359.0,147.0,143.0,98.0,49.0,81.0,5.0,250.0,294.0,33.0,76.0,29.0,71.0,60.0,1.0,1.0,1.0
46.0,Jamie Otsu,Australia,1709.0,71.0,375.0,156.0,89.0,69.0,79.0,58.0,93.0,57.0,47.0,4.0,125.0,153.0,128.0,65.0,33.0,107.0
47.0,Zac Graham,Australia,1718.0,60.0,10.0,123.0,75.0,47.0,31.0,317.0,383.0,117.0,11.0,12.0,13.0,163.0,111.0,65.0,33.0,147.0
48.0,Jacob Joshi,Australia,1744.0,128.0,66.0,213.0,144.0,142.0,110.0,234.0,110.0,127.0,45.0,73.0,48.0,42.0,17.0,65.0,33.0,147.0
49.0,Jeann Valdez,Australia,1780.0,119.0,190.0,77.0,58.0,17.0,14.0,104.0,73.0,64.0,122.0,88.0,303.0,131.0,175.0,65.0,33.0,147.0
50.0,Lee Stanton-Barnett,New Zealand,1803.0,184.0,200.0,147.0,147.0,96.0,141.0,112.0,27.0,175.0,83.0,145.0,93.0,67.0,43.0,57.0,33.0,53.0
51.0,Gen Kimura,New Zealand,1835.0,188.0,41.0,117.0,84.0,109.0,97.0,317.0,383.0,46.0,32.0,49.0,25.0,62.0,40.0,65.0,33.0,147.0
52.0,Sebastian Outh-Aut,Australia,1850.0,185.0,225.0,128.0,139.0,196.0,171.0,49.0,125.0,66.0,67.0,124.0,127.0,4.0,101.0,65.0,33.0,45.0
53.0,Charlie van Ooran,Australia,1852.0,51.0,74.0,88.0,40.0,61.0,46.0,128.0,48.0,94.0,273.0,78.0,112.0,189.0,396.0,65.0,33.0,76.0
54.0,William Tao,Australia,1881.0,106.0,101.0,62.0,33.0,44.0,30.0,13.0,81.0,13.0,215.0,102.0,445.0,322.0,163.0,46.0,28.0,77.0
55.0,Caleb Hall,New Zealand,1895.0,62.0,281.0,136.0,155.0,168.0,67.0,50.0,73.0,34.0,99.0,27.0,255.0,65.0,308.0,65.0,33.0,17.0
56.0,Daniel Fraser,New Zealand,1896.0,300.0,218.0,109.0,105.0,90.0,61.0,145.0,166.0,69.0,33.0,97.0,128.0,75.0,55.0,65.0,33.0,147.0
57.0,Nicholas Paul,Australia,1924.0,68.0,38.0,154.0,217.0,294.0,271.0,183.0,81.0,9.0,80.0,173.0,32.0,56.0,23.0,65.0,33.0,147.0
58.0,Cheng-Ru Yang,New Zealand,2001.0,95.0,243.0,48.0,39.0,30.0,88.0,188.0,23.0,61.0,330.0,67.0,50.0,165.0,350.0,65.0,33.0,126.0
59.0,Alexander Vujcich,New Zealand,2024.0,25.0,19.0,13.0,13.0,100.0,352.0,317.0,383.0,111.0,349.0,1.0,17.0,54.0,25.0,65.0,33.0,147.0
60.0,Benjamin Warry,Australia,2047.0,84.0,44.0,189.0,197.0,341.0,352.0,317.0,16.0,12.0,29.0,169.0,27.0,24.0,1.0,65.0,33.0,147.0
61.0,Aneurin Hunt,New Zealand,2074.0,395.0,127.0,227.0,200.0,131.0,83.0,74.0,6.0,261.0,56.0,113.0,107.0,64.0,54.0,37.0,33.0,106.0
62.0,Ethan Pride,Australia,2113.0,53.0,56.0,325.0,191.0,149.0,90.0,127.0,32.0,266.0,118.0,126.0,180.0,34.0,210.0,59.0,32.0,65.0
63.0,Ray Zhang (张灏睿),Australia,2122.0,61.0,138.0,15.0,18.0,2.0,5.0,317.0,184.0,87.0,88.0,47.0,176.0,511.0,228.0,65.0,33.0,147.0
64.0,Justin He,Australia,2125.0,40.0,5.0,23.0,35.0,94.0,163.0,317.0,81.0,98.0,627.0,83.0,255.0,13.0,46.0,65.0,33.0,147.0
65.0,Daniel Wang,Australia,2132.0,211.0,208.0,55.0,56.0,24.0,38.0,39.0,383.0,47.0,16.0,94.0,626.0,261.0,31.0,10.0,12.0,21.0
66.0,Marquez Phan,Australia,2167.0,86.0,307.0,22.0,29.0,35.0,54.0,317.0,40.0,53.0,627.0,59.0,76.0,146.0,71.0,65.0,33.0,147.0
67.0,Jaxon Foster,Australia,2178.0,31.0,470.0,38.0,23.0,56.0,65.0,63.0,110.0,494.0,70.0,168.0,115.0,125.0,153.0,31.0,24.0,142.0
68.0,Jack Maddigan,New Zealand,2194.0,52.0,122.0,126.0,141.0,160.0,155.0,48.0,60.0,425.0,77.0,135.0,119.0,238.0,249.0,29.0,23.0,35.0
69.0,Darby Lee,Australia,2215.0,397.0,177.0,249.0,187.0,89.0,53.0,113.0,218.0,203.0,28.0,136.0,123.0,15.0,37.0,65.0,33.0,92.0
70.0,Jeremy Foott,Australia,2260.0,79.0,31.0,98.0,70.0,124.0,164.0,209.0,142.0,116.0,322.0,85.0,138.0,144.0,293.0,65.0,33.0,147.0
