Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
34.0,Angel Jesus Panebra Rodriguez,Peru,2255.0,17.0,76.0,45.0,66.0,126.0,125.0,330.0,97.0,45.0,165.0,113.0,343.0,53.0,322.0,80.0,33.0,219.0
34.0,Thiago Han,Brazil,2255.0,444.0,273.0,144.0,131.0,111.0,55.0,10.0,607.0,200.0,47.0,64.0,65.0,54.0,25.0,7.0,5.0,13.0
36.0,Gabriel Santiago Velez Gonzalez,Colombia,2358.0,39.0,180.0,17.0,7.0,1.0,1.0,487.0,47.0,41.0,188.0,40.0,644.0,149.0,185.0,80.0,33.0,219.0
37.0,Víctor Gálvez,Uruguay,2360.0,64.0,271.0,203.0,120.0,95.0,153.0,235.0,248.0,264.0,13.0,68.0,132.0,48.0,114.0,80.0,33.0,219.0
38.0,Ricardo Zapata Cruz,Venezuela,2385.0,281.0,390.0,110.0,130.0,164.0,118.0,112.0,263.0,164.0,77.0,193.0,41.0,31.0,56.0,50.0,33.0,172.0
39.0,Maximiliano Perez Madrid,Chile,2410.0,56.0,72.0,60.0,40.0,74.0,92.0,607.0,263.0,215.0,161.0,210.0,22.0,84.0,122.0,80.0,33.0,219.0
40.0,Ana Beatriz M. Tannenbaum,Brazil,2425.0,23.0,287.0,39.0,41.0,79.0,83.0,607.0,223.0,187.0,27.0,201.0,14.0,210.0,72.0,80.0,33.0,219.0
41.0,Julian Alejandro Forero Gonzalez,Colombia,2435.0,581.0,169.0,126.0,58.0,55.0,19.0,44.0,190.0,317.0,67.0,170.0,240.0,182.0,188.0,9.0,4.0,16.0
42.0,Caique Crispim de Lima,Brazil,2436.0,103.0,2.0,102.0,141.0,122.0,173.0,389.0,263.0,62.0,25.0,229.0,127.0,351.0,15.0,80.0,33.0,219.0
43.0,Manuel Malvárez,Uruguay,2512.0,136.0,459.0,78.0,97.0,66.0,78.0,607.0,263.0,22.0,43.0,96.0,87.0,22.0,126.0,80.0,33.0,219.0
44.0,Pedro Roque,Brazil,2526.0,64.0,7.0,15.0,16.0,47.0,151.0,196.0,31.0,65.0,263.0,156.0,368.0,571.0,304.0,80.0,33.0,159.0
45.0,Gabriel Lincon Souza,Brazil,2557.0,422.0,156.0,118.0,177.0,137.0,199.0,309.0,61.0,111.0,32.0,272.0,162.0,55.0,14.0,80.0,33.0,219.0
46.0,Rodrigo Paz Vaca,Bolivia,2564.0,19.0,76.0,54.0,24.0,179.0,297.0,161.0,155.0,14.0,494.0,55.0,110.0,395.0,275.0,80.0,33.0,143.0
47.0,Genaro Sahib Leguizamon,Argentina,2576.0,45.0,359.0,173.0,104.0,57.0,35.0,607.0,117.0,113.0,245.0,122.0,118.0,64.0,85.0,80.0,33.0,219.0
48.0,Piero Alessandro Laguna Obregon,Peru,2628.0,89.0,324.0,66.0,54.0,72.0,84.0,607.0,190.0,311.0,139.0,81.0,29.0,36.0,214.0,80.0,33.0,219.0
49.0,Agustín Bernasconi,Argentina,2695.0,111.0,252.0,130.0,105.0,87.0,82.0,57.0,13.0,44.0,488.0,137.0,557.0,432.0,49.0,80.0,33.0,38.0
50.0,Antonio Gabriel Freitas da Silva,Brazil,2713.0,10.0,33.0,63.0,83.0,256.0,557.0,416.0,155.0,99.0,234.0,283.0,132.0,55.0,5.0,80.0,33.0,219.0
51.0,Giordano Limber Aguilar Allcca,Peru,2717.0,284.0,219.0,115.0,98.0,63.0,36.0,207.0,223.0,282.0,50.0,265.0,164.0,189.0,190.0,80.0,33.0,219.0
52.0,Gerson Marcelo Nuñez Huanuiri,Peru,2744.0,133.0,445.0,12.0,10.0,11.0,9.0,198.0,167.0,36.0,273.0,47.0,371.0,249.0,451.0,80.0,33.0,219.0
53.0,Rodrigo Ugarte,Bolivia,2835.0,376.0,459.0,70.0,43.0,41.0,33.0,607.0,8.0,151.0,130.0,153.0,74.0,236.0,122.0,80.0,33.0,219.0
54.0,Ramses Amaya,Colombia,2843.0,52.0,41.0,96.0,580.0,698.0,557.0,12.0,117.0,187.0,110.0,51.0,33.0,165.0,120.0,8.0,10.0,6.0
55.0,Jhon Edinson Arias Parra,Colombia,2859.0,454.0,256.0,116.0,44.0,39.0,27.0,273.0,117.0,179.0,203.0,132.0,200.0,412.0,149.0,80.0,33.0,145.0
