Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
883.0,Fanasindratsimba Fanoela Rafanaterantsoa,Madagascar,4558.0,75.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
884.0,Yash Naidu,South Africa,4559.0,1243.0,913.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,719.0,229.0,89.0,3.0
885.0,Theuns Louw,South Africa,4560.0,952.0,828.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
886.0,Youssef Farid Adly Farid,Egypt,4561.0,78.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
887.0,Omar Aghiles Ghrnaout,Algeria,4563.0,1374.0,901.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,519.0,314.0,89.0,3.0
887.0,Ahmed Sghaier,Tunisia,4563.0,903.0,880.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
889.0,Steeve Gaël Raharinjatovo,Madagascar,4564.0,299.0,1703.0,167.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
890.0,Lee Lambert,South Africa,4565.0,1389.0,984.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,423.0,314.0,89.0,3.0
891.0,Corne Van Wyk,South Africa,4567.0,1044.0,861.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,893.0,314.0,89.0,3.0
892.0,John Francio Rabemahavory,Madagascar,4569.0,86.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
893.0,Karno Knoetze,South Africa,4570.0,1264.0,1018.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,519.0,314.0,89.0,3.0
893.0,Olutayo Ibukun,Nigeria,4570.0,285.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,813.0,314.0,89.0,3.0
893.0,Aniceto Rodrigues Cahongolo Lourenço,Angola,4570.0,237.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,311.0,53.0,168.0,1011.0,314.0,89.0,3.0
896.0,Callum Dos Santos,South Africa,4571.0,1193.0,1056.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,616.0,251.0,89.0,3.0
896.0,Tlhaole Matlapeng,South Africa,4571.0,952.0,839.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
898.0,Jack Hadfield,South Africa,4573.0,922.0,871.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
898.0,Shaun Kudjawu,Ghana,4573.0,1033.0,760.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
900.0,Hamzah Bayat,South Africa,4575.0,1175.0,620.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
901.0,Muaaz Bayat,South Africa,4578.0,697.0,1201.0,385.0,158.0,57.0,40.0,17.0,24.0,361.0,53.0,168.0,1011.0,314.0,89.0,3.0
901.0,Abdulrahman Essed,Libya,4578.0,887.0,1132.0,385.0,158.0,57.0,40.0,17.0,24.0,240.0,53.0,168.0,1011.0,314.0,89.0,3.0
903.0,Mathieu Nilaina Raharinaivoson,Madagascar,4580.0,1117.0,735.0,385.0,158.0,57.0,40.0,17.0,24.0,409.0,53.0,168.0,1011.0,314.0,89.0,3.0
904.0,Mugo Gituku,Kenya,4581.0,1314.0,525.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,973.0,314.0,89.0,3.0
904.0,Aina Nirina Johnny Rakotovololona,Madagascar,4581.0,98.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
906.0,Daniël Bester,South Africa,4582.0,99.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
907.0,Philopatir Bichoy Raafat Chenouda,Egypt,4583.0,531.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,180.0,53.0,18.0,1011.0,314.0,89.0,3.0
908.0,Berno Kotze,South Africa,4584.0,1255.0,846.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,714.0,314.0,89.0,3.0
909.0,Ramotsumi Sesele,South Africa,4586.0,862.0,1062.0,355.0,149.0,57.0,40.0,17.0,24.0,382.0,53.0,168.0,1011.0,314.0,89.0,3.0
910.0,Matthew Chadwick,South Africa,4589.0,1060.0,749.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
911.0,Asha Langenhoven Clark,South Africa,4592.0,990.0,822.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
911.0,Marthinus Robert Gobey,South Africa,4592.0,805.0,1007.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
913.0,Ricardo Pekelharing,South Africa,4593.0,723.0,1154.0,321.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
914.0,Shaun Karl Luger,South Africa,4594.0,1179.0,635.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
914.0,Lee Bloenstein,South Africa,4594.0,891.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,351.0,53.0,168.0,341.0,314.0,89.0,3.0
916.0,Oliver Morgan,South Africa,4602.0,800.0,1104.0,385.0,158.0,57.0,40.0,17.0,24.0,379.0,53.0,168.0,1011.0,314.0,89.0,3.0
916.0,Iskander Ouari,Algeria,4602.0,443.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,137.0,53.0,168.0,1011.0,314.0,89.0,3.0
918.0,Etienne Amany,Cote d_Ivoire,4606.0,383.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,201.0,53.0,168.0,1011.0,314.0,89.0,3.0
919.0,Dawid Murray,South Africa,4607.0,1380.0,1103.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,355.0,314.0,89.0,3.0
920.0,Namiri Wael,Algeria,4609.0,225.0,1703.0,286.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
921.0,Matthew Green,South Africa,4613.0,1040.0,839.0,339.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
922.0,James Magor,South Africa,4614.0,964.0,938.0,317.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
923.0,Carlo Steenkamp Drotskie,South Africa,4615.0,1008.0,827.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
924.0,Danyaal Patel,South Africa,4622.0,1186.0,730.0,385.0,158.0,57.0,40.0,17.0,24.0,387.0,53.0,168.0,1011.0,314.0,89.0,3.0
925.0,Nassim Belaiche,Algeria,4626.0,1523.0,905.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,429.0,314.0,89.0,3.0
925.0,Onyema Chibuikem Chinemerem,Nigeria,4626.0,143.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
925.0,Pierre Van Rensburg,South Africa,4626.0,726.0,1174.0,385.0,158.0,57.0,40.0,17.0,24.0,407.0,53.0,168.0,1011.0,314.0,89.0,3.0
928.0,Younes Haffedh,Algeria,4629.0,1243.0,1064.0,385.0,158.0,57.0,40.0,17.0,24.0,390.0,53.0,168.0,624.0,314.0,89.0,3.0
929.0,Marc Tarus,Kenya,4631.0,1156.0,753.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,953.0,314.0,89.0,3.0
929.0,Nelis van der Lingen,South Africa,4631.0,1323.0,1224.0,349.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,134.0,385.0,314.0,89.0,3.0
931.0,Bini Shulman,South Africa,4633.0,150.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
932.0,Jacques Valentine,South Africa,4635.0,818.0,1299.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,749.0,314.0,89.0,3.0
933.0,Faniran Oluwasemilore David,Nigeria,4640.0,924.0,1002.0,385.0,158.0,57.0,40.0,17.0,24.0,395.0,53.0,168.0,1011.0,314.0,89.0,3.0
934.0,Evan Roux,South Africa,4642.0,303.0,1703.0,256.0,158.0,47.0,35.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
934.0,Agastya Nunkoo,South Africa,4642.0,1331.0,1307.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,235.0,314.0,89.0,3.0
936.0,Elisha Simmons,South Africa,4645.0,1404.0,1095.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,377.0,314.0,89.0,3.0
936.0,Ya-Eesh Titus,South Africa,4645.0,1254.0,674.0,322.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
938.0,Ranarison Fiderana Lioka,Madagascar,4646.0,163.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
939.0,Nathan Clegg,South Africa,4647.0,1245.0,1137.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,514.0,296.0,89.0,3.0
940.0,Caleb Joel Naicker,South Africa,4648.0,1524.0,1190.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,165.0,314.0,89.0,3.0
941.0,Ross Donaldson,South Africa,4650.0,411.0,1703.0,316.0,158.0,57.0,40.0,17.0,24.0,286.0,53.0,168.0,1011.0,314.0,89.0,3.0
942.0,Denis Ndemwa,Kenya,4652.0,1307.0,778.0,385.0,158.0,57.0,40.0,17.0,24.0,445.0,53.0,168.0,814.0,314.0,89.0,3.0
943.0,Alex Andoniaina Raherinjatovo,Madagascar,4653.0,170.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
944.0,Carel Jacobus van Vreden,South Africa,4654.0,1233.0,1044.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,683.0,239.0,89.0,3.0
945.0,Mohamed Mezghiche,Algeria,4656.0,1122.0,852.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,913.0,314.0,89.0,3.0
946.0,Fassi Fihri Mamoun,Morocco,4658.0,1728.0,707.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,544.0,224.0,89.0,3.0
947.0,Yusuf Akoojee,South Africa,4661.0,1481.0,1114.0,385.0,142.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,313.0,314.0,89.0,3.0
948.0,Harimihaja Thierry Tsiorimanana Ramilison,Madagascar,4664.0,181.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
949.0,Tristan Clinton Coles,South Africa,4665.0,1015.0,1173.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,708.0,314.0,89.0,3.0
949.0,Daniël Beetge,South Africa,4665.0,703.0,1182.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
951.0,Johary Randriamanantena,Madagascar,4666.0,183.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
952.0,Tylo Da Silva,South Africa,4667.0,1096.0,791.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
953.0,Mohamed Ali Snoussi,Tunisia,4669.0,1155.0,838.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,210.0,89.0,3.0
954.0,Zuhayr Mahomed,South Africa,4672.0,1455.0,667.0,361.0,158.0,57.0,40.0,17.0,24.0,458.0,53.0,168.0,808.0,314.0,89.0,3.0
955.0,Byron Gomes,South Africa,4674.0,1084.0,1133.0,371.0,158.0,57.0,40.0,17.0,24.0,427.0,53.0,155.0,773.0,290.0,89.0,3.0
956.0,Umar Kharwa,South Africa,4677.0,996.0,901.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
957.0,Fanilo Manoa Rajaonary,Madagascar,4678.0,195.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
958.0,Arinosy Nilaina Ruddy Rakotonirina,Madagascar,4679.0,196.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
958.0,Aline Nsukami Dompetelo Nsalambi,Angola,4679.0,1032.0,867.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
960.0,Kayur Ranchod,South Africa,4684.0,201.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
961.0,Christophe Mina Samir,Egypt,4693.0,666.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,555.0,314.0,89.0,3.0
962.0,Ishak Hechaichi,Algeria,4695.0,1636.0,690.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,600.0,314.0,89.0,3.0
963.0,Tareq Mohammed Mahmoud Alaggad,Eritrea,4697.0,1136.0,781.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
964.0,Matthew Knoop,South Africa,4699.0,1296.0,841.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,793.0,314.0,89.0,3.0
965.0,Khouloud Belarbi,Algeria,4700.0,423.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,255.0,53.0,168.0,1011.0,314.0,89.0,3.0
966.0,Sarfaraz Khan,South Africa,4701.0,1177.0,744.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
967.0,Mohamed Affes,Tunisia,4705.0,1165.0,1475.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,296.0,314.0,89.0,3.0
967.0,Douidi Wissal,Algeria,4705.0,1133.0,1034.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,769.0,314.0,89.0,3.0
969.0,Oliver Wickham,South Africa,4706.0,1746.0,920.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,271.0,314.0,89.0,3.0
970.0,Elke van der Walt,South Africa,4711.0,823.0,1238.0,385.0,158.0,57.0,40.0,17.0,24.0,432.0,53.0,168.0,910.0,314.0,89.0,3.0
971.0,Raparaoelina Mandresy,Madagascar,4714.0,231.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
971.0,Gabriel Andre,Madagascar,4714.0,1025.0,909.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
973.0,Abasse Tafita Sefoudine,Madagascar,4717.0,234.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
974.0,Luca Mann,South Africa,4719.0,1250.0,689.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
975.0,Obasoyo D. Osamede,Nigeria,4726.0,607.0,1703.0,229.0,158.0,57.0,40.0,17.0,24.0,253.0,53.0,168.0,1011.0,314.0,89.0,3.0
976.0,Ketania Naidu,South Africa,4732.0,974.0,978.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
977.0,Younes Saada,Algeria,4737.0,1208.0,749.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
978.0,Isca Rambridge,South Africa,4739.0,1301.0,1084.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,618.0,281.0,89.0,3.0
978.0,Justin Mills,South Africa,4739.0,256.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
980.0,Ramy Ali Okda,Egypt,4741.0,1197.0,764.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
981.0,Roufaida Insaf Mamou,Algeria,4743.0,1169.0,1146.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,659.0,314.0,89.0,3.0
982.0,Mamoune Benabdallah,Morocco,4746.0,263.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
983.0,Ayman Bourchachene,Morocco,4747.0,264.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
984.0,Zac Laruffa,South Africa,4749.0,1644.0,924.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,471.0,255.0,89.0,3.0
985.0,Nadhir Ferdji,Algeria,4751.0,974.0,997.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
985.0,Belarmino Eusébio Chalale,Angola,4751.0,625.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,104.0,53.0,168.0,1011.0,314.0,89.0,3.0
985.0,Khelil Oualdi,Tunisia,4751.0,1213.0,759.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,313.0,89.0,3.0
988.0,David John Morcos,Egypt,4753.0,1289.0,1165.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,530.0,314.0,89.0,3.0
988.0,Mark Ian Rimmer,South Africa,4753.0,1021.0,1171.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,792.0,314.0,89.0,3.0
988.0,Adriaan Genis,South Africa,4753.0,1570.0,992.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,422.0,314.0,89.0,3.0
988.0,Finaritra Randriahifidisoa,Madagascar,4753.0,270.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
992.0,Mgbemena Chinedu Victor,Nigeria,4754.0,721.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,411.0,53.0,168.0,611.0,314.0,89.0,3.0
993.0,Elton Ndlovu,South Africa,4756.0,934.0,1042.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
994.0,Nomena Andriantsoa Oliarijao,Madagascar,4757.0,274.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
995.0,Rouichi Amani,Algeria,4761.0,1189.0,1105.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,698.0,314.0,89.0,3.0
996.0,Damien Hurter,South Africa,4763.0,1091.0,892.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
997.0,Alec Ruiters,South Africa,4765.0,1127.0,858.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
998.0,Saotra Ny Aina Amyo Rajaofera,Madagascar,4766.0,283.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
999.0,Firas Laoudja,Algeria,4768.0,1366.0,622.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
999.0,Mohammed Bensriati,Libya,4768.0,801.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,495.0,314.0,89.0,3.0
1001.0,Sayed Gool,South Africa,4771.0,1011.0,980.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1002.0,Mohamed Hany,Egypt,4772.0,1277.0,755.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,971.0,314.0,89.0,3.0
1003.0,Wael Gares,Tunisia,4774.0,1403.0,591.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1004.0,Nadav Ossendryver,South Africa,4776.0,950.0,1052.0,385.0,158.0,57.0,40.0,17.0,24.0,455.0,53.0,168.0,1011.0,314.0,89.0,3.0
1004.0,Tahir Bouhalouas,Algeria,4776.0,293.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1004.0,Joseph Melzer,South Africa,4776.0,1122.0,874.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1007.0,Kaleb Matthew Horwill,South Africa,4777.0,1162.0,1281.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,565.0,314.0,89.0,3.0
1007.0,Soufiane Adeir,Morocco,4777.0,1012.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,293.0,314.0,89.0,3.0
1009.0,Adam Omar Nagy,Egypt,4779.0,970.0,1029.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1010.0,Ali Bensouda,Morocco,4780.0,1182.0,818.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1011.0,Dylan Davies,South Africa,4781.0,1602.0,852.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,558.0,314.0,89.0,3.0
1012.0,Mounder Nouar,Algeria,4782.0,599.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,711.0,314.0,89.0,3.0
1013.0,Nathan Hamilton Engilstoft Nissen,South Africa,4784.0,1214.0,790.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1014.0,Anes Haffedh,Algeria,4785.0,1130.0,1209.0,385.0,158.0,57.0,40.0,17.0,24.0,375.0,53.0,168.0,763.0,314.0,89.0,3.0
1015.0,Youcef Maouch,Algeria,4786.0,1196.0,988.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,833.0,314.0,89.0,3.0
1016.0,Caleb Ramrattan,South Africa,4787.0,392.0,1703.0,297.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1016.0,Taher Ghiloubi,Algeria,4787.0,1163.0,844.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1018.0,Deban Lucky Tsara Fitahiana Randrema,Madagascar,4790.0,1237.0,773.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1018.0,Nathan Hees,South Africa,4790.0,466.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,302.0,53.0,168.0,1011.0,314.0,89.0,3.0
1020.0,Mosab Elfasy,Libya,4792.0,1660.0,888.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,489.0,300.0,89.0,3.0
1021.0,Malek Yasser,Egypt,4794.0,311.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1022.0,Lio Fernandes,Angola,4795.0,550.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,223.0,53.0,168.0,1011.0,314.0,89.0,3.0
1023.0,Nour Mseddi,Tunisia,4796.0,313.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1023.0,Muhammad Banoo,South Africa,4796.0,835.0,1181.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1025.0,Dinoh Liantsoa Ratiarisandy,Madagascar,4800.0,317.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1025.0,Moaadh Kharouat,Algeria,4800.0,1377.0,1089.0,380.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,570.0,314.0,89.0,3.0
1027.0,Yousef Ibrahim Mohamed,Egypt,4801.0,1331.0,1015.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,686.0,314.0,89.0,3.0
1027.0,Asher Pearce,South Africa,4801.0,1210.0,811.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1027.0,Yanice Baouali,Algeria,4801.0,1238.0,783.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1027.0,Adham Emad Abdelaziz,Egypt,4801.0,1159.0,862.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1031.0,Yahia Rashwan,Egypt,4803.0,941.0,1082.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1032.0,Eben Smit,South Africa,4804.0,485.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,297.0,53.0,168.0,1011.0,314.0,89.0,3.0
1032.0,John Robert O'Reilly,South Africa,4804.0,1027.0,1027.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,981.0,314.0,89.0,3.0
1034.0,Wassim Youssef,Tunisia,4805.0,932.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,350.0,53.0,168.0,512.0,314.0,89.0,3.0
1035.0,Ethan Jude Barker,South Africa,4806.0,1286.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,164.0,198.0,89.0,3.0
1035.0,Clive Brajevich,South Africa,4806.0,323.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1037.0,André Conradie,South Africa,4810.0,1221.0,809.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1038.0,Hilton Adolfo Cardoso Batalha,Angola,4811.0,328.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
1039.0,Norhan Hany Gamal Mahmoud Sharaf,Egypt,4817.0,1554.0,878.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,616.0,314.0,89.0,3.0
1040.0,Ransford Gyasi,Ghana,4819.0,336.0,1703.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,1011.0,314.0,89.0,3.0
