Rank,name,Sum,333,222,444,555,333oh,pyram
65.0,Pascal Rakotoarison,175.0,61.0,46.0,24.0,11.0,31.0,2.0
66.0,Tino Randrianarison,176.0,62.0,46.0,24.0,11.0,31.0,2.0
67.0,Rado Tiana Rakotonomenjanahary,178.0,64.0,46.0,24.0,11.0,31.0,2.0
68.0,Emmanuel Rahanitriniaina,179.0,65.0,46.0,24.0,11.0,31.0,2.0
69.0,Miarotiana Fifaliana Rajaonasitera,180.0,87.0,25.0,24.0,11.0,31.0,2.0
70.0,Tsiory Randriamisaina,181.0,67.0,46.0,24.0,11.0,31.0,2.0
71.0,Ny Fitiavana Zo Rayan Andriantsoa,182.0,81.0,33.0,24.0,11.0,31.0,2.0
71.0,Arofenitra Rakotonirina,182.0,68.0,46.0,24.0,11.0,31.0,2.0
73.0,Lovaniaina Franck Randrianarivelo,183.0,69.0,46.0,24.0,11.0,31.0,2.0
74.0,Mendrikaja Faniry Nathalia Randria,184.0,70.0,46.0,24.0,11.0,31.0,2.0
75.0,Avoaina Randrianasolo,185.0,71.0,46.0,24.0,11.0,31.0,2.0
75.0,Ainasoa Miaronavalona Razafimanjato,185.0,72.0,46.0,24.0,10.0,31.0,2.0
77.0,Herinirina Rolland Rakotoarison,187.0,80.0,39.0,24.0,11.0,31.0,2.0
78.0,Mamonjisoa Rasetason,188.0,74.0,46.0,24.0,11.0,31.0,2.0
79.0,Adoré Solonirina Razafindrainisoamavo,189.0,84.0,37.0,24.0,11.0,31.0,2.0
79.0,Mandatahiana Ranaivoarisoa,189.0,75.0,46.0,24.0,11.0,31.0,2.0
81.0,Yakhin Harris Jinoro,190.0,113.0,9.0,24.0,11.0,31.0,2.0
82.0,Kantoniaina Manantsoa Randriambelosoa,191.0,77.0,46.0,24.0,11.0,31.0,2.0
83.0,Tolotra Sarobidy Rakotosalama Andriamanalintsoa,192.0,78.0,46.0,24.0,11.0,31.0,2.0
84.0,Josoa Ratsimisanta,193.0,79.0,46.0,24.0,11.0,31.0,2.0
84.0,Mathieu Nilaina Raharinaivoson,193.0,88.0,38.0,24.0,11.0,30.0,2.0
86.0,Gabriel Andre,195.0,86.0,41.0,24.0,11.0,31.0,2.0
86.0,Niaro Mahery Andriamalala,195.0,113.0,14.0,24.0,11.0,31.0,2.0
88.0,Raymond Parker Falihery,196.0,82.0,46.0,24.0,11.0,31.0,2.0
89.0,Bryan Ralaivao,197.0,93.0,36.0,24.0,11.0,31.0,2.0
89.0,Nomena Fitiavana Ramanandraibe,197.0,83.0,46.0,24.0,11.0,31.0,2.0
91.0,Bryan Randrianasolo,199.0,85.0,46.0,24.0,11.0,31.0,2.0
91.0,Deban Lucky Tsara Fitahiana Randrema,199.0,91.0,40.0,24.0,11.0,31.0,2.0
93.0,Marc Randriamahefa,202.0,89.0,45.0,24.0,11.0,31.0,2.0
94.0,Mirando Andrianantenaina,204.0,90.0,46.0,24.0,11.0,31.0,2.0
94.0,Manda Rakotomahanina,204.0,113.0,46.0,1.0,11.0,31.0,2.0
96.0,Tsiky Andrianaivo,206.0,92.0,46.0,24.0,11.0,31.0,2.0
