Rank,name,Sum,333,222,444,555,333oh,pyram
1.0,Isabella Young,7.0,1.0,2.0,1.0,1.0,1.0,1.0
2.0,Khalyle Darius Edwards,13.0,2.0,3.0,2.0,2.0,2.0,2.0
3.0,Freeman Gibson,14.0,4.0,1.0,2.0,2.0,2.0,3.0
4.0,Phellipe Gabriel Pinto,16.0,3.0,4.0,2.0,2.0,2.0,3.0
