Rank,name,Sum,333,222,444,555,666,333fm,333oh,clock,minx,pyram,skewb,sq1
56.0,Zahraa Mohamed,176.0,54.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
57.0,Basil Sayed Ansar Husain Sayed,178.0,59.0,42.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
57.0,Ali Isa Ahmed Aljazeeri,178.0,56.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
59.0,Hosna Mohamed Alfardan,179.0,57.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
60.0,Abdulaziz Ali Abdulaziz Mohammed Alshaikh,180.0,58.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
61.0,Hamzah Sayyed Irfan Anwar Ahmed Husain,182.0,60.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
62.0,Wadeea Nasaif,183.0,61.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
63.0,Vikram Rathod,184.0,64.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,24.0,14.0,4.0
63.0,Balqees Saeed Ababneh,184.0,62.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
65.0,Fawaz Abdulrahim Khunji,185.0,63.0,45.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
