Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
39.0,Ram Thakkar,1860.0,124.0,2.0,192.0,283.0,263.0,172.0,117.0,61.0,227.0,39.0,112.0,100.0,44.0,112.0,9.0,3.0
40.0,Rithvik Ganesh,1904.0,160.0,119.0,156.0,160.0,121.0,106.0,117.0,111.0,91.0,173.0,292.0,17.0,138.0,131.0,9.0,3.0
41.0,Pranav Prabhu,1915.0,83.0,427.0,52.0,40.0,25.0,72.0,117.0,3.0,35.0,207.0,44.0,413.0,103.0,282.0,9.0,3.0
42.0,Siddhesh Pore,1945.0,17.0,47.0,7.0,29.0,34.0,44.0,117.0,160.0,105.0,231.0,531.0,93.0,284.0,234.0,9.0,3.0
43.0,Kesava Kirupa,1949.0,53.0,45.0,76.0,109.0,103.0,84.0,117.0,90.0,26.0,98.0,179.0,344.0,306.0,307.0,9.0,3.0
44.0,Kalidindi Hardhik Varma,2008.0,16.0,58.0,13.0,59.0,69.0,52.0,111.0,160.0,17.0,144.0,190.0,313.0,672.0,122.0,9.0,3.0
45.0,Mihir Narayan,2022.0,4.0,37.0,19.0,14.0,263.0,172.0,117.0,160.0,11.0,376.0,52.0,39.0,342.0,404.0,9.0,3.0
46.0,Parth Chhugani,2078.0,554.0,76.0,251.0,222.0,82.0,172.0,71.0,18.0,207.0,95.0,114.0,60.0,142.0,2.0,9.0,3.0
47.0,Lakshmi Sai Srivatsa,2079.0,249.0,108.0,150.0,212.0,155.0,127.0,81.0,102.0,398.0,16.0,206.0,74.0,32.0,157.0,9.0,3.0
48.0,Shubham Kumar,2122.0,187.0,123.0,211.0,33.0,80.0,57.0,117.0,108.0,21.0,261.0,135.0,219.0,285.0,273.0,9.0,3.0
49.0,Mohan Balaji,2226.0,313.0,192.0,54.0,113.0,45.0,42.0,117.0,93.0,142.0,84.0,277.0,263.0,188.0,291.0,9.0,3.0
50.0,Abhishek Sathyanarayanan,2231.0,167.0,245.0,36.0,75.0,68.0,79.0,117.0,31.0,235.0,241.0,73.0,221.0,311.0,320.0,9.0,3.0
51.0,Hitesh Kumar Bhuwalka,2242.0,155.0,368.0,41.0,6.0,15.0,20.0,117.0,160.0,158.0,78.0,339.0,478.0,181.0,114.0,9.0,3.0
52.0,Nayan Jyoti Das,2294.0,54.0,220.0,119.0,74.0,112.0,68.0,117.0,160.0,44.0,188.0,57.0,396.0,269.0,404.0,9.0,3.0
53.0,Prayansh Vimal,2315.0,243.0,180.0,158.0,94.0,102.0,94.0,117.0,160.0,454.0,67.0,130.0,203.0,135.0,166.0,9.0,3.0
