Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
39.0,Luis Kleinheinz,1123.0,179.0,108.0,125.0,73.0,64.0,56.0,44.0,36.0,41.0,3.0,130.0,111.0,59.0,69.0,17.0,8.0
40.0,Dominic Amrhein,1126.0,115.0,30.0,96.0,80.0,143.0,101.0,85.0,99.0,108.0,138.0,38.0,16.0,29.0,23.0,17.0,8.0
41.0,Linus Frész,1153.0,159.0,116.0,120.0,72.0,60.0,58.0,11.0,2.0,132.0,79.0,27.0,91.0,163.0,38.0,17.0,8.0
42.0,Nik Maraun,1162.0,9.0,92.0,63.0,78.0,169.0,196.0,85.0,99.0,55.0,47.0,34.0,81.0,79.0,50.0,17.0,8.0
43.0,Andreas Gröbmayr,1168.0,91.0,54.0,33.0,29.0,34.0,51.0,57.0,99.0,158.0,117.0,9.0,27.0,154.0,230.0,17.0,8.0
44.0,Max Hahnbück,1232.0,160.0,22.0,126.0,132.0,93.0,80.0,66.0,26.0,105.0,140.0,105.0,72.0,26.0,54.0,17.0,8.0
45.0,Finn Ickler,1236.0,38.0,62.0,29.0,25.0,27.0,39.0,85.0,58.0,60.0,58.0,256.0,155.0,48.0,271.0,17.0,8.0
46.0,Amelie Dieterich,1243.0,187.0,222.0,110.0,84.0,73.0,69.0,54.0,54.0,147.0,42.0,19.0,73.0,33.0,51.0,17.0,8.0
47.0,Konstantin Jaehne,1252.0,134.0,71.0,106.0,128.0,125.0,143.0,5.0,13.0,73.0,2.0,185.0,96.0,125.0,31.0,7.0,8.0
48.0,Dominik Beese,1265.0,115.0,36.0,98.0,166.0,122.0,140.0,71.0,99.0,91.0,64.0,103.0,32.0,67.0,36.0,17.0,8.0
49.0,Yannick Richter,1276.0,81.0,34.0,86.0,116.0,97.0,114.0,43.0,99.0,83.0,87.0,51.0,75.0,222.0,63.0,17.0,8.0
50.0,Konstantin Krämer,1277.0,54.0,75.0,50.0,81.0,134.0,86.0,85.0,99.0,80.0,163.0,66.0,58.0,40.0,181.0,17.0,8.0
51.0,Alexis Fedeler,1285.0,93.0,30.0,84.0,110.0,111.0,108.0,28.0,25.0,32.0,234.0,55.0,196.0,84.0,75.0,12.0,8.0
52.0,Nicos Ahlgrimm,1300.0,74.0,92.0,6.0,24.0,43.0,57.0,85.0,99.0,44.0,242.0,70.0,57.0,111.0,271.0,17.0,8.0
53.0,Sören Jaan Handschuch,1303.0,52.0,92.0,68.0,47.0,100.0,87.0,85.0,99.0,46.0,242.0,101.0,167.0,21.0,71.0,17.0,8.0
54.0,Francesco Schmitt,1334.0,147.0,62.0,82.0,117.0,70.0,68.0,85.0,87.0,136.0,19.0,22.0,183.0,112.0,119.0,17.0,8.0
55.0,Cornelius Dieckmann,1339.0,4.0,14.0,28.0,19.0,50.0,45.0,23.0,10.0,8.0,160.0,112.0,109.0,630.0,102.0,17.0,8.0
56.0,Leon Schmidtchen,1377.0,8.0,80.0,9.0,21.0,38.0,60.0,85.0,39.0,32.0,89.0,262.0,159.0,199.0,271.0,17.0,8.0
57.0,Sebastian Weyer,1383.0,2.0,120.0,1.0,1.0,3.0,8.0,74.0,99.0,10.0,242.0,12.0,229.0,421.0,136.0,17.0,8.0
58.0,Andreas Pohl,1456.0,149.0,65.0,130.0,124.0,127.0,194.0,15.0,20.0,106.0,69.0,167.0,149.0,81.0,48.0,4.0,8.0
59.0,Martin Kraut,1468.0,20.0,101.0,27.0,18.0,53.0,65.0,85.0,77.0,162.0,242.0,36.0,208.0,78.0,271.0,17.0,8.0
60.0,Marco Vorländer,1471.0,28.0,43.0,24.0,15.0,10.0,7.0,85.0,67.0,11.0,242.0,50.0,461.0,132.0,271.0,17.0,8.0
61.0,Willem Klose,1488.0,172.0,60.0,149.0,151.0,161.0,168.0,10.0,37.0,177.0,41.0,125.0,61.0,80.0,74.0,17.0,5.0
62.0,Annika Stein,1490.0,130.0,235.0,47.0,98.0,54.0,48.0,85.0,99.0,116.0,128.0,150.0,165.0,9.0,101.0,17.0,8.0
63.0,Achim Spies,1510.0,232.0,151.0,115.0,86.0,56.0,67.0,52.0,49.0,345.0,43.0,60.0,53.0,86.0,90.0,17.0,8.0
64.0,Jan Staubach,1530.0,19.0,83.0,10.0,8.0,20.0,24.0,50.0,99.0,35.0,242.0,25.0,148.0,471.0,271.0,17.0,8.0
65.0,Ramón Dersch,1532.0,15.0,68.0,25.0,51.0,120.0,151.0,85.0,99.0,63.0,96.0,17.0,19.0,551.0,147.0,17.0,8.0
66.0,Fabian Damke,1541.0,133.0,121.0,76.0,95.0,66.0,59.0,85.0,99.0,214.0,22.0,21.0,196.0,58.0,271.0,17.0,8.0
67.0,Timo Forsthofer,1568.0,198.0,43.0,145.0,148.0,140.0,149.0,2.0,39.0,98.0,103.0,75.0,222.0,114.0,67.0,17.0,8.0
68.0,Martin Brath,1575.0,14.0,76.0,38.0,55.0,75.0,98.0,19.0,80.0,15.0,242.0,53.0,187.0,379.0,219.0,17.0,8.0
69.0,Johanna Szczesny,1627.0,268.0,248.0,183.0,102.0,48.0,75.0,59.0,44.0,119.0,9.0,8.0,256.0,87.0,96.0,17.0,8.0
70.0,Jeremy Mrzyglocki,1628.0,95.0,363.0,87.0,74.0,51.0,29.0,85.0,99.0,241.0,93.0,97.0,139.0,69.0,81.0,17.0,8.0
71.0,Christoph Jadan,1640.0,138.0,62.0,169.0,186.0,198.0,178.0,85.0,99.0,28.0,120.0,84.0,108.0,49.0,111.0,17.0,8.0
72.0,Martin Süß,1656.0,100.0,103.0,163.0,69.0,308.0,84.0,85.0,99.0,236.0,16.0,69.0,74.0,73.0,152.0,17.0,8.0
73.0,Dominik Hinze,1698.0,104.0,25.0,117.0,138.0,123.0,107.0,85.0,99.0,79.0,198.0,98.0,129.0,127.0,244.0,17.0,8.0
74.0,Jannis Grob,1725.0,44.0,12.0,85.0,112.0,308.0,250.0,85.0,99.0,101.0,98.0,195.0,106.0,158.0,47.0,17.0,8.0
75.0,Simon Stannek,1753.0,77.0,122.0,15.0,13.0,9.0,1.0,85.0,80.0,108.0,242.0,115.0,229.0,361.0,271.0,17.0,8.0
76.0,Duc Huynh,1757.0,23.0,37.0,67.0,145.0,258.0,250.0,85.0,99.0,75.0,194.0,118.0,3.0,107.0,271.0,17.0,8.0
77.0,Markus Wolf,1760.0,110.0,87.0,100.0,203.0,187.0,250.0,85.0,99.0,103.0,113.0,275.0,18.0,44.0,61.0,17.0,8.0
78.0,Fritz Löhr,1798.0,304.0,279.0,146.0,115.0,76.0,50.0,53.0,13.0,174.0,100.0,91.0,224.0,38.0,110.0,17.0,8.0
79.0,Ottfried Kejs,1805.0,96.0,47.0,32.0,52.0,42.0,43.0,85.0,99.0,141.0,242.0,116.0,149.0,441.0,195.0,17.0,8.0
80.0,Willi Mickein,1852.0,259.0,177.0,263.0,114.0,119.0,138.0,85.0,92.0,333.0,154.0,14.0,4.0,35.0,40.0,17.0,8.0
81.0,Tim Schädel,1875.0,157.0,137.0,152.0,107.0,71.0,70.0,85.0,99.0,154.0,242.0,147.0,70.0,88.0,271.0,17.0,8.0
82.0,Moritz Karl,1896.0,49.0,78.0,93.0,67.0,147.0,161.0,51.0,99.0,17.0,233.0,219.0,190.0,358.0,109.0,17.0,8.0
83.0,Moritz Lotz,1899.0,153.0,61.0,114.0,106.0,148.0,82.0,73.0,99.0,286.0,141.0,89.0,233.0,288.0,1.0,17.0,8.0
84.0,Justus Hanf,1930.0,263.0,105.0,172.0,196.0,168.0,167.0,85.0,89.0,164.0,37.0,201.0,93.0,65.0,100.0,17.0,8.0
85.0,Garret von Gaffron,1938.0,112.0,214.0,37.0,30.0,29.0,36.0,85.0,99.0,89.0,142.0,144.0,157.0,475.0,264.0,17.0,8.0
86.0,Kira-Lysan Meyer,1948.0,83.0,58.0,59.0,82.0,108.0,121.0,85.0,99.0,51.0,242.0,46.0,392.0,296.0,201.0,17.0,8.0
87.0,Bruno Di Renzo John,1956.0,122.0,122.0,208.0,194.0,206.0,199.0,85.0,99.0,233.0,105.0,104.0,50.0,36.0,168.0,17.0,8.0
88.0,Auel Yakubu,1965.0,203.0,271.0,107.0,105.0,82.0,63.0,85.0,99.0,95.0,242.0,39.0,188.0,90.0,271.0,17.0,8.0
89.0,Simon Kalhofer,1979.0,27.0,45.0,40.0,424.0,308.0,250.0,27.0,99.0,5.0,86.0,210.0,44.0,118.0,271.0,17.0,8.0
90.0,Max Geißelhart,1986.0,40.0,74.0,178.0,162.0,308.0,250.0,85.0,99.0,139.0,242.0,95.0,41.0,171.0,77.0,17.0,8.0
91.0,René Horn,1988.0,145.0,33.0,267.0,310.0,204.0,250.0,85.0,99.0,159.0,80.0,106.0,105.0,18.0,102.0,17.0,8.0
92.0,Jukka Geisler,1997.0,122.0,7.0,133.0,171.0,170.0,250.0,85.0,99.0,26.0,242.0,275.0,99.0,22.0,271.0,17.0,8.0
