Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
44.0,Ashik Mahmud,570.0,37.0,60.0,101.0,46.0,18.0,13.0,2.0,40.0,5.0,36.0,63.0,119.0,30.0
45.0,Muhammad Nehan Yasjudan,572.0,18.0,15.0,41.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,40.0,119.0,30.0
46.0,Iftakharul Islam,574.0,81.0,54.0,53.0,35.0,18.0,13.0,2.0,69.0,5.0,36.0,116.0,82.0,10.0
47.0,Mohammad Shadman Bin Hasan,577.0,121.0,25.0,96.0,46.0,18.0,13.0,2.0,115.0,5.0,36.0,43.0,27.0,30.0
48.0,Mohammad Amanat Alam,579.0,52.0,71.0,42.0,36.0,18.0,13.0,2.0,123.0,5.0,36.0,32.0,119.0,30.0
49.0,Rizwanul Islam Sakib,584.0,116.0,48.0,60.0,43.0,18.0,13.0,2.0,94.0,5.0,30.0,71.0,54.0,30.0
50.0,Muhammad Sarim Hasan,591.0,91.0,39.0,75.0,46.0,18.0,13.0,2.0,57.0,5.0,36.0,60.0,119.0,30.0
51.0,Humayun Kabir Rasel,599.0,16.0,51.0,90.0,46.0,18.0,13.0,2.0,32.0,5.0,36.0,141.0,119.0,30.0
52.0,Liyana Zaman,600.0,48.0,14.0,105.0,46.0,18.0,13.0,2.0,34.0,5.0,36.0,130.0,119.0,30.0
53.0,Ishmam Mahdi,603.0,43.0,90.0,48.0,11.0,4.0,3.0,2.0,136.0,5.0,36.0,98.0,97.0,30.0
54.0,Talha Harun,613.0,69.0,53.0,105.0,46.0,18.0,13.0,2.0,44.0,5.0,36.0,73.0,119.0,30.0
55.0,Durjoy Paul Apon,621.0,129.0,43.0,64.0,39.0,18.0,13.0,2.0,102.0,5.0,36.0,74.0,66.0,30.0
56.0,Tuneer Bagchi,622.0,106.0,93.0,40.0,46.0,18.0,13.0,2.0,107.0,5.0,36.0,96.0,39.0,21.0
57.0,Mohammad Dilwar Ali Alvee,625.0,84.0,115.0,105.0,46.0,18.0,13.0,2.0,65.0,5.0,7.0,105.0,30.0,30.0
58.0,Shams Abtahi Ishmam,627.0,56.0,56.0,105.0,46.0,18.0,13.0,2.0,15.0,5.0,36.0,231.0,14.0,30.0
59.0,Muhammad Tasvir Siddique,629.0,139.0,37.0,105.0,46.0,18.0,13.0,2.0,63.0,5.0,36.0,49.0,86.0,30.0
60.0,Md Ayad Hossain,637.0,59.0,12.0,38.0,46.0,18.0,13.0,2.0,45.0,5.0,19.0,231.0,119.0,30.0
61.0,Abdullah Al Fahad,638.0,58.0,17.0,105.0,46.0,18.0,13.0,2.0,10.0,5.0,36.0,179.0,119.0,30.0
62.0,Sahaf Bin Asif,643.0,96.0,46.0,70.0,46.0,18.0,13.0,2.0,134.0,5.0,36.0,54.0,93.0,30.0
63.0,Soyaib Mahmoud,645.0,50.0,101.0,73.0,46.0,18.0,13.0,2.0,92.0,5.0,36.0,119.0,60.0,30.0
64.0,Muntazim Billah Nazif,650.0,68.0,34.0,105.0,46.0,18.0,13.0,2.0,129.0,5.0,36.0,45.0,119.0,30.0
65.0,Aaditya Sikder,652.0,83.0,38.0,66.0,46.0,18.0,13.0,2.0,83.0,5.0,22.0,231.0,15.0,30.0
65.0,Ayman Hoque,652.0,77.0,119.0,77.0,46.0,18.0,13.0,2.0,113.0,1.0,36.0,92.0,49.0,9.0
67.0,Md Tahsin Al Farhan Patwary,653.0,41.0,55.0,105.0,46.0,18.0,13.0,2.0,111.0,5.0,36.0,72.0,119.0,30.0
68.0,SM Shish,654.0,62.0,91.0,22.0,46.0,18.0,13.0,2.0,153.0,5.0,36.0,68.0,108.0,30.0
69.0,Labib Al Hasan,657.0,168.0,27.0,105.0,46.0,18.0,13.0,2.0,126.0,5.0,36.0,57.0,24.0,30.0
70.0,Farhanul Haque Khan,664.0,67.0,78.0,71.0,41.0,18.0,13.0,2.0,59.0,5.0,36.0,135.0,109.0,30.0
70.0,Farhan Labib,664.0,241.0,40.0,55.0,46.0,18.0,13.0,2.0,100.0,5.0,18.0,51.0,45.0,30.0
72.0,Siyam Sadman,668.0,12.0,83.0,7.0,4.0,18.0,13.0,2.0,108.0,5.0,36.0,231.0,119.0,30.0
73.0,Ramin Tasabbir Al Bashar,669.0,70.0,133.0,105.0,46.0,18.0,13.0,2.0,85.0,5.0,36.0,85.0,41.0,30.0
74.0,Fahiyeen Dewan,678.0,54.0,67.0,76.0,46.0,18.0,13.0,2.0,81.0,5.0,36.0,150.0,100.0,30.0
75.0,Mohammad Nashfiur Rahman Shifam,680.0,90.0,72.0,105.0,46.0,18.0,13.0,2.0,125.0,5.0,36.0,19.0,119.0,30.0
76.0,Sadman Sakib,682.0,61.0,95.0,95.0,46.0,18.0,13.0,2.0,130.0,5.0,36.0,94.0,57.0,30.0
76.0,SM Abeer Ullah,682.0,71.0,44.0,69.0,46.0,18.0,13.0,2.0,97.0,5.0,36.0,231.0,20.0,30.0
78.0,Ilhan Ibne Ahmed,693.0,46.0,24.0,82.0,46.0,18.0,13.0,2.0,41.0,5.0,36.0,231.0,119.0,30.0
78.0,Imran Rahman,693.0,78.0,1.0,20.0,28.0,18.0,13.0,2.0,112.0,5.0,36.0,231.0,119.0,30.0
80.0,Aqueeb Anjum Sunny,694.0,79.0,58.0,105.0,46.0,18.0,13.0,2.0,30.0,5.0,36.0,153.0,119.0,30.0
80.0,Hosen Mohammed Imran Nikson,694.0,152.0,69.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,16.0,13.0,30.0
82.0,Asad Mahmud,702.0,36.0,163.0,12.0,18.0,9.0,13.0,2.0,28.0,5.0,36.0,231.0,119.0,30.0
83.0,Sazid Uddin,705.0,109.0,88.0,54.0,46.0,18.0,13.0,2.0,105.0,5.0,36.0,93.0,119.0,17.0
84.0,Asif Afsar,706.0,99.0,68.0,105.0,46.0,18.0,13.0,2.0,8.0,5.0,36.0,157.0,119.0,30.0
85.0,Iftekhar Rahman,717.0,85.0,128.0,34.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,12.0,119.0,30.0
86.0,Rahik Wasif,723.0,107.0,99.0,45.0,46.0,18.0,13.0,2.0,80.0,5.0,36.0,231.0,11.0,30.0
