Rank,name,Sum,333,222,444,555,666,333oh,clock,minx,pyram,skewb,sq1
46.0,Zurab Katcharava,280.0,61.0,46.0,27.0,9.0,2.0,38.0,2.0,8.0,55.0,27.0,5.0
47.0,Merabi Batiashvili,282.0,77.0,53.0,27.0,9.0,2.0,34.0,2.0,8.0,31.0,34.0,5.0
48.0,Luka Nadiradze (ლუკა ნადირაძე),285.0,84.0,57.0,27.0,9.0,2.0,38.0,2.0,8.0,19.0,34.0,5.0
49.0,Giorgi Zaalishvili (გიორგი ზაალიშვილი),286.0,41.0,40.0,27.0,9.0,2.0,31.0,2.0,8.0,87.0,34.0,5.0
49.0,Giorgi Chkhaidze (გიორგი ჩხაიძე),286.0,80.0,58.0,27.0,9.0,2.0,35.0,2.0,8.0,43.0,17.0,5.0
51.0,Ilia Jalal (ილია ჯალალ),287.0,43.0,32.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
52.0,Giorgi Qebadze (გიორგი ქებაძე),295.0,73.0,37.0,27.0,9.0,2.0,38.0,2.0,8.0,60.0,34.0,5.0
52.0,Bagrat Shonia,295.0,82.0,59.0,27.0,9.0,2.0,38.0,2.0,8.0,29.0,34.0,5.0
54.0,Maxim Sarkisovi,298.0,47.0,49.0,27.0,9.0,2.0,30.0,2.0,8.0,86.0,33.0,5.0
55.0,Nikoloz Kobakhidze,299.0,81.0,73.0,27.0,9.0,2.0,38.0,2.0,8.0,20.0,34.0,5.0
56.0,Giorgi Tamazashvili,302.0,55.0,47.0,27.0,9.0,2.0,26.0,2.0,8.0,87.0,34.0,5.0
57.0,Saba Gogilashvili,304.0,51.0,41.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
58.0,Luka Gogichaishvili,305.0,60.0,109.0,27.0,9.0,2.0,25.0,2.0,8.0,38.0,20.0,5.0
58.0,Nikolozi Tskhomelidze,305.0,95.0,50.0,27.0,9.0,2.0,38.0,2.0,8.0,35.0,34.0,5.0
60.0,Gurami Pureliani,314.0,105.0,65.0,27.0,9.0,2.0,38.0,2.0,8.0,32.0,21.0,5.0
60.0,Dachi Abesadze,314.0,69.0,63.0,27.0,9.0,2.0,38.0,2.0,8.0,57.0,34.0,5.0
62.0,Andria Skhirtladze (ანდრია სხრიტლაძე),316.0,96.0,61.0,27.0,9.0,2.0,38.0,2.0,8.0,34.0,34.0,5.0
63.0,Mikheil Shubitidze (მიხეილ შუბითიძე),318.0,64.0,48.0,26.0,9.0,2.0,33.0,2.0,8.0,87.0,34.0,5.0
64.0,Mushni Chankseliani (მუშნი ჩანქსელიანი),319.0,35.0,96.0,27.0,9.0,2.0,37.0,2.0,8.0,64.0,34.0,5.0
65.0,Davit Dudashvili,320.0,65.0,72.0,27.0,9.0,2.0,38.0,2.0,8.0,58.0,34.0,5.0
66.0,Nikoloz Abashidze,323.0,86.0,76.0,27.0,9.0,2.0,38.0,2.0,8.0,41.0,29.0,5.0
67.0,Petre Tenieshvili,332.0,22.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,23.0,5.0
68.0,Revaz Rukhadze,333.0,78.0,71.0,27.0,9.0,2.0,38.0,2.0,8.0,59.0,34.0,5.0
69.0,Gega Tsetskhladze (გეგა ცეცხლაძე),334.0,99.0,66.0,27.0,9.0,2.0,38.0,2.0,8.0,44.0,34.0,5.0
69.0,Saba Mikaia (საბა მიქაია),334.0,66.0,56.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
71.0,Nikoloz Chaladze,335.0,68.0,55.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
72.0,Robert Avetisov,341.0,93.0,74.0,27.0,9.0,2.0,38.0,2.0,8.0,49.0,34.0,5.0
73.0,Ketevan Sikharulidze,345.0,72.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,39.0,34.0,5.0
74.0,Giorgi Mailashvili,346.0,70.0,90.0,27.0,9.0,2.0,38.0,2.0,8.0,61.0,34.0,5.0
74.0,Lizi Matchutadze,346.0,25.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
76.0,Levani Mushkudiani (ლევან მუშკუდიანი),348.0,58.0,78.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
77.0,Andria Sulashvili,352.0,92.0,70.0,27.0,9.0,2.0,38.0,2.0,8.0,65.0,34.0,5.0
78.0,Nika Pkhaladze,361.0,40.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
79.0,Irakli Elizbarashvili (ირაკლი ელიზბარაშვილი),362.0,87.0,88.0,27.0,9.0,2.0,38.0,2.0,8.0,62.0,34.0,5.0
79.0,Avtandil Kaplanishvili,362.0,76.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,52.0,34.0,5.0
81.0,Tornike Devdariani,366.0,45.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
82.0,Daniel Mamonov,369.0,63.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,72.0,34.0,5.0
82.0,Beka Varamashvili,369.0,108.0,92.0,27.0,9.0,2.0,38.0,2.0,8.0,47.0,31.0,5.0
84.0,Giorgi Tsatava (გიორგი ცატავა),370.0,49.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
85.0,Nika Khachaturovi,371.0,50.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
86.0,Dachi Cindadze,373.0,91.0,91.0,27.0,9.0,2.0,38.0,2.0,8.0,66.0,34.0,5.0
87.0,Giorgi Gogichashvili,375.0,88.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,53.0,34.0,5.0
88.0,Bacho Gvelesiani (ბაჩო გველესიანი),377.0,56.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
88.0,George Jacobashvili,377.0,127.0,75.0,27.0,9.0,2.0,38.0,2.0,8.0,50.0,34.0,5.0
90.0,Davit Jalaliani,378.0,57.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
91.0,Rati Chakhaia (რატი ჩახაია),380.0,59.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
92.0,David Sebiskveradze,382.0,129.0,52.0,27.0,9.0,2.0,38.0,2.0,8.0,76.0,34.0,5.0
93.0,Tato Shervashidze,383.0,116.0,81.0,27.0,9.0,2.0,38.0,2.0,8.0,63.0,32.0,5.0
93.0,Nikolozi Tarielashvili (ნიკოლოზ ტარიელაშვილი),383.0,62.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
