Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
36.0,Ephraim Lim Shao Liang,998.0,46.0,30.0,150.0,89.0,43.0,48.0,37.0,54.0,87.0,80.0,53.0,12.0,49.0,206.0,10.0,4.0
37.0,Amirul Rohaizat Bin Abd Halim,1036.0,94.0,55.0,44.0,43.0,18.0,26.0,37.0,54.0,24.0,129.0,25.0,175.0,92.0,206.0,10.0,4.0
37.0,Armando Dian,1036.0,21.0,201.0,30.0,50.0,52.0,55.0,37.0,54.0,19.0,98.0,48.0,196.0,57.0,104.0,10.0,4.0
39.0,Leong Ming Jun,1076.0,11.0,75.0,26.0,47.0,67.0,109.0,37.0,39.0,2.0,129.0,106.0,220.0,88.0,106.0,10.0,4.0
40.0,Clement Chieng Jin Xuan,1095.0,21.0,14.0,43.0,46.0,128.0,109.0,37.0,54.0,45.0,129.0,223.0,63.0,153.0,16.0,10.0,4.0
41.0,Kook Ming-Jo,1097.0,38.0,161.0,25.0,40.0,68.0,82.0,37.0,54.0,214.0,42.0,72.0,47.0,60.0,143.0,10.0,4.0
42.0,Desmond Low Kai Sheng,1102.0,148.0,9.0,102.0,187.0,128.0,109.0,37.0,17.0,125.0,84.0,76.0,6.0,16.0,44.0,10.0,4.0
43.0,Karenjit Singh Gill (卡仁基),1133.0,196.0,91.0,106.0,81.0,128.0,53.0,37.0,36.0,139.0,20.0,81.0,47.0,28.0,76.0,10.0,4.0
44.0,Shawn Poh,1156.0,150.0,47.0,185.0,163.0,118.0,107.0,37.0,31.0,63.0,32.0,64.0,18.0,75.0,52.0,10.0,4.0
45.0,Chloe Lee Synn Yii,1169.0,119.0,25.0,57.0,68.0,128.0,109.0,20.0,49.0,127.0,18.0,223.0,119.0,37.0,58.0,8.0,4.0
46.0,Jonathan Tan Wei Xiat,1179.0,27.0,44.0,9.0,16.0,23.0,22.0,37.0,54.0,24.0,87.0,51.0,46.0,671.0,54.0,10.0,4.0
47.0,Affan Adly Bin Nazri,1189.0,179.0,106.0,83.0,97.0,128.0,109.0,37.0,54.0,123.0,26.0,103.0,52.0,30.0,48.0,10.0,4.0
48.0,Yap Teik Yeong,1190.0,126.0,27.0,62.0,135.0,103.0,109.0,37.0,54.0,59.0,41.0,98.0,56.0,63.0,206.0,10.0,4.0
49.0,Leong Lap Tat,1212.0,84.0,6.0,85.0,310.0,128.0,109.0,37.0,54.0,66.0,14.0,223.0,8.0,18.0,56.0,10.0,4.0
50.0,Chen Kee Hong (曾纪宏),1217.0,213.0,113.0,94.0,74.0,45.0,36.0,37.0,54.0,187.0,60.0,74.0,16.0,95.0,105.0,10.0,4.0
51.0,Sheng Foon Kin,1233.0,129.0,248.0,98.0,69.0,32.0,41.0,24.0,19.0,94.0,74.0,57.0,273.0,43.0,18.0,10.0,4.0
52.0,Eng Dickson (黄迪胜),1270.0,146.0,75.0,105.0,95.0,74.0,84.0,17.0,25.0,120.0,105.0,145.0,196.0,4.0,65.0,10.0,4.0
53.0,Lim Kai Yi,1290.0,132.0,106.0,131.0,131.0,128.0,109.0,37.0,54.0,70.0,129.0,89.0,25.0,33.0,102.0,10.0,4.0
54.0,Tam Shen Hsiung (譚昇雄),1314.0,139.0,18.0,100.0,75.0,128.0,109.0,15.0,54.0,218.0,39.0,55.0,65.0,79.0,206.0,10.0,4.0
55.0,Poh Jen Joon,1391.0,162.0,15.0,99.0,106.0,128.0,109.0,37.0,54.0,206.0,129.0,93.0,59.0,106.0,74.0,10.0,4.0
56.0,Jonathan Soo Min-Kit,1459.0,100.0,329.0,70.0,23.0,16.0,19.0,37.0,54.0,91.0,69.0,91.0,206.0,279.0,61.0,10.0,4.0
57.0,Lincoln Lim Ken Yang,1477.0,189.0,85.0,81.0,56.0,46.0,40.0,37.0,54.0,54.0,129.0,90.0,176.0,261.0,165.0,10.0,4.0
58.0,Lucas Lee Zhi Yue,1485.0,47.0,152.0,121.0,158.0,128.0,109.0,37.0,54.0,30.0,129.0,223.0,50.0,27.0,206.0,10.0,4.0
59.0,H'ng Zhing Fhong,1486.0,191.0,106.0,107.0,91.0,128.0,109.0,37.0,54.0,90.0,129.0,26.0,117.0,81.0,206.0,10.0,4.0
60.0,Tee Kai Yang,1512.0,1.0,11.0,2.0,8.0,34.0,38.0,37.0,54.0,1.0,129.0,223.0,83.0,671.0,206.0,10.0,4.0
61.0,Tan Jin Kang,1534.0,17.0,88.0,75.0,71.0,76.0,65.0,37.0,54.0,39.0,129.0,117.0,256.0,290.0,206.0,10.0,4.0
62.0,Muhammad Aliff Haiqal Bin Zulkifli,1544.0,41.0,124.0,40.0,96.0,128.0,109.0,37.0,54.0,279.0,129.0,223.0,122.0,115.0,33.0,10.0,4.0
63.0,Kuak Zhe Kai,1555.0,18.0,3.0,148.0,310.0,128.0,109.0,37.0,54.0,78.0,129.0,223.0,78.0,20.0,206.0,10.0,4.0
64.0,Tan Weiu Cheng,1560.0,193.0,117.0,108.0,119.0,128.0,109.0,37.0,54.0,130.0,99.0,223.0,49.0,158.0,22.0,10.0,4.0
65.0,Daniel Ong Eng Siong,1583.0,254.0,72.0,215.0,141.0,81.0,86.0,37.0,54.0,142.0,75.0,153.0,75.0,52.0,132.0,10.0,4.0
66.0,Ung Ren Jun,1585.0,113.0,321.0,60.0,34.0,24.0,17.0,37.0,54.0,165.0,129.0,37.0,198.0,307.0,75.0,10.0,4.0
67.0,Chong Hau Han,1589.0,86.0,134.0,90.0,134.0,128.0,109.0,37.0,54.0,96.0,129.0,5.0,468.0,54.0,51.0,10.0,4.0
68.0,Siow Chun Heng,1632.0,170.0,166.0,145.0,93.0,69.0,69.0,37.0,54.0,147.0,13.0,223.0,192.0,69.0,171.0,10.0,4.0
69.0,Ruben Lau Zhao Bin,1634.0,191.0,19.0,134.0,169.0,128.0,109.0,37.0,54.0,71.0,129.0,132.0,237.0,189.0,21.0,10.0,4.0
70.0,Teh Zhe Wen (郑哲文),1651.0,29.0,36.0,45.0,67.0,54.0,58.0,37.0,25.0,34.0,77.0,62.0,1070.0,34.0,9.0,10.0,4.0
71.0,David Chong Kai Xiang (张凯祥),1665.0,305.0,100.0,178.0,223.0,117.0,103.0,21.0,32.0,156.0,24.0,152.0,35.0,39.0,166.0,10.0,4.0
72.0,Evrich Markell Robert,1669.0,91.0,125.0,119.0,141.0,128.0,109.0,37.0,54.0,17.0,129.0,223.0,143.0,133.0,206.0,10.0,4.0
73.0,Lim Chuen Tek,1673.0,227.0,127.0,112.0,77.0,128.0,109.0,37.0,54.0,82.0,68.0,223.0,72.0,257.0,86.0,10.0,4.0
74.0,Abner Philip Then Yi Hao (邓奕浩),1680.0,286.0,187.0,235.0,113.0,92.0,101.0,37.0,18.0,196.0,93.0,34.0,80.0,112.0,82.0,10.0,4.0
75.0,Arif Imran Bin Arifin,1686.0,292.0,101.0,216.0,310.0,128.0,109.0,37.0,54.0,148.0,1.0,52.0,68.0,119.0,37.0,10.0,4.0
76.0,Muhammad Haziq Noreffendi,1690.0,177.0,91.0,122.0,167.0,128.0,109.0,37.0,54.0,57.0,129.0,149.0,238.0,82.0,136.0,10.0,4.0
77.0,Muhammad Hariz Bin Azizan,1706.0,7.0,61.0,12.0,63.0,85.0,109.0,37.0,22.0,98.0,129.0,13.0,559.0,291.0,206.0,10.0,4.0
78.0,Hong Xiang Loke,1721.0,118.0,140.0,74.0,33.0,36.0,23.0,37.0,54.0,108.0,129.0,38.0,547.0,164.0,206.0,10.0,4.0
79.0,Siau Hong Da (蕭宏達),1723.0,102.0,462.0,61.0,83.0,128.0,109.0,37.0,54.0,232.0,30.0,223.0,20.0,12.0,156.0,10.0,4.0
80.0,Joel Yii Ann En,1748.0,52.0,34.0,48.0,125.0,128.0,109.0,37.0,54.0,29.0,129.0,75.0,509.0,308.0,97.0,10.0,4.0
81.0,Nicholas Tan Jun Wei,1750.0,164.0,304.0,127.0,108.0,106.0,88.0,37.0,43.0,180.0,79.0,73.0,325.0,31.0,71.0,10.0,4.0
82.0,Ho Lit Herng,1775.0,150.0,207.0,63.0,48.0,90.0,109.0,37.0,54.0,195.0,129.0,223.0,300.0,46.0,110.0,10.0,4.0
83.0,Cody Ryan James,1827.0,132.0,147.0,113.0,62.0,59.0,62.0,37.0,54.0,48.0,129.0,21.0,134.0,671.0,144.0,10.0,4.0
84.0,Danish Najmi,1833.0,63.0,212.0,156.0,155.0,128.0,109.0,37.0,54.0,106.0,129.0,223.0,133.0,108.0,206.0,10.0,4.0
85.0,Nieh Zee Shenn Benjamin,1871.0,74.0,104.0,104.0,224.0,128.0,109.0,37.0,54.0,97.0,129.0,223.0,204.0,164.0,206.0,10.0,4.0
