Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
48.0,Tino Stojanovski,308.0,81.0,53.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,56.0,21.0,5.0
49.0,Nemanja Trajkovic,311.0,73.0,52.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,50.0,39.0,5.0
50.0,Aleksandar Mitrov,313.0,70.0,33.0,33.0,13.0,7.0,5.0,23.0,2.0,8.0,74.0,40.0,5.0
51.0,Marko Knezhevikj,314.0,39.0,54.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
52.0,Antonio Jankoski,321.0,91.0,72.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,26.0,35.0,5.0
53.0,David Mancevski,323.0,52.0,50.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
54.0,Dimitar Karakutovski,324.0,71.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,44.0,11.0,5.0
55.0,Vojche Kushevski,325.0,58.0,46.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
56.0,Anika Simonovska,327.0,84.0,51.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,61.0,34.0,5.0
57.0,Stefan Cingarovski,329.0,83.0,71.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,38.0,40.0,5.0
57.0,Simeon Mickovski,329.0,68.0,68.0,27.0,13.0,7.0,5.0,23.0,2.0,8.0,63.0,40.0,5.0
59.0,Tadej Gjorgjioski,330.0,93.0,45.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,79.0,16.0,5.0
60.0,Milan Bogdanovski,334.0,59.0,57.0,31.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
61.0,Aleksandar Serafimovski,335.0,27.0,101.0,20.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
61.0,Dimitar Peposki,335.0,13.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
63.0,Aleksandar Miloshevski,336.0,24.0,101.0,24.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
64.0,Maksim Gjorgievski,338.0,88.0,77.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,36.0,40.0,5.0
65.0,Petar Lazovski,340.0,135.0,64.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,7.0,37.0,5.0
66.0,Marija Milosevic,345.0,80.0,58.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,70.0,40.0,5.0
67.0,Ana Spikovska,348.0,72.0,55.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
