Rank,name,Sum,333,222,444,555,666,333fm,333oh,clock,minx,pyram,skewb,sq1
48.0,Augustin Ploteanu,228.0,65.0,29.0,24.0,9.0,4.0,2.0,19.0,3.0,4.0,44.0,21.0,4.0
49.0,Damian Botezatu,232.0,54.0,51.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,9.0,4.0
50.0,Stefan Negru,233.0,22.0,88.0,24.0,9.0,4.0,2.0,8.0,3.0,4.0,44.0,21.0,4.0
51.0,Gabriel Rotaru,234.0,73.0,41.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,34.0,12.0,4.0
52.0,Matteo Lungu,236.0,19.0,88.0,24.0,9.0,4.0,2.0,14.0,3.0,4.0,44.0,21.0,4.0
53.0,Matei Cararus,237.0,94.0,20.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,28.0,21.0,4.0
54.0,Daniil Samohvalov,242.0,61.0,42.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
55.0,Vladislav Dima,243.0,29.0,88.0,24.0,9.0,4.0,2.0,11.0,3.0,4.0,44.0,21.0,4.0
55.0,Gherman Ciub,243.0,56.0,48.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
57.0,Bogdan Lazariuc,247.0,85.0,53.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,14.0,21.0,4.0
58.0,Constantin Turcu,249.0,72.0,57.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,25.0,21.0,4.0
59.0,Igor Balov,250.0,35.0,88.0,24.0,9.0,4.0,2.0,12.0,3.0,4.0,44.0,21.0,4.0
60.0,Vitaly Glinca,251.0,24.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
60.0,Cristian Stamatin,251.0,37.0,88.0,11.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
62.0,Nicolae Matei,252.0,62.0,55.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,40.0,21.0,4.0
63.0,Mihai Spinu,254.0,33.0,82.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
64.0,Dragoș Străinu,258.0,74.0,47.0,24.0,9.0,4.0,2.0,22.0,3.0,4.0,44.0,21.0,4.0
65.0,Daniela Moldovanu,262.0,102.0,54.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,21.0,11.0,4.0
66.0,Serghei Sinchin,263.0,58.0,66.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
67.0,Vlad Merjan,266.0,68.0,59.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
68.0,Vladislav Plamadeala,268.0,77.0,52.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
69.0,Eugen Josan,273.0,80.0,79.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,19.0,21.0,4.0
69.0,Alexandru Curtian,273.0,76.0,58.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
71.0,Yura Rushika (Юрий Рушика),275.0,48.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
71.0,Adrian Ciochina,275.0,75.0,61.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
73.0,Victor Leșan,276.0,49.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
73.0,Roberto Lozovanu,276.0,81.0,56.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
75.0,Nichita Cecoda,278.0,71.0,81.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,36.0,16.0,4.0
76.0,Dionis Cumpan,280.0,53.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
76.0,Nicolae Șoitu,280.0,78.0,64.0,24.0,9.0,4.0,2.0,23.0,3.0,4.0,44.0,21.0,4.0
78.0,Alexei Andronov,282.0,84.0,71.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,32.0,21.0,4.0
79.0,Dumitru Burov,284.0,57.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
80.0,Emanoil Borzin,286.0,106.0,70.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,15.0,21.0,4.0
81.0,Kristian Draguțan,287.0,60.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
81.0,Robert Grecu,287.0,69.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,37.0,19.0,4.0
83.0,Iulia Dovganici,289.0,82.0,68.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
