Rank,name,Sum,333,222,444,555,666,777,333oh,pyram,skewb,sq1
1.0,Jannik Gartmann,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Raffaele Squillacioti,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
