Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
45.0,Sarvagya Niraula,450.0,66.0,40.0,62.0,21.0,7.0,4.0,8.0,50.0,9.0,18.0,135.0,13.0,17.0
45.0,Aayush Gajurel,450.0,47.0,34.0,32.0,21.0,7.0,4.0,8.0,44.0,9.0,18.0,135.0,70.0,21.0
47.0,Ritesh Gautam,452.0,36.0,47.0,62.0,21.0,7.0,4.0,8.0,14.0,9.0,18.0,135.0,70.0,21.0
48.0,Ayush Guragai,453.0,82.0,43.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,54.0,32.0,21.0
49.0,Kenish Shrestha,462.0,72.0,31.0,43.0,21.0,7.0,4.0,8.0,60.0,9.0,18.0,135.0,33.0,21.0
50.0,Krishal KC,465.0,106.0,45.0,62.0,21.0,7.0,4.0,8.0,92.0,6.0,18.0,50.0,25.0,21.0
51.0,Vansh Thaman,468.0,94.0,50.0,62.0,21.0,7.0,4.0,8.0,46.0,9.0,18.0,58.0,70.0,21.0
52.0,Simon Malla,469.0,111.0,73.0,50.0,21.0,7.0,4.0,8.0,69.0,9.0,18.0,44.0,34.0,21.0
53.0,Arya Jyoti Bajracharya,470.0,109.0,77.0,37.0,21.0,7.0,4.0,8.0,70.0,9.0,18.0,38.0,70.0,2.0
54.0,Shahil Rai,474.0,59.0,59.0,62.0,21.0,7.0,4.0,8.0,19.0,7.0,18.0,135.0,70.0,5.0
55.0,Sanket Lamsal,476.0,64.0,65.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,35.0,70.0,21.0
56.0,Samarth Kunwar,482.0,37.0,37.0,23.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
56.0,Pratik Dhakal,482.0,68.0,52.0,47.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,104.0,39.0,13.0
58.0,Sanjeev Das,496.0,67.0,56.0,62.0,21.0,7.0,4.0,8.0,57.0,9.0,18.0,96.0,70.0,21.0
59.0,Kastab Raj Bharati,499.0,51.0,51.0,62.0,21.0,7.0,4.0,8.0,42.0,9.0,18.0,135.0,70.0,21.0
60.0,Sugam Baidya,501.0,87.0,26.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,11.0,21.0
61.0,Sabin Subedi,502.0,78.0,49.0,44.0,21.0,7.0,4.0,8.0,55.0,9.0,18.0,135.0,53.0,21.0
62.0,Roshan Wagle,505.0,119.0,57.0,62.0,21.0,7.0,4.0,8.0,63.0,9.0,18.0,46.0,70.0,21.0
63.0,Hirdaya Gurung,506.0,62.0,52.0,51.0,21.0,7.0,4.0,8.0,48.0,9.0,18.0,135.0,70.0,21.0
64.0,Bishesh Bajracharya,513.0,104.0,81.0,62.0,21.0,7.0,4.0,8.0,51.0,9.0,18.0,57.0,70.0,21.0
65.0,Anish Bishwokarma,518.0,52.0,45.0,62.0,21.0,7.0,4.0,8.0,66.0,9.0,18.0,135.0,70.0,21.0
66.0,Bipul Mahat,520.0,17.0,184.0,62.0,21.0,7.0,4.0,8.0,5.0,9.0,18.0,135.0,29.0,21.0
67.0,Pranit Thapa,521.0,55.0,83.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,80.0,61.0,21.0
68.0,Suprav Akuliya,527.0,41.0,184.0,31.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,21.0,70.0,21.0
69.0,Saroj Neupane,529.0,31.0,85.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,101.0,70.0,21.0
70.0,Hari Kumar Dangol,543.0,90.0,131.0,39.0,21.0,7.0,4.0,8.0,92.0,9.0,16.0,49.0,56.0,21.0
71.0,Saugat Dhakal,546.0,60.0,39.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
72.0,Pradip Manandhar,551.0,145.0,76.0,62.0,21.0,7.0,4.0,8.0,88.0,9.0,18.0,22.0,70.0,21.0
73.0,Krishna Raj Upreti,561.0,155.0,71.0,62.0,21.0,7.0,4.0,8.0,80.0,8.0,18.0,77.0,30.0,20.0
74.0,Bimal Thapa,574.0,65.0,62.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
75.0,Susan Subedi,575.0,95.0,78.0,57.0,21.0,7.0,4.0,8.0,74.0,9.0,18.0,113.0,70.0,21.0
76.0,Shree Krishna Shrestha,577.0,86.0,116.0,46.0,21.0,7.0,4.0,8.0,49.0,9.0,18.0,125.0,67.0,21.0
77.0,Roshan Sahani,578.0,73.0,58.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
