Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
74.0,Edib Rahmanović,278.0,72.0,60.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,47.0,24.0,9.0
77.0,Andrej Tomić,279.0,81.0,62.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,37.0,24.0,9.0
77.0,Aleksandar Uletilović,279.0,61.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
79.0,Jan Bulajić,280.0,76.0,56.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
80.0,Zenit Solak,283.0,86.0,54.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,44.0,24.0,9.0
81.0,Marko Beric,286.0,68.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
82.0,Gligorije Aleksić,287.0,69.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
83.0,Zorinko Stopic,289.0,91.0,66.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,36.0,21.0,9.0
84.0,Adi Husaković,291.0,80.0,63.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
85.0,Danijel Simić,296.0,103.0,45.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
86.0,Nina Šormaz,298.0,82.0,68.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
87.0,Mia Ćurković,300.0,89.0,67.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,45.0,24.0,9.0
88.0,Stefan Starcevic,301.0,83.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
89.0,Marija Lahovski,303.0,85.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
89.0,Benjamin Kisevic,303.0,90.0,65.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
91.0,Imran Lisica,305.0,87.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
92.0,Adem Arifovic,306.0,88.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
93.0,Esmir Šuta,310.0,92.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
94.0,Radan Stanković,311.0,93.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
95.0,Edin Kovačević,312.0,94.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
96.0,Dimitrije Trbojević,313.0,95.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
97.0,Nikola Mutić,314.0,96.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
98.0,Jozo Galić,315.0,103.0,64.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
98.0,Hamza Habibija,315.0,97.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
100.0,Anela Arifovic,316.0,98.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
101.0,Andrej Simicevic,317.0,99.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
102.0,Jovana Milišić,318.0,101.0,69.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
102.0,Muhammed Fatih Adilović,318.0,100.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
104.0,Dražen Mihajlović,320.0,102.0,70.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
