Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
41.0,Charlie Cleworth,659.0,21.0,12.0,104.0,103.0,38.0,32.0,11.0,19.0,56.0,40.0,115.0,47.0,31.0,27.0,3.0
42.0,Micah Willenburgh,669.0,137.0,29.0,90.0,103.0,38.0,32.0,11.0,19.0,83.0,40.0,24.0,29.0,18.0,13.0,3.0
43.0,Chase Lee Roodt,695.0,153.0,47.0,93.0,64.0,38.0,32.0,11.0,19.0,107.0,26.0,21.0,2.0,16.0,63.0,3.0
44.0,Tristan Ford,697.0,60.0,150.0,74.0,52.0,38.0,32.0,11.0,19.0,66.0,7.0,19.0,145.0,3.0,18.0,3.0
45.0,Jonathan Munro,708.0,16.0,16.0,21.0,31.0,38.0,32.0,11.0,19.0,25.0,40.0,115.0,146.0,132.0,63.0,3.0
46.0,Noah Levin,721.0,150.0,67.0,42.0,103.0,38.0,32.0,11.0,19.0,43.0,40.0,67.0,44.0,38.0,24.0,3.0
47.0,Christiaan Botha,726.0,54.0,41.0,72.0,48.0,38.0,32.0,11.0,19.0,32.0,40.0,42.0,20.0,211.0,63.0,3.0
48.0,Jan-Hendrik Hoogendyk,737.0,22.0,3.0,30.0,103.0,38.0,32.0,11.0,19.0,44.0,40.0,115.0,30.0,211.0,36.0,3.0
49.0,Raefe Roodt,791.0,62.0,36.0,53.0,55.0,38.0,32.0,11.0,19.0,94.0,40.0,64.0,157.0,96.0,31.0,3.0
50.0,Kieran Weitz,808.0,93.0,86.0,89.0,103.0,38.0,32.0,11.0,19.0,86.0,40.0,31.0,62.0,52.0,63.0,3.0
51.0,Duan Myburgh,830.0,64.0,93.0,44.0,32.0,38.0,32.0,11.0,19.0,58.0,40.0,32.0,227.0,74.0,63.0,3.0
52.0,Ekhard Rabie,833.0,69.0,14.0,148.0,65.0,38.0,32.0,11.0,19.0,42.0,40.0,72.0,34.0,183.0,63.0,3.0
53.0,Brent Boswell,841.0,84.0,154.0,44.0,51.0,33.0,32.0,11.0,19.0,29.0,35.0,81.0,107.0,109.0,49.0,3.0
54.0,Ryan du Preez,846.0,98.0,123.0,34.0,38.0,38.0,32.0,11.0,19.0,65.0,40.0,53.0,38.0,191.0,63.0,3.0
55.0,Stephen Cotterrell,854.0,32.0,66.0,29.0,47.0,38.0,32.0,11.0,19.0,39.0,40.0,60.0,164.0,211.0,63.0,3.0
56.0,Nkosinathi Radebe,858.0,115.0,126.0,81.0,54.0,38.0,32.0,11.0,19.0,85.0,40.0,49.0,80.0,62.0,63.0,3.0
57.0,George Guvamatanga,862.0,56.0,94.0,63.0,35.0,38.0,32.0,11.0,19.0,21.0,16.0,115.0,214.0,82.0,63.0,3.0
58.0,Daniel Peter Charles Moore,874.0,79.0,80.0,58.0,49.0,38.0,32.0,11.0,19.0,63.0,40.0,115.0,13.0,211.0,63.0,3.0
59.0,Devon Hong,875.0,109.0,50.0,95.0,103.0,38.0,32.0,11.0,19.0,101.0,40.0,115.0,39.0,57.0,63.0,3.0
60.0,Nicholas Gray,892.0,0.0,0.0,230.0,103.0,38.0,32.0,11.0,19.0,238.0,40.0,115.0,0.0,0.0,63.0,3.0
61.0,Herman Fourie,895.0,10.0,52.0,7.0,4.0,2.0,2.0,11.0,19.0,20.0,40.0,115.0,336.0,211.0,63.0,3.0
62.0,Nicholas Barlow,918.0,11.0,33.0,230.0,103.0,38.0,32.0,11.0,19.0,41.0,40.0,75.0,56.0,163.0,63.0,3.0
63.0,Arav Maharajh,926.0,20.0,37.0,31.0,45.0,38.0,32.0,11.0,19.0,238.0,40.0,29.0,121.0,211.0,51.0,3.0
64.0,Uan Hermanus,929.0,108.0,128.0,77.0,103.0,38.0,32.0,11.0,19.0,60.0,40.0,115.0,52.0,101.0,42.0,3.0
65.0,Luan van der Walt,939.0,111.0,78.0,85.0,103.0,38.0,32.0,11.0,19.0,108.0,40.0,59.0,63.0,126.0,63.0,3.0
66.0,Walt Deyzel,943.0,80.0,40.0,59.0,103.0,38.0,32.0,11.0,19.0,98.0,40.0,115.0,31.0,211.0,63.0,3.0
