Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
37.0,Key Yu Wan,1214.0,38.0,64.0,69.0,30.0,19.0,29.0,71.0,91.0,41.0,207.0,396.0,46.0,3.0,103.0,4.0,3.0
38.0,Nícolas Raubach Munari,1224.0,61.0,123.0,27.0,26.0,22.0,99.0,71.0,120.0,89.0,238.0,7.0,107.0,178.0,49.0,4.0,3.0
39.0,Luiz Fellipe Oliuza Leal Silva,1228.0,99.0,64.0,97.0,116.0,91.0,85.0,39.0,4.0,114.0,45.0,159.0,157.0,86.0,65.0,4.0,3.0
40.0,Rafael Carreiro Campos,1265.0,134.0,166.0,32.0,15.0,8.0,6.0,71.0,44.0,35.0,227.0,60.0,79.0,155.0,226.0,4.0,3.0
41.0,Felipe Mapelli,1266.0,72.0,67.0,44.0,34.0,58.0,55.0,71.0,120.0,46.0,238.0,45.0,201.0,116.0,92.0,4.0,3.0
42.0,Pedro Santos Guimarães,1277.0,78.0,174.0,108.0,123.0,99.0,79.0,14.0,17.0,47.0,27.0,64.0,116.0,266.0,58.0,4.0,3.0
43.0,Jônatas Tavares Andrade,1320.0,167.0,125.0,149.0,102.0,140.0,99.0,71.0,120.0,135.0,42.0,10.0,66.0,32.0,55.0,4.0,3.0
44.0,Allyson Dias de Lima,1327.0,237.0,119.0,144.0,135.0,94.0,72.0,31.0,40.0,69.0,49.0,63.0,97.0,79.0,91.0,4.0,3.0
45.0,Gustavo Penaforte Brito,1348.0,56.0,8.0,46.0,64.0,92.0,99.0,58.0,35.0,82.0,238.0,111.0,279.0,102.0,71.0,4.0,3.0
46.0,Samuel Velho Pereira Meira,1351.0,84.0,93.0,93.0,51.0,140.0,99.0,71.0,120.0,112.0,238.0,119.0,74.0,33.0,17.0,4.0,3.0
47.0,Víctor Lucas Rosada Canesin,1358.0,85.0,85.0,105.0,77.0,74.0,53.0,71.0,120.0,181.0,108.0,66.0,156.0,120.0,50.0,4.0,3.0
48.0,Samuel Asafe Ludugel Fagundes,1386.0,46.0,81.0,51.0,53.0,71.0,99.0,71.0,120.0,53.0,238.0,49.0,70.0,220.0,157.0,4.0,3.0
49.0,Pedro Contreiras Moura,1415.0,32.0,38.0,89.0,71.0,50.0,99.0,71.0,120.0,354.0,82.0,157.0,57.0,142.0,46.0,4.0,3.0
