Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
48.0,Nuray Gasimova,362.0,89.0,57.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,30.0,29.0,12.0
49.0,Safar Dadashov,363.0,94.0,39.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,19.0,54.0,12.0
50.0,Mehemmed Hasanov,365.0,85.0,69.0,36.0,13.0,5.0,3.0,58.0,4.0,25.0,1.0,54.0,12.0
51.0,İbrahim Ağamalıyev,366.0,49.0,46.0,18.0,14.0,5.0,3.0,37.0,4.0,1.0,123.0,54.0,12.0
52.0,Sabir Mammedzade,368.0,75.0,30.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,52.0,54.0,12.0
53.0,Qaya Əsgərov,370.0,50.0,52.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,57.0,54.0,12.0
54.0,Eyyub Kərimov,379.0,77.0,74.0,36.0,14.0,5.0,3.0,36.0,4.0,25.0,39.0,54.0,12.0
55.0,Ibrahim Farzullayev,387.0,83.0,66.0,32.0,14.0,5.0,3.0,58.0,4.0,25.0,54.0,31.0,12.0
56.0,Toğrul Məcidov,398.0,90.0,49.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,48.0,54.0,12.0
57.0,Emil Nağıyev,409.0,63.0,60.0,36.0,14.0,5.0,3.0,29.0,4.0,25.0,123.0,35.0,12.0
58.0,Mətin Məmmədov,410.0,70.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,36.0,32.0,12.0
59.0,Ayxan Həsənov,422.0,121.0,56.0,36.0,14.0,5.0,3.0,49.0,4.0,25.0,61.0,36.0,12.0
60.0,Emil Suleymanov,426.0,33.0,59.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
60.0,Ayxan Əlizadə,426.0,59.0,33.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
62.0,Huseyn Kerimov,433.0,62.0,37.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
63.0,Hikmət Mürsəlzadə,438.0,117.0,72.0,36.0,14.0,5.0,3.0,57.0,4.0,24.0,66.0,28.0,12.0
64.0,Anar Babayev,440.0,65.0,84.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,80.0,54.0,12.0
65.0,Polad Məmmədli,441.0,69.0,47.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,114.0,54.0,12.0
66.0,Murat Shakhzade,442.0,146.0,61.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,24.0,54.0,12.0
67.0,Ayla Ahmedova,445.0,41.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,78.0,54.0,12.0
68.0,Fərid Həsənov,446.0,74.0,102.0,36.0,14.0,5.0,3.0,38.0,4.0,25.0,79.0,54.0,12.0
68.0,Attila Jamilov,446.0,71.0,70.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,95.0,53.0,12.0
70.0,Fərid Əliyev,450.0,72.0,44.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
70.0,Rafael Abubekirov,450.0,91.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,69.0,18.0,12.0
70.0,Arif Ismayilov,450.0,80.0,92.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,67.0,54.0,12.0
73.0,Adil Cümşüdlü,454.0,95.0,63.0,36.0,14.0,5.0,3.0,56.0,4.0,25.0,87.0,54.0,12.0
74.0,Rza Ağayev,455.0,119.0,57.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,68.0,54.0,12.0
75.0,Ali Cafarli,459.0,118.0,71.0,36.0,14.0,5.0,3.0,47.0,4.0,25.0,74.0,50.0,12.0
76.0,Huseyn Mamedzade,460.0,53.0,73.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
77.0,Xaliq Huseynov,461.0,110.0,85.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,55.0,54.0,12.0
78.0,Tamerlan Jamilov,466.0,108.0,82.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,65.0,54.0,12.0
79.0,Yusif Əliyev,467.0,18.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
79.0,Samed Shamchiyev,467.0,97.0,115.0,31.0,14.0,5.0,3.0,58.0,4.0,25.0,49.0,54.0,12.0
79.0,Xalid Şabizadə,467.0,55.0,115.0,26.0,14.0,5.0,3.0,31.0,4.0,25.0,123.0,54.0,12.0
82.0,Vidadi Lətifov,468.0,112.0,83.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,62.0,54.0,12.0
83.0,Kamil Əfəndiyev,469.0,20.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
83.0,Toğrul Babayev,469.0,101.0,115.0,36.0,14.0,5.0,3.0,55.0,4.0,25.0,45.0,54.0,12.0
85.0,Məcid Əyyubov,470.0,21.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
86.0,Goydaniz Huseynov,473.0,24.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
87.0,Adil Əsgərov,475.0,103.0,80.0,36.0,14.0,5.0,3.0,53.0,4.0,25.0,94.0,46.0,12.0
88.0,Aykhan Mammadov,476.0,27.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
89.0,Shams Muzaffarzada,478.0,67.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,85.0,54.0,12.0
90.0,Ismail Mamedov,480.0,137.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,17.0,54.0,12.0
90.0,İsmayıl Bədəlov,480.0,31.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
92.0,Agu Emmanuel Xəyal,483.0,114.0,67.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,91.0,54.0,12.0
93.0,Farid Mikailov,486.0,125.0,68.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,82.0,54.0,12.0
93.0,Mühəmməd Əliyev,486.0,122.0,76.0,36.0,14.0,5.0,3.0,46.0,4.0,25.0,89.0,54.0,12.0
95.0,Emil Mammadaliyev,488.0,39.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
96.0,Vadim Solovyov,489.0,40.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
97.0,Rasul Khalilov,493.0,131.0,100.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,51.0,54.0,12.0
98.0,Gülnaz İsmayılova,494.0,45.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
98.0,Huseyn Alikhanov,494.0,96.0,64.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
100.0,Əli Xəlilov,498.0,99.0,65.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
101.0,Sahin Imanov,500.0,51.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
