Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
40.0,Andris Lukijans,471.0,25.0,42.0,42.0,37.0,22.0,19.0,5.0,13.0,30.0,30.0,29.0,71.0,75.0,28.0,3.0
41.0,Krišjānis Ambainis,472.0,48.0,31.0,31.0,37.0,22.0,19.0,9.0,13.0,44.0,30.0,29.0,49.0,79.0,28.0,3.0
42.0,Mikus Jānis Gailis,474.0,46.0,24.0,58.0,37.0,22.0,19.0,9.0,13.0,45.0,30.0,20.0,41.0,79.0,28.0,3.0
43.0,Alberts Bērziņš,508.0,50.0,39.0,46.0,35.0,22.0,19.0,9.0,13.0,43.0,30.0,25.0,76.0,70.0,28.0,3.0
43.0,Teo Niklāvs Mitenbergs,508.0,45.0,44.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,31.0,79.0,28.0,3.0
45.0,Reinis Keiselis,511.0,64.0,90.0,38.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,25.0,43.0,28.0,3.0
46.0,Toms Krasts,512.0,37.0,83.0,28.0,37.0,22.0,19.0,9.0,13.0,31.0,30.0,29.0,81.0,79.0,11.0,3.0
47.0,Heinrihs Hanzovskis,515.0,69.0,57.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,47.0,33.0,28.0,3.0
48.0,Roberts Meisītis,519.0,88.0,64.0,49.0,37.0,22.0,19.0,9.0,13.0,51.0,30.0,29.0,21.0,56.0,28.0,3.0
49.0,Edgars Tamans,523.0,70.0,63.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,22.0,29.0,45.0,44.0,28.0,3.0
50.0,Lorenss Martinsons,525.0,61.0,78.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,39.0,38.0,28.0,3.0
51.0,Kristaps Kārkliņš,531.0,56.0,49.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,38.0,79.0,28.0,3.0
52.0,Kārlis Čerņavskis,536.0,83.0,47.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,24.0,29.0,44.0,59.0,28.0,3.0
53.0,Kristers Siņicins,537.0,66.0,61.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,91.0,10.0,28.0,3.0
53.0,Valters Vieško,537.0,32.0,50.0,58.0,37.0,22.0,19.0,9.0,13.0,33.0,30.0,29.0,135.0,39.0,28.0,3.0
55.0,Vinsents Romeiko,538.0,71.0,59.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,54.0,45.0,28.0,3.0
55.0,Ivans Nazarovs,538.0,44.0,40.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,85.0,60.0,28.0,3.0
57.0,Daniels Dambitis,546.0,74.0,102.0,52.0,37.0,22.0,19.0,9.0,13.0,48.0,30.0,29.0,34.0,46.0,28.0,3.0
58.0,Helvijs Guļāns,548.0,38.0,58.0,23.0,20.0,22.0,19.0,9.0,13.0,42.0,30.0,29.0,135.0,79.0,28.0,3.0
59.0,Emils Gaujenietis,561.0,82.0,48.0,50.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,62.0,68.0,28.0,3.0
60.0,Ints Lauva,562.0,94.0,73.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,51.0,35.0,28.0,3.0
61.0,Kārlis Iskrovs,572.0,53.0,68.0,37.0,28.0,22.0,19.0,9.0,13.0,38.0,30.0,26.0,119.0,79.0,28.0,3.0
62.0,Kristiāns Lazdāns,577.0,41.0,37.0,41.0,30.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,135.0,79.0,28.0,3.0
63.0,Anrijs Šarakovs,579.0,78.0,53.0,39.0,37.0,22.0,19.0,9.0,13.0,52.0,30.0,29.0,88.0,79.0,28.0,3.0
64.0,Daniels Ikaunieks,581.0,36.0,69.0,58.0,37.0,22.0,19.0,9.0,13.0,40.0,30.0,29.0,135.0,53.0,28.0,3.0
65.0,Artemijs Babicevs,587.0,77.0,52.0,45.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,98.0,64.0,28.0,3.0
66.0,Jekabs Blanks,593.0,113.0,74.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,60.0,37.0,28.0,3.0
66.0,Ansis Plēpis,593.0,73.0,54.0,34.0,21.0,14.0,10.0,9.0,13.0,61.0,30.0,29.0,135.0,79.0,28.0,3.0
68.0,Paulis Janovs,594.0,89.0,87.0,48.0,37.0,22.0,19.0,9.0,13.0,57.0,25.0,29.0,67.0,61.0,28.0,3.0
69.0,Jekabs Caics,598.0,13.0,174.0,15.0,37.0,22.0,19.0,9.0,13.0,12.0,30.0,9.0,135.0,79.0,28.0,3.0
70.0,Oleg Andreyev,601.0,62.0,64.0,58.0,37.0,22.0,19.0,9.0,13.0,36.0,30.0,29.0,112.0,79.0,28.0,3.0
71.0,Miķelis Gailums,604.0,51.0,30.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,135.0,79.0,28.0,3.0
72.0,Jānis Rekners,609.0,43.0,43.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,135.0,79.0,28.0,3.0
73.0,Eriks Antonevičs,610.0,117.0,71.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,56.0,57.0,28.0,3.0
74.0,Alens Strazdiņš,622.0,105.0,72.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,57.0,79.0,28.0,3.0
75.0,Roberts Tolpežņikovs,623.0,100.0,106.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,29.0,79.0,28.0,3.0
75.0,Kristaps Grava,623.0,108.0,100.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,55.0,51.0,28.0,3.0
77.0,Valters Krūmiņš,624.0,65.0,93.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,123.0,34.0,28.0,3.0
78.0,Ralfs Āboliņš,627.0,127.0,109.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,40.0,42.0,28.0,3.0
79.0,Gustavs Rudzitis,641.0,63.0,55.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,135.0,79.0,28.0,3.0
80.0,Reinis Bundziņš,645.0,148.0,51.0,58.0,37.0,22.0,19.0,9.0,13.0,61.0,30.0,29.0,58.0,79.0,28.0,3.0
80.0,Agnese Kvalberga,645.0,52.0,85.0,58.0,37.0,22.0,19.0,9.0,13.0,46.0,30.0,29.0,135.0,79.0,28.0,3.0
