Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
42.0,David Alexis Raudales Oseguera,312.0,55.0,14.0,48.0,10.0,4.0,3.0,3.0,38.0,5.0,20.0,77.0,33.0,2.0
44.0,Fernando David Banegas Moreno,313.0,58.0,66.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,20.0,26.0,9.0
45.0,Emerson Mejia,314.0,40.0,21.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
46.0,Harvin Eliam Pérez Inestroza,315.0,30.0,32.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
46.0,Camilo Tellez,315.0,39.0,23.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
48.0,Cristian David Flores Contreras,321.0,48.0,70.0,25.0,10.0,4.0,3.0,3.0,29.0,5.0,20.0,62.0,33.0,9.0
49.0,Rene Adolfo Merino Ruiz,325.0,77.0,49.0,44.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,38.0,22.0,9.0
50.0,Angel David Rodriguez Hernandez,328.0,42.0,33.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
51.0,José Adonis Lemus Mejía,335.0,4.0,105.0,48.0,10.0,4.0,3.0,3.0,14.0,5.0,20.0,77.0,33.0,9.0
52.0,Axel Jael García Rubio,336.0,49.0,48.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,63.0,33.0,9.0
53.0,Darío Ernesto Cruz Flores,337.0,69.0,22.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,70.0,33.0,9.0
54.0,Angelli Rivera,339.0,76.0,55.0,38.0,10.0,4.0,3.0,3.0,41.0,5.0,12.0,50.0,33.0,9.0
54.0,Nelson Johan Caballero Discua,339.0,54.0,63.0,48.0,10.0,4.0,3.0,3.0,33.0,5.0,20.0,54.0,33.0,9.0
56.0,José Román Aguiluz Milla,342.0,59.0,41.0,41.0,10.0,4.0,3.0,3.0,41.0,5.0,16.0,77.0,33.0,9.0
56.0,Alejandro Josué Fernández Ávila,342.0,91.0,53.0,48.0,10.0,4.0,3.0,3.0,36.0,5.0,20.0,42.0,18.0,9.0
56.0,Emilio Matamoros,342.0,18.0,105.0,14.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
59.0,Carlos Fabian Espinoza Moncada,345.0,50.0,59.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,16.0,9.0
59.0,Rodrigo Caleb Solorzano Navarro,345.0,64.0,36.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,69.0,33.0,9.0
61.0,Sofia Videa,351.0,63.0,47.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,65.0,33.0,9.0
62.0,Andres David Ordonez Giron,353.0,100.0,52.0,46.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,36.0,24.0,9.0
63.0,Abdel Leonardo Azzad Luque,355.0,66.0,105.0,48.0,10.0,4.0,3.0,3.0,30.0,5.0,20.0,19.0,33.0,9.0
64.0,Víctor Jhosua Osorto Sierra,357.0,29.0,105.0,18.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
64.0,Rafael Ricardo Lopez Maradiaga,357.0,52.0,105.0,30.0,10.0,4.0,3.0,3.0,20.0,5.0,6.0,77.0,33.0,9.0
66.0,Manuel Sanchez Chinchilla,363.0,85.0,61.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,41.0,33.0,9.0
67.0,Oscar Josafat Pavón Licona,365.0,68.0,64.0,43.0,10.0,4.0,3.0,3.0,26.0,5.0,20.0,77.0,33.0,9.0
68.0,Yoel Castillo Suazo,366.0,34.0,105.0,22.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
69.0,Jorge Daniel Serrano Zamora,369.0,82.0,62.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,61.0,21.0,9.0
70.0,Kenny David Torres Menjivar,372.0,51.0,68.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
70.0,Mauricio Daniel Salgado Carrillo,372.0,26.0,105.0,36.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
