Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
38.0,Albert So Yik Ban (蘇益品),715.0,64.0,84.0,63.0,66.0,38.0,32.0,13.0,24.0,62.0,46.0,48.0,76.0,42.0,55.0,2.0
39.0,Yi Qian (钱奕),717.0,102.0,95.0,94.0,56.0,38.0,32.0,13.0,24.0,24.0,36.0,48.0,84.0,14.0,55.0,2.0
40.0,He Ting Xi (何霆熙),732.0,79.0,75.0,42.0,78.0,38.0,32.0,13.0,24.0,36.0,46.0,22.0,39.0,151.0,55.0,2.0
40.0,Arnold Yeung Chun Hei (楊駿希),732.0,107.0,71.0,44.0,34.0,18.0,16.0,13.0,24.0,97.0,46.0,35.0,131.0,39.0,55.0,2.0
42.0,Joseph Liu (劉睿博),734.0,43.0,8.0,153.0,78.0,38.0,32.0,13.0,24.0,111.0,46.0,48.0,46.0,53.0,39.0,2.0
43.0,Angus Wong Tsz On (王梓安),747.0,82.0,37.0,79.0,78.0,38.0,32.0,13.0,24.0,89.0,46.0,48.0,63.0,61.0,55.0,2.0
44.0,Yu Wai Sum (余瑋深),752.0,56.0,43.0,71.0,78.0,38.0,32.0,13.0,24.0,42.0,46.0,48.0,53.0,151.0,55.0,2.0
45.0,Qing Yanzhang (卿晏彰),759.0,72.0,113.0,34.0,78.0,38.0,32.0,13.0,24.0,46.0,46.0,48.0,7.0,151.0,55.0,2.0
46.0,Li Pak Him (李柏謙),761.0,89.0,66.0,61.0,53.0,38.0,32.0,13.0,24.0,82.0,46.0,31.0,68.0,101.0,55.0,2.0
47.0,Chan Chun Hang (陳浚鏗),762.0,158.0,102.0,58.0,35.0,20.0,18.0,11.0,24.0,80.0,31.0,27.0,36.0,151.0,9.0,2.0
48.0,Antonio Li Ka Ming (李家銘),773.0,152.0,13.0,109.0,78.0,38.0,32.0,13.0,24.0,166.0,27.0,48.0,31.0,25.0,15.0,2.0
49.0,Leung Ching Fung (梁靖峯),779.0,50.0,50.0,18.0,15.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,71.0,151.0,55.0,2.0
50.0,Mok Mun Wai (莫滿懷),788.0,113.0,164.0,91.0,78.0,38.0,32.0,13.0,17.0,49.0,44.0,10.0,37.0,45.0,55.0,2.0
51.0,Brian Wu Shang Zhi (鄔尚志),834.0,34.0,46.0,35.0,78.0,38.0,32.0,13.0,24.0,6.0,46.0,48.0,226.0,151.0,55.0,2.0
52.0,Harold Kwok Hei (郭曦),838.0,80.0,98.0,62.0,51.0,34.0,28.0,13.0,24.0,40.0,46.0,18.0,136.0,151.0,55.0,2.0
53.0,Yan Lok Adrian Lam,839.0,62.0,85.0,50.0,78.0,28.0,32.0,13.0,24.0,95.0,46.0,48.0,100.0,125.0,51.0,2.0
54.0,Chan Chun Hei (陳俊熙),841.0,78.0,101.0,38.0,38.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,72.0,90.0,55.0,2.0
55.0,Chadwick Kwok,846.0,116.0,52.0,78.0,78.0,38.0,32.0,13.0,24.0,63.0,46.0,48.0,50.0,151.0,55.0,2.0
56.0,Wong Tak Man (黃德文),852.0,69.0,159.0,41.0,60.0,38.0,32.0,13.0,24.0,31.0,42.0,34.0,111.0,151.0,45.0,2.0
56.0,Mok Yik Lam (莫翌林),852.0,154.0,42.0,96.0,78.0,38.0,32.0,13.0,24.0,118.0,46.0,48.0,25.0,81.0,55.0,2.0
58.0,Hui Hing Ho (許鑫豪),854.0,70.0,93.0,27.0,17.0,15.0,13.0,9.0,24.0,58.0,46.0,48.0,226.0,151.0,55.0,2.0
59.0,Dorian Chan,861.0,67.0,133.0,99.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,90.0,11.0,14.0,2.0
60.0,Chiu Yuk (趙彧),863.0,224.0,143.0,103.0,43.0,32.0,32.0,13.0,24.0,26.0,35.0,48.0,59.0,24.0,55.0,2.0
61.0,Matthew Heritage (梁子庭),869.0,196.0,48.0,88.0,58.0,35.0,32.0,13.0,24.0,147.0,46.0,48.0,22.0,64.0,46.0,2.0
62.0,Fong Ka Ho (方嘉浩),875.0,28.0,106.0,24.0,52.0,38.0,32.0,13.0,24.0,30.0,46.0,48.0,226.0,151.0,55.0,2.0
62.0,Wong Hiu Lok,875.0,58.0,89.0,40.0,26.0,38.0,32.0,13.0,24.0,27.0,46.0,48.0,226.0,151.0,55.0,2.0
64.0,Subagia Vigo (饒焯藍),890.0,27.0,27.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,44.0,137.0,55.0,2.0
64.0,Choi Tsz Kit (蔡子杰),890.0,121.0,143.0,102.0,62.0,38.0,32.0,13.0,24.0,88.0,46.0,48.0,43.0,73.0,55.0,2.0
66.0,Chan Tak Chuen (陳德泉),916.0,94.0,147.0,49.0,47.0,38.0,32.0,13.0,24.0,20.0,8.0,48.0,226.0,151.0,17.0,2.0
67.0,Andy Guo (郭茂成),930.0,77.0,64.0,118.0,78.0,38.0,32.0,13.0,24.0,150.0,46.0,48.0,61.0,124.0,55.0,2.0
68.0,Law Chun Man (羅晉珉),933.0,16.0,57.0,153.0,78.0,38.0,32.0,13.0,24.0,73.0,46.0,48.0,226.0,72.0,55.0,2.0
69.0,Pang Pak Hin (彭栢軒),950.0,97.0,96.0,55.0,29.0,16.0,23.0,13.0,24.0,102.0,46.0,38.0,209.0,151.0,49.0,2.0
70.0,Cliff Lam,952.0,71.0,30.0,90.0,78.0,38.0,32.0,13.0,24.0,48.0,46.0,48.0,226.0,151.0,55.0,2.0
71.0,So Chi Leung,954.0,132.0,133.0,86.0,41.0,38.0,26.0,13.0,24.0,103.0,46.0,37.0,67.0,151.0,55.0,2.0
72.0,Kwok Chi Hang (郭志亨),955.0,90.0,139.0,59.0,32.0,26.0,21.0,13.0,17.0,41.0,46.0,41.0,224.0,151.0,53.0,2.0
73.0,Wendy Yeung Ching Tung (楊清彤),962.0,126.0,76.0,153.0,78.0,38.0,32.0,13.0,24.0,54.0,46.0,48.0,66.0,151.0,55.0,2.0
74.0,Stanley Su (蘇梓杰),970.0,112.0,60.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,32.0,111.0,55.0,2.0
75.0,Erik Chan,985.0,113.0,41.0,140.0,78.0,38.0,32.0,13.0,24.0,60.0,46.0,48.0,144.0,151.0,55.0,2.0
76.0,Huang Yi Ming (黃奕銘),986.0,172.0,109.0,153.0,78.0,38.0,32.0,13.0,24.0,72.0,46.0,48.0,74.0,70.0,55.0,2.0
77.0,Hira Adhikari,987.0,197.0,149.0,105.0,78.0,38.0,32.0,13.0,24.0,98.0,24.0,48.0,64.0,60.0,55.0,2.0
78.0,Tang Ho Long (鄧浩朗),992.0,209.0,38.0,107.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,79.0,57.0,55.0,2.0
79.0,Marco Ho Lok Man (何絡民),993.0,61.0,388.0,32.0,21.0,30.0,14.0,13.0,24.0,70.0,46.0,48.0,38.0,151.0,55.0,2.0
80.0,Yau Chou,1004.0,25.0,59.0,120.0,78.0,38.0,32.0,13.0,24.0,87.0,46.0,48.0,226.0,151.0,55.0,2.0
81.0,Cherayerumal Arnav Morgan,1005.0,51.0,53.0,153.0,78.0,38.0,32.0,13.0,24.0,59.0,46.0,48.0,226.0,151.0,31.0,2.0
82.0,Maxwell Haoyuan Wu,1011.0,13.0,87.0,56.0,54.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
83.0,Lau Chung Shun (劉重信),1020.0,39.0,97.0,52.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,179.0,151.0,55.0,2.0
84.0,Tse Yuet Ming (謝乙銘),1022.0,178.0,190.0,54.0,50.0,31.0,27.0,13.0,24.0,81.0,21.0,46.0,116.0,134.0,55.0,2.0
85.0,Tang Yui Chit (鄧睿哲),1023.0,168.0,168.0,52.0,40.0,24.0,24.0,13.0,24.0,107.0,46.0,48.0,226.0,26.0,55.0,2.0
86.0,Cheung Chak Kwan (張澤坤),1034.0,38.0,78.0,39.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
87.0,Wan Chun Man (尹俊文),1035.0,175.0,69.0,153.0,78.0,38.0,32.0,13.0,24.0,129.0,46.0,48.0,78.0,95.0,55.0,2.0
88.0,Ng Hoi Ying (吳鎧楹),1036.0,100.0,180.0,69.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,34.0,151.0,55.0,2.0
89.0,Elise Ho (何意翹),1037.0,174.0,229.0,136.0,78.0,38.0,32.0,13.0,24.0,112.0,46.0,42.0,9.0,58.0,44.0,2.0
90.0,Zachary Yu Li Feng (余立峯),1038.0,40.0,68.0,51.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
91.0,Sky Guo (郭建欣),1041.0,8.0,1.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
92.0,Keith Lam Wai To (林瑋韜),1042.0,186.0,79.0,112.0,78.0,38.0,32.0,13.0,24.0,71.0,43.0,48.0,165.0,96.0,55.0,2.0
93.0,Lau Siu Hin (劉韶軒),1057.0,128.0,40.0,75.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,197.0,115.0,55.0,2.0
94.0,Isaac Lau Chun Sang (劉俊生),1058.0,169.0,175.0,153.0,78.0,38.0,32.0,13.0,24.0,75.0,46.0,48.0,79.0,71.0,55.0,2.0
95.0,Harry Ma Ho Wai (馬浩維),1062.0,82.0,100.0,66.0,78.0,38.0,32.0,13.0,24.0,101.0,46.0,48.0,226.0,151.0,55.0,2.0
96.0,Chen Michael (陈雨昊),1074.0,145.0,157.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,19.0,98.0,55.0,2.0
97.0,Tam Ming Ki,1077.0,131.0,108.0,89.0,59.0,38.0,32.0,13.0,24.0,56.0,46.0,48.0,225.0,151.0,55.0,2.0
98.0,Zachary Ip Pak Tou (葉柏圖),1079.0,90.0,62.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,46.0,55.0,2.0
99.0,Chan Ho Hin (陳𣉞軒),1083.0,15.0,36.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
100.0,Chan Hiu Yeung (陳曉揚),1084.0,195.0,92.0,153.0,78.0,38.0,32.0,13.0,24.0,86.0,46.0,48.0,167.0,55.0,55.0,2.0
101.0,Ko Berrick Eldridge (高瑋烽),1085.0,145.0,23.0,153.0,78.0,38.0,32.0,13.0,24.0,69.0,46.0,48.0,226.0,151.0,37.0,2.0
102.0,Quincy Tang (鄧子謙),1086.0,130.0,51.0,82.0,37.0,23.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
103.0,Chu Ho Cheung (朱浩璋),1101.0,59.0,118.0,45.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
104.0,Lau Ting Hang (劉定行),1117.0,37.0,48.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
105.0,Li Yin Ting (李彥霆),1120.0,164.0,60.0,106.0,78.0,38.0,32.0,13.0,24.0,77.0,46.0,48.0,226.0,151.0,55.0,2.0
106.0,Yung Chin Pang (容展鵬),1121.0,132.0,65.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,118.0,151.0,55.0,2.0
107.0,Guan Zhao Xuan (關兆炫),1137.0,74.0,31.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,226.0,151.0,55.0,2.0
107.0,Teddy Leung Chun Yuen (梁晉源),1137.0,95.0,66.0,153.0,78.0,38.0,32.0,13.0,24.0,110.0,46.0,48.0,226.0,151.0,55.0,2.0
