Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
40.0,Jakob Vreim Ludviksen,888.0,87.0,36.0,71.0,119.0,82.0,59.0,23.0,45.0,72.0,94.0,102.0,23.0,35.0,36.0,4.0
41.0,Magnus Iversen Birkenes,892.0,85.0,62.0,47.0,61.0,82.0,59.0,23.0,45.0,70.0,64.0,102.0,57.0,76.0,55.0,4.0
42.0,Christian Alsaker Henriksen,904.0,63.0,103.0,62.0,101.0,82.0,59.0,23.0,45.0,73.0,94.0,85.0,3.0,34.0,73.0,4.0
43.0,Jonas Westgård,912.0,94.0,80.0,93.0,58.0,61.0,59.0,23.0,39.0,75.0,27.0,56.0,94.0,64.0,85.0,4.0
44.0,Aleksejs Alohins,924.0,54.0,31.0,35.0,148.0,82.0,59.0,23.0,45.0,282.0,5.0,102.0,12.0,21.0,21.0,4.0
45.0,Tobias Christensen,926.0,23.0,12.0,74.0,110.0,82.0,59.0,23.0,45.0,124.0,94.0,102.0,60.0,95.0,19.0,4.0
46.0,Finn Einar Brandsen,927.0,41.0,50.0,141.0,148.0,82.0,59.0,23.0,45.0,59.0,44.0,44.0,70.0,67.0,50.0,4.0
47.0,Lars Ulveseth,932.0,19.0,46.0,22.0,49.0,68.0,59.0,23.0,45.0,138.0,84.0,64.0,153.0,73.0,85.0,4.0
48.0,Jonathan Hummel Simensen,935.0,33.0,28.0,103.0,148.0,82.0,59.0,23.0,45.0,60.0,47.0,102.0,44.0,72.0,85.0,4.0
49.0,Sondre Fosli Stenseth,936.0,42.0,158.0,20.0,73.0,82.0,59.0,23.0,45.0,58.0,94.0,102.0,88.0,54.0,34.0,4.0
50.0,Preben Halaas Berntsen,944.0,114.0,106.0,79.0,79.0,82.0,59.0,23.0,45.0,108.0,94.0,54.0,19.0,45.0,33.0,4.0
51.0,John Vabo Booth,945.0,162.0,88.0,86.0,78.0,57.0,59.0,23.0,45.0,46.0,42.0,50.0,84.0,114.0,7.0,4.0
52.0,Rasmus Heggvik Aune,959.0,43.0,37.0,112.0,107.0,82.0,59.0,6.0,45.0,47.0,94.0,102.0,113.0,23.0,85.0,4.0
53.0,Jamie Ayuste Loeun,960.0,80.0,45.0,111.0,148.0,82.0,59.0,23.0,45.0,48.0,94.0,102.0,26.0,35.0,58.0,4.0
54.0,Bjørnar Lund Mathisen,964.0,48.0,65.0,50.0,54.0,65.0,59.0,23.0,45.0,26.0,94.0,66.0,126.0,154.0,85.0,4.0
55.0,Torstein Kristoffer Lindheim,969.0,127.0,102.0,89.0,87.0,82.0,59.0,23.0,45.0,92.0,94.0,51.0,40.0,26.0,48.0,4.0
56.0,Andreas Nessan,986.0,117.0,69.0,114.0,84.0,82.0,52.0,23.0,45.0,96.0,32.0,26.0,98.0,87.0,57.0,4.0
57.0,Carl Håkon Solheim,996.0,40.0,39.0,21.0,57.0,82.0,59.0,23.0,45.0,43.0,94.0,93.0,158.0,153.0,85.0,4.0
58.0,Levi André Tallaksen,998.0,58.0,103.0,34.0,23.0,34.0,59.0,5.0,2.0,85.0,94.0,21.0,222.0,171.0,85.0,2.0
59.0,Ole Nikolai Gjerset,1004.0,90.0,47.0,95.0,72.0,56.0,46.0,12.0,37.0,140.0,26.0,63.0,18.0,228.0,70.0,4.0
60.0,Samuel Bennett Olsen,1007.0,76.0,15.0,160.0,148.0,82.0,59.0,23.0,45.0,107.0,94.0,57.0,21.0,31.0,85.0,4.0
61.0,Ivar Strangstadstuen,1009.0,149.0,144.0,85.0,39.0,25.0,18.0,23.0,28.0,75.0,65.0,30.0,129.0,141.0,54.0,4.0
62.0,Albert Bjerke Hommersand,1010.0,89.0,44.0,108.0,148.0,82.0,59.0,23.0,45.0,51.0,94.0,102.0,25.0,51.0,85.0,4.0
63.0,Johannes Djupedal Power,1017.0,104.0,94.0,105.0,148.0,71.0,59.0,23.0,45.0,94.0,50.0,73.0,43.0,39.0,65.0,4.0
64.0,Martin Nævdal,1019.0,52.0,75.0,78.0,56.0,33.0,27.0,23.0,45.0,85.0,73.0,102.0,118.0,163.0,85.0,4.0
65.0,Samuel Kro,1042.0,115.0,142.0,61.0,27.0,27.0,41.0,23.0,45.0,120.0,94.0,16.0,105.0,137.0,85.0,4.0
66.0,Erlend Ektvedt Fredriksen,1044.0,135.0,126.0,107.0,88.0,63.0,59.0,23.0,40.0,98.0,35.0,102.0,92.0,41.0,31.0,4.0
67.0,Harald Skinnes Kryvi,1060.0,8.0,29.0,17.0,33.0,41.0,51.0,23.0,45.0,11.0,94.0,79.0,193.0,347.0,85.0,4.0
68.0,Vebjørn Søreide Øiestad,1067.0,32.0,41.0,69.0,148.0,82.0,59.0,23.0,45.0,63.0,94.0,102.0,80.0,140.0,85.0,4.0
69.0,Håvard Elias Helland,1070.0,157.0,123.0,59.0,51.0,47.0,32.0,23.0,45.0,131.0,25.0,102.0,168.0,60.0,43.0,4.0
70.0,Sander Joa,1087.0,45.0,130.0,38.0,35.0,43.0,59.0,23.0,45.0,61.0,94.0,95.0,164.0,166.0,85.0,4.0
71.0,Lukas Oksavik,1100.0,68.0,83.0,153.0,92.0,82.0,59.0,23.0,45.0,88.0,94.0,70.0,54.0,100.0,85.0,4.0
72.0,Dag Eirik Gunnleygson Røren,1103.0,107.0,57.0,94.0,104.0,82.0,59.0,23.0,45.0,93.0,62.0,102.0,138.0,89.0,44.0,4.0
73.0,Viktor Volden,1111.0,116.0,59.0,77.0,103.0,82.0,59.0,23.0,45.0,134.0,94.0,102.0,39.0,89.0,85.0,4.0
74.0,Nicolay Roness,1125.0,61.0,59.0,43.0,74.0,82.0,59.0,23.0,45.0,123.0,94.0,102.0,243.0,28.0,85.0,4.0
75.0,Espen Brokvam,1136.0,49.0,63.0,90.0,66.0,82.0,59.0,23.0,45.0,36.0,94.0,102.0,36.0,347.0,40.0,4.0
76.0,Tommy Kolbeinsvik,1138.0,57.0,72.0,76.0,121.0,82.0,59.0,23.0,45.0,83.0,94.0,102.0,228.0,47.0,45.0,4.0
77.0,Daniel Steen Kjosnes,1144.0,189.0,39.0,152.0,134.0,82.0,59.0,23.0,45.0,101.0,94.0,102.0,33.0,2.0,85.0,4.0
78.0,Vidar Norstein Klungre,1163.0,148.0,52.0,116.0,141.0,82.0,59.0,8.0,30.0,53.0,48.0,62.0,81.0,230.0,49.0,4.0
79.0,Eirik Frydenlund Norling,1165.0,27.0,81.0,42.0,38.0,48.0,44.0,23.0,45.0,22.0,94.0,102.0,506.0,4.0,85.0,4.0
80.0,Sigurd Volan Håvik,1170.0,101.0,67.0,119.0,148.0,82.0,59.0,23.0,45.0,174.0,94.0,42.0,5.0,122.0,85.0,4.0
81.0,Einar Martin Sandvik,1185.0,176.0,141.0,128.0,71.0,38.0,38.0,23.0,42.0,158.0,43.0,38.0,74.0,143.0,68.0,4.0
82.0,Lukas Evanger,1191.0,77.0,153.0,120.0,118.0,82.0,59.0,23.0,45.0,89.0,29.0,55.0,67.0,185.0,85.0,4.0
83.0,Benjamin Svingen Martinsen,1192.0,87.0,133.0,73.0,102.0,82.0,59.0,23.0,45.0,122.0,94.0,102.0,165.0,49.0,52.0,4.0
83.0,Noah Bae Eikeland,1192.0,141.0,101.0,118.0,105.0,82.0,59.0,23.0,45.0,116.0,94.0,102.0,59.0,58.0,85.0,4.0
85.0,Aron Aaseng Fredheim,1196.0,108.0,87.0,80.0,82.0,82.0,59.0,23.0,45.0,191.0,94.0,102.0,79.0,75.0,85.0,4.0
86.0,Joakim Johannessen,1198.0,159.0,38.0,195.0,148.0,82.0,59.0,23.0,45.0,108.0,94.0,102.0,24.0,32.0,85.0,4.0
87.0,Anders Lassesen Naug,1219.0,131.0,111.0,104.0,94.0,67.0,59.0,23.0,45.0,127.0,94.0,102.0,100.0,80.0,78.0,4.0
88.0,David Nguyen,1225.0,91.0,127.0,99.0,148.0,82.0,59.0,23.0,45.0,81.0,94.0,102.0,119.0,66.0,85.0,4.0
89.0,Alex Makassiouk,1239.0,133.0,96.0,81.0,89.0,82.0,59.0,23.0,45.0,119.0,56.0,102.0,223.0,53.0,74.0,4.0
90.0,Luna Artemis Hukkelberg,1248.0,151.0,118.0,147.0,115.0,66.0,53.0,23.0,38.0,136.0,38.0,102.0,64.0,108.0,85.0,4.0
91.0,Ludvik Blichfeldt Roed,1249.0,131.0,125.0,67.0,148.0,82.0,59.0,23.0,45.0,79.0,94.0,102.0,99.0,106.0,85.0,4.0
92.0,Leander Tiller,1253.0,100.0,134.0,148.0,98.0,82.0,59.0,23.0,45.0,209.0,20.0,102.0,30.0,114.0,85.0,4.0
93.0,Martin Gudahl Tufte,1271.0,113.0,220.0,56.0,63.0,22.0,25.0,23.0,45.0,153.0,94.0,102.0,155.0,111.0,85.0,4.0
94.0,Thang Vinh Vu,1272.0,219.0,117.0,137.0,113.0,72.0,59.0,23.0,45.0,71.0,94.0,68.0,76.0,112.0,62.0,4.0
95.0,Daniel Fiskerstrand,1278.0,17.0,22.0,180.0,148.0,82.0,59.0,23.0,45.0,30.0,94.0,102.0,280.0,107.0,85.0,4.0
96.0,Jonathan Björck Fodstad,1279.0,123.0,132.0,304.0,148.0,82.0,59.0,23.0,45.0,111.0,18.0,52.0,51.0,42.0,85.0,4.0
97.0,Georg Aarnes Nisja,1289.0,62.0,201.0,45.0,52.0,32.0,29.0,23.0,45.0,32.0,94.0,87.0,401.0,101.0,81.0,4.0
98.0,Nikolai Steen Kjosnes,1295.0,158.0,92.0,145.0,148.0,82.0,59.0,23.0,45.0,100.0,94.0,102.0,65.0,93.0,85.0,4.0
99.0,Jesper Ulvang,1324.0,44.0,72.0,40.0,53.0,82.0,59.0,23.0,45.0,126.0,94.0,102.0,321.0,174.0,85.0,4.0
100.0,Leandro Caruso,1327.0,163.0,26.0,190.0,148.0,82.0,59.0,23.0,45.0,155.0,94.0,102.0,32.0,119.0,85.0,4.0
101.0,Oskar Erland Fossaas,1331.0,207.0,171.0,197.0,111.0,82.0,59.0,23.0,45.0,81.0,41.0,33.0,137.0,81.0,59.0,4.0
102.0,Hans Bjerkevoll,1334.0,136.0,59.0,101.0,97.0,82.0,59.0,23.0,45.0,103.0,94.0,102.0,186.0,158.0,85.0,4.0
103.0,Kien Parajes Le,1339.0,51.0,86.0,109.0,148.0,82.0,59.0,23.0,45.0,55.0,94.0,102.0,49.0,347.0,85.0,4.0
104.0,Edvard Faa Nårstad,1345.0,71.0,227.0,83.0,55.0,51.0,59.0,23.0,45.0,56.0,66.0,78.0,171.0,271.0,85.0,4.0
105.0,Simen Stiansen,1349.0,81.0,192.0,58.0,50.0,39.0,30.0,23.0,45.0,128.0,94.0,59.0,114.0,347.0,85.0,4.0
106.0,Olav Rostadmo,1371.0,96.0,148.0,97.0,148.0,82.0,59.0,23.0,45.0,102.0,94.0,102.0,205.0,141.0,25.0,4.0
107.0,Brage Imset,1385.0,54.0,199.0,44.0,22.0,17.0,11.0,23.0,45.0,69.0,94.0,29.0,342.0,347.0,85.0,4.0
108.0,Joel Åmot,1403.0,126.0,77.0,100.0,68.0,82.0,59.0,23.0,43.0,149.0,94.0,34.0,127.0,332.0,85.0,4.0
109.0,Sveinung Søreide Øiestad,1404.0,119.0,168.0,31.0,32.0,21.0,26.0,23.0,45.0,282.0,74.0,102.0,122.0,347.0,8.0,4.0
110.0,Henrik Tvervåg,1410.0,71.0,81.0,52.0,31.0,26.0,31.0,23.0,45.0,254.0,86.0,36.0,329.0,309.0,32.0,4.0
110.0,Alexandru Bivolaru,1410.0,64.0,168.0,82.0,65.0,82.0,59.0,23.0,45.0,42.0,94.0,61.0,463.0,73.0,85.0,4.0
112.0,Marius Bergo Nielsen,1411.0,130.0,121.0,129.0,148.0,82.0,59.0,23.0,45.0,282.0,94.0,102.0,38.0,112.0,42.0,4.0
113.0,John Aslak Wee Kleven,1412.0,16.0,53.0,91.0,148.0,82.0,59.0,23.0,45.0,34.0,94.0,102.0,303.0,273.0,85.0,4.0
114.0,Julian Stordal,1435.0,234.0,107.0,132.0,148.0,82.0,59.0,23.0,45.0,200.0,94.0,102.0,125.0,27.0,53.0,4.0
115.0,Stian Nygård,1439.0,99.0,68.0,92.0,93.0,55.0,50.0,23.0,45.0,113.0,94.0,48.0,550.0,20.0,85.0,4.0
116.0,Sander Bakke,1440.0,104.0,118.0,295.0,148.0,82.0,59.0,23.0,45.0,129.0,82.0,102.0,82.0,82.0,85.0,4.0
117.0,Sakeus Løvås,1441.0,77.0,83.0,75.0,148.0,82.0,59.0,23.0,45.0,66.0,94.0,102.0,151.0,347.0,85.0,4.0
117.0,Oskar Feed Jakobsen,1441.0,84.0,123.0,23.0,28.0,44.0,40.0,7.0,45.0,99.0,94.0,69.0,550.0,146.0,85.0,4.0
119.0,Hong Tan Lam,1444.0,28.0,96.0,14.0,4.0,14.0,12.0,23.0,45.0,54.0,94.0,88.0,550.0,347.0,71.0,4.0
120.0,Jonas Speer By,1446.0,168.0,53.0,214.0,148.0,82.0,59.0,23.0,45.0,217.0,94.0,102.0,48.0,104.0,85.0,4.0
121.0,Theodor Alexander Holme,1453.0,181.0,71.0,304.0,148.0,82.0,59.0,23.0,30.0,41.0,94.0,102.0,179.0,50.0,85.0,4.0
122.0,Daniel Dybwad Reierskog,1470.0,149.0,175.0,57.0,45.0,37.0,22.0,23.0,45.0,282.0,94.0,15.0,90.0,347.0,85.0,4.0
123.0,Erlend Edland,1471.0,139.0,109.0,164.0,148.0,82.0,59.0,23.0,45.0,40.0,94.0,102.0,244.0,133.0,85.0,4.0
124.0,Magnus Morud Vaagen,1481.0,106.0,164.0,138.0,135.0,82.0,59.0,23.0,45.0,170.0,83.0,89.0,188.0,110.0,85.0,4.0
125.0,Espen Hansen Høijord,1489.0,93.0,231.0,55.0,59.0,82.0,59.0,23.0,45.0,49.0,94.0,81.0,234.0,295.0,85.0,4.0
126.0,Kristian Muggerud,1510.0,110.0,93.0,130.0,148.0,82.0,59.0,23.0,45.0,74.0,78.0,102.0,207.0,270.0,85.0,4.0
127.0,Albin Bjerke,1521.0,186.0,160.0,192.0,148.0,82.0,59.0,23.0,45.0,143.0,94.0,102.0,134.0,64.0,85.0,4.0
128.0,Magnus Rannem Bøhler,1525.0,71.0,32.0,122.0,99.0,82.0,59.0,23.0,45.0,282.0,94.0,60.0,120.0,347.0,85.0,4.0
128.0,Brage Rognes,1525.0,217.0,148.0,216.0,148.0,82.0,59.0,23.0,45.0,133.0,94.0,102.0,34.0,135.0,85.0,4.0
130.0,Henry Wilhelm Solmyr,1531.0,223.0,238.0,208.0,148.0,82.0,59.0,23.0,45.0,165.0,94.0,86.0,34.0,71.0,51.0,4.0
131.0,Sanna H. Skarstad,1589.0,143.0,373.0,87.0,83.0,45.0,59.0,23.0,45.0,166.0,94.0,67.0,184.0,131.0,85.0,4.0
132.0,Lars Gautvik-Dahl,1608.0,153.0,91.0,304.0,148.0,82.0,59.0,23.0,45.0,163.0,94.0,102.0,76.0,179.0,85.0,4.0
133.0,Kien Chu Chinh Hoang,1611.0,70.0,77.0,196.0,148.0,82.0,59.0,23.0,45.0,118.0,94.0,102.0,161.0,347.0,85.0,4.0
134.0,Fredrik Hannås,1612.0,236.0,190.0,161.0,148.0,82.0,59.0,23.0,45.0,201.0,23.0,102.0,101.0,152.0,85.0,4.0
135.0,Christian Medin,1619.0,183.0,187.0,187.0,148.0,82.0,59.0,23.0,45.0,162.0,94.0,102.0,102.0,156.0,85.0,4.0
136.0,David Jonsson,1624.0,167.0,204.0,259.0,148.0,82.0,59.0,23.0,45.0,77.0,94.0,102.0,190.0,85.0,85.0,4.0
137.0,Kristian Løvseth,1631.0,209.0,181.0,191.0,148.0,82.0,59.0,23.0,45.0,282.0,94.0,102.0,22.0,148.0,41.0,4.0
138.0,Kasper Korsnes,1632.0,205.0,137.0,170.0,148.0,82.0,59.0,23.0,45.0,199.0,94.0,102.0,162.0,117.0,85.0,4.0
139.0,Sigurd Skudal,1640.0,173.0,148.0,237.0,148.0,82.0,59.0,23.0,45.0,145.0,70.0,102.0,195.0,126.0,83.0,4.0
140.0,Stian Gia Huy Ha,1642.0,86.0,147.0,65.0,120.0,82.0,59.0,23.0,45.0,137.0,94.0,102.0,364.0,229.0,85.0,4.0
141.0,Tobias Lied,1647.0,298.0,138.0,221.0,133.0,79.0,59.0,23.0,45.0,171.0,63.0,102.0,94.0,132.0,85.0,4.0
142.0,Nathaniel Fidje Degermann,1658.0,137.0,162.0,165.0,117.0,82.0,59.0,23.0,45.0,282.0,94.0,102.0,154.0,147.0,85.0,4.0
143.0,Andreas Askjem,1676.0,191.0,181.0,198.0,148.0,82.0,59.0,16.0,11.0,39.0,94.0,75.0,146.0,347.0,85.0,4.0
144.0,Eivind Bäckmark Ytteborg,1682.0,282.0,195.0,286.0,148.0,82.0,59.0,23.0,45.0,177.0,30.0,102.0,87.0,77.0,85.0,4.0
145.0,Andreas Moen,1689.0,277.0,267.0,133.0,81.0,50.0,43.0,23.0,45.0,216.0,94.0,43.0,97.0,231.0,85.0,4.0
146.0,Isaiah Snow Beckingham,1693.0,235.0,210.0,156.0,148.0,82.0,59.0,23.0,45.0,159.0,94.0,102.0,116.0,175.0,85.0,4.0
147.0,Håkon Hanssen,1697.0,155.0,115.0,66.0,69.0,60.0,56.0,23.0,45.0,64.0,94.0,102.0,412.0,347.0,85.0,4.0
148.0,Aasmund Gabestad Nørsett,1707.0,53.0,354.0,25.0,36.0,20.0,33.0,23.0,45.0,32.0,94.0,102.0,454.0,347.0,85.0,4.0
149.0,Jonas Michael Bakke,1708.0,266.0,243.0,278.0,148.0,82.0,59.0,23.0,45.0,188.0,31.0,102.0,16.0,138.0,85.0,4.0
149.0,Mads Torkildsen Brodahl,1708.0,199.0,99.0,253.0,148.0,82.0,59.0,23.0,45.0,197.0,94.0,102.0,235.0,83.0,85.0,4.0
151.0,Julius Caspar Klevjer,1715.0,229.0,192.0,155.0,148.0,82.0,59.0,23.0,45.0,282.0,94.0,102.0,152.0,63.0,85.0,4.0
152.0,Sander Steen,1723.0,198.0,35.0,110.0,91.0,82.0,59.0,23.0,45.0,144.0,94.0,76.0,330.0,347.0,85.0,4.0
153.0,Aron Øyri Grøtterud,1727.0,196.0,148.0,226.0,148.0,82.0,59.0,23.0,45.0,194.0,94.0,90.0,141.0,192.0,85.0,4.0
154.0,Håkon Follegg Paulsen,1732.0,267.0,134.0,304.0,148.0,82.0,59.0,23.0,45.0,106.0,94.0,102.0,185.0,94.0,85.0,4.0
155.0,Jonatan Haarklou Holter,1743.0,221.0,105.0,143.0,138.0,82.0,59.0,23.0,45.0,282.0,94.0,102.0,72.0,288.0,85.0,4.0
156.0,Alexander Kristoffersen,1753.0,103.0,69.0,113.0,75.0,59.0,59.0,23.0,45.0,25.0,94.0,102.0,550.0,347.0,85.0,4.0
157.0,Thomas Lind Magnussen,1758.0,140.0,187.0,176.0,122.0,78.0,59.0,23.0,45.0,161.0,94.0,94.0,166.0,324.0,85.0,4.0
158.0,Odin Sandberg,1771.0,193.0,202.0,236.0,148.0,82.0,59.0,23.0,45.0,282.0,36.0,102.0,104.0,170.0,85.0,4.0
159.0,Erik Aglen Alsos,1780.0,301.0,226.0,304.0,148.0,82.0,59.0,23.0,45.0,233.0,60.0,102.0,130.0,52.0,11.0,4.0
160.0,Maiken T. Aareskjold,1787.0,245.0,206.0,154.0,148.0,82.0,59.0,23.0,45.0,282.0,79.0,102.0,27.0,246.0,85.0,4.0
161.0,Håvard Dybsjord,1792.0,165.0,120.0,304.0,148.0,82.0,59.0,23.0,45.0,180.0,94.0,102.0,232.0,149.0,85.0,4.0
162.0,Andreas Block Laberg,1794.0,35.0,108.0,106.0,76.0,82.0,59.0,23.0,45.0,78.0,94.0,102.0,550.0,347.0,85.0,4.0
163.0,Snorre Haugen,1806.0,296.0,218.0,234.0,148.0,82.0,59.0,23.0,45.0,193.0,94.0,102.0,132.0,91.0,85.0,4.0
164.0,Oliver Mio Leander Bing Hansen,1807.0,46.0,217.0,200.0,148.0,82.0,59.0,23.0,45.0,50.0,94.0,102.0,305.0,347.0,85.0,4.0
165.0,Sjur Nygård Watne,1808.0,160.0,139.0,183.0,148.0,82.0,59.0,23.0,45.0,169.0,94.0,102.0,199.0,316.0,85.0,4.0
166.0,Tormod Engen,1814.0,305.0,214.0,181.0,148.0,82.0,59.0,23.0,45.0,187.0,94.0,102.0,135.0,150.0,85.0,4.0
167.0,Øyvind Bryhn Pettersen,1823.0,163.0,174.0,96.0,148.0,82.0,59.0,23.0,45.0,95.0,94.0,102.0,306.0,347.0,85.0,4.0
168.0,Olav Nymoen Posti,1826.0,293.0,231.0,162.0,148.0,82.0,59.0,23.0,45.0,282.0,94.0,65.0,244.0,57.0,37.0,4.0
169.0,Johan Sokrates Wind,1842.0,79.0,127.0,169.0,148.0,82.0,59.0,23.0,4.0,31.0,94.0,102.0,550.0,285.0,85.0,4.0
170.0,Jonas Hansen Haugsvær,1845.0,258.0,98.0,211.0,148.0,82.0,59.0,23.0,45.0,282.0,94.0,102.0,218.0,136.0,85.0,4.0
171.0,Jakob Solberg Holm,1850.0,146.0,134.0,102.0,148.0,82.0,59.0,23.0,45.0,282.0,94.0,102.0,286.0,258.0,85.0,4.0
172.0,Isak Stephansen,1859.0,338.0,292.0,179.0,90.0,64.0,39.0,23.0,45.0,167.0,94.0,58.0,230.0,151.0,85.0,4.0
