Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
44.0,Hayk Hovhannisyan,258.0,58.0,26.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
45.0,Paruyr Azizyan,262.0,28.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
46.0,Mher Barseghyan,269.0,54.0,51.0,22.0,10.0,4.0,2.0,2.0,25.0,7.0,11.0,55.0,19.0,7.0
46.0,Hrachya Hovhannisyan,269.0,35.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
48.0,Armen Arakelyan,270.0,53.0,43.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
49.0,Grigor Shirinyan,272.0,66.0,47.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,40.0,19.0,7.0
49.0,Anna Barikyan,272.0,38.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
51.0,David Sahakyan,274.0,40.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
51.0,David Manucharyan,274.0,70.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,25.0,19.0,7.0
53.0,Areg Kakosyan,276.0,42.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
53.0,Aramayis Khachatryan,276.0,71.0,33.0,23.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
55.0,Tigran Hakobyan,277.0,43.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
56.0,Azat Toroyan,278.0,44.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
57.0,Nver Martirosyan,279.0,45.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
58.0,Arshavir Nazaryan,280.0,46.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
58.0,Davit Aslanyan,280.0,52.0,60.0,25.0,10.0,4.0,2.0,2.0,26.0,7.0,11.0,55.0,19.0,7.0
60.0,David Martirosyan,281.0,76.0,37.0,20.0,9.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
61.0,Syuzanna Martirosyan,282.0,48.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
62.0,Harutyun Yepremyan,283.0,49.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
63.0,Adan Aranda,284.0,50.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
63.0,Vahe Mkrtchyan,284.0,81.0,35.0,21.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,53.0,19.0,7.0
