Rank,name,Sum,333,222,pyram
1.0,Karen Brooks,4.0,2.0,1.0,1.0
2.0,Rishi Rao,7.0,3.0,2.0,2.0
2.0,Sanjay Meikle,7.0,1.0,3.0,3.0
