Rank,name,Sum,333,222,444,555,666,777,333oh,minx,pyram,skewb,sq1
1.0,Jannik Gartmann,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Raffaele Squillacioti,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
