Rank,name,Sum,333,222,444,333bf,333oh,pyram
1.0,Etienne Amany,9.0,1.0,2.0,2.0,1.0,1.0,2.0
1.0,Errol Koffi,9.0,2.0,1.0,1.0,2.0,2.0,1.0
