Rank,name,Sum,333,222,444,333oh,pyram,skewb,sq1
1.0,Zeke Sirju,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Jonah Hinkson,16.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
3.0,Ronald Louis Poon-Affat,17.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0
3.0,Maximus Victor Davis,17.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
5.0,Philip Habib,18.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0
