Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
37.0,Cristian David Flores Contreras,331.0,53.0,45.0,26.0,17.0,4.0,3.0,5.0,6.0,32.0,5.0,25.0,63.0,34.0,9.0,2.0,2.0
38.0,Andrés Rubio,335.0,49.0,26.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,42.0,34.0,9.0,2.0,2.0
38.0,Gabriel Hernández,335.0,59.0,37.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,21.0,34.0,9.0,2.0,2.0
40.0,Alix Josue Calix Tinoco,337.0,55.0,65.0,40.0,21.0,4.0,3.0,5.0,6.0,26.0,5.0,25.0,35.0,34.0,9.0,2.0,2.0
40.0,Fernando David Banegas Moreno,337.0,61.0,46.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,23.0,23.0,9.0,2.0,2.0
42.0,Carlos Roberto Bueso Enamorado,341.0,36.0,108.0,24.0,21.0,4.0,3.0,5.0,6.0,39.0,5.0,18.0,25.0,34.0,9.0,2.0,2.0
43.0,Harvin Eliam Pérez Inestroza,346.0,26.0,24.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
44.0,Camilo Tellez,349.0,39.0,14.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
45.0,Gareth Daniel Romero Espinal,350.0,67.0,50.0,54.0,21.0,4.0,3.0,5.0,6.0,43.0,5.0,25.0,20.0,34.0,9.0,2.0,2.0
45.0,Percy Yassir Ferrera Hernández,350.0,42.0,39.0,27.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
45.0,Jerson Saravia,350.0,43.0,63.0,31.0,14.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,56.0,34.0,9.0,2.0,2.0
48.0,Darío Ernesto Cruz Flores,354.0,62.0,6.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,68.0,34.0,9.0,2.0,2.0
49.0,Axel Jael García Rubio,358.0,46.0,51.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,43.0,34.0,9.0,2.0,2.0
50.0,Angel David Rodriguez Hernandez,360.0,23.0,41.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
51.0,Rene Adolfo Merino Ruiz,366.0,85.0,59.0,50.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,27.0,15.0,9.0,2.0,2.0
52.0,José Adonis Lemus Mejía,367.0,2.0,108.0,54.0,21.0,4.0,3.0,5.0,6.0,9.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
53.0,Alejandro Josué Fernández Ávila,368.0,84.0,53.0,54.0,21.0,4.0,3.0,5.0,6.0,41.0,5.0,25.0,38.0,16.0,9.0,2.0,2.0
54.0,Carlos Fabian Espinoza Moncada,371.0,44.0,58.0,42.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,19.0,9.0,2.0,2.0
55.0,Erick Daniel Sandoval Puerto,375.0,71.0,54.0,36.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,50.0,34.0,9.0,2.0,2.0
56.0,Sofia Videa,379.0,65.0,49.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,47.0,34.0,9.0,2.0,2.0
57.0,Emilio Matamoros,383.0,19.0,108.0,14.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
58.0,José Román Aguiluz Milla,385.0,52.0,56.0,41.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,19.0,78.0,34.0,9.0,2.0,2.0
59.0,Abdel Leonardo Azzad Luque,387.0,50.0,108.0,54.0,21.0,4.0,3.0,5.0,6.0,29.0,5.0,25.0,30.0,34.0,9.0,2.0,2.0
60.0,Andres David Ordonez Giron,388.0,96.0,32.0,48.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,57.0,25.0,9.0,2.0,2.0
61.0,Rafael Ricardo Lopez Maradiaga,389.0,57.0,108.0,30.0,21.0,4.0,3.0,5.0,6.0,19.0,5.0,6.0,78.0,34.0,9.0,2.0,2.0
62.0,Emerson Mejia,390.0,51.0,43.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
63.0,Jesus Alberto Henriquez Garay,395.0,79.0,71.0,44.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,22.0,40.0,34.0,9.0,2.0,2.0
64.0,Nelson Johan Caballero Discua,396.0,60.0,77.0,54.0,21.0,4.0,3.0,5.0,6.0,35.0,5.0,25.0,54.0,34.0,9.0,2.0,2.0
65.0,Víctor Jhosua Osorto Sierra,397.0,32.0,108.0,15.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
66.0,Yoel Castillo Suazo,401.0,29.0,108.0,22.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
67.0,Manuel Sanchez Chinchilla,408.0,93.0,73.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,24.0,34.0,9.0,2.0,2.0
67.0,Rodrigo Caleb Solorzano Navarro,408.0,72.0,44.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,74.0,34.0,9.0,2.0,2.0
67.0,Kenny David Torres Menjivar,408.0,47.0,67.0,52.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
70.0,Oscar Josafat Pavón Licona,410.0,70.0,74.0,49.0,21.0,4.0,3.0,5.0,6.0,23.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
71.0,Marcelo Adrian Hernández Lagos,411.0,74.0,48.0,47.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
72.0,Mauricio Daniel Salgado Carrillo,413.0,25.0,108.0,38.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
73.0,Leony Yu Way,414.0,90.0,81.0,51.0,21.0,4.0,3.0,5.0,6.0,47.0,5.0,25.0,32.0,31.0,9.0,2.0,2.0
74.0,Gabriel Alejandro Obando Gonzalez,419.0,69.0,62.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,17.0,78.0,34.0,9.0,2.0,2.0
75.0,Jorge Daniel Serrano Zamora,420.0,78.0,69.0,53.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,24.0,73.0,18.0,9.0,2.0,2.0
76.0,Miguel Mejía Oviedo,424.0,41.0,108.0,54.0,21.0,4.0,3.0,5.0,6.0,27.0,5.0,25.0,78.0,34.0,9.0,2.0,2.0
76.0,Lucas Joel Tumlison,424.0,80.0,108.0,54.0,21.0,4.0,3.0,5.0,6.0,48.0,5.0,25.0,18.0,34.0,9.0,2.0,2.0
78.0,Jaffet Gustavo Gaekel Coello,431.0,63.0,108.0,54.0,21.0,4.0,3.0,5.0,6.0,33.0,5.0,25.0,78.0,13.0,9.0,2.0,2.0
