Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
40.0,Ioannis Ntzamaras,675.0,56.0,8.0,36.0,92.0,33.0,26.0,20.0,33.0,9.0,56.0,77.0,75.0,114.0,38.0,2.0
40.0,George Gavriil,675.0,34.0,94.0,37.0,92.0,33.0,20.0,20.0,17.0,11.0,56.0,77.0,30.0,114.0,38.0,2.0
42.0,Richard Tola,678.0,2.0,18.0,5.0,3.0,7.0,11.0,20.0,33.0,27.0,56.0,77.0,265.0,114.0,38.0,2.0
43.0,Errikos Markatatos,680.0,45.0,125.0,56.0,79.0,33.0,26.0,20.0,33.0,26.0,5.0,77.0,20.0,114.0,19.0,2.0
44.0,Aggelos Pliachas,722.0,69.0,37.0,26.0,92.0,33.0,26.0,20.0,33.0,37.0,56.0,22.0,117.0,114.0,38.0,2.0
45.0,Tzortzis Christidis,724.0,85.0,73.0,45.0,59.0,33.0,26.0,20.0,33.0,42.0,56.0,52.0,46.0,114.0,38.0,2.0
45.0,Dimitris Lefas,724.0,55.0,36.0,126.0,92.0,33.0,26.0,20.0,33.0,54.0,56.0,77.0,62.0,14.0,38.0,2.0
47.0,Antonis Kokkinakis,729.0,47.0,77.0,28.0,19.0,16.0,15.0,20.0,33.0,100.0,56.0,77.0,87.0,114.0,38.0,2.0
48.0,Nikolas Vlassopoulos,738.0,25.0,125.0,11.0,23.0,33.0,26.0,19.0,33.0,7.0,56.0,77.0,149.0,114.0,38.0,2.0
49.0,Nikiforos Stamkopoulos,740.0,24.0,48.0,114.0,92.0,33.0,26.0,20.0,33.0,144.0,17.0,77.0,51.0,21.0,38.0,2.0
50.0,Panagiotis Ioakeimidis,742.0,98.0,176.0,53.0,36.0,23.0,12.0,20.0,33.0,31.0,25.0,37.0,63.0,95.0,38.0,2.0
51.0,Dimitris Passas,766.0,68.0,114.0,38.0,39.0,27.0,23.0,11.0,13.0,37.0,56.0,69.0,140.0,106.0,23.0,2.0
52.0,Anastasios Mantzaris,772.0,94.0,81.0,105.0,92.0,33.0,26.0,20.0,25.0,68.0,56.0,77.0,25.0,30.0,38.0,2.0
53.0,Nikolaos Zoulfikiaroglou,780.0,59.0,62.0,86.0,92.0,33.0,26.0,20.0,33.0,103.0,31.0,49.0,42.0,111.0,31.0,2.0
54.0,Aggelos Michaelidis,784.0,38.0,139.0,135.0,73.0,33.0,26.0,20.0,33.0,40.0,54.0,77.0,33.0,43.0,38.0,2.0
55.0,Panagiotis Dimitropoulos,785.0,14.0,12.0,41.0,35.0,33.0,26.0,20.0,33.0,19.0,56.0,77.0,265.0,114.0,38.0,2.0
56.0,Giannis Bougatsias,792.0,142.0,136.0,103.0,57.0,33.0,26.0,20.0,33.0,78.0,56.0,18.0,16.0,34.0,38.0,2.0
57.0,Minoas Sotiropoulos,795.0,82.0,70.0,33.0,92.0,33.0,26.0,20.0,33.0,85.0,26.0,77.0,120.0,58.0,38.0,2.0
58.0,Alkinoos Matrakas,796.0,27.0,61.0,185.0,92.0,33.0,26.0,20.0,17.0,13.0,56.0,77.0,66.0,114.0,7.0,2.0
59.0,Sotiria Mountzouri,811.0,93.0,146.0,62.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,46.0,9.0,11.0,38.0,2.0
59.0,Triantafyllos Chatzinikolaou,811.0,83.0,87.0,35.0,92.0,33.0,26.0,20.0,33.0,67.0,56.0,77.0,48.0,114.0,38.0,2.0
61.0,Athanasios Batsaris,813.0,63.0,98.0,39.0,41.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,55.0,114.0,12.0,2.0
62.0,Alexis Nantaragia,824.0,136.0,0.0,185.0,0.0,33.0,26.0,20.0,33.0,104.0,56.0,77.0,0.0,114.0,38.0,2.0
63.0,Chris Lazarakis,832.0,73.0,99.0,50.0,66.0,33.0,26.0,8.0,33.0,59.0,56.0,42.0,135.0,114.0,36.0,2.0
64.0,Athanasios Koumbis,834.0,182.0,92.0,57.0,38.0,25.0,26.0,20.0,33.0,102.0,56.0,34.0,15.0,114.0,38.0,2.0
65.0,Dimitris Papazoglou,841.0,167.0,133.0,66.0,47.0,33.0,26.0,20.0,33.0,144.0,27.0,33.0,46.0,39.0,25.0,2.0
66.0,Rafail Peikos,847.0,8.0,9.0,185.0,92.0,33.0,17.0,20.0,33.0,144.0,56.0,40.0,56.0,114.0,38.0,2.0
67.0,Thanasis Spiliotis,849.0,62.0,86.0,52.0,27.0,33.0,26.0,20.0,33.0,30.0,56.0,77.0,193.0,114.0,38.0,2.0
68.0,Giorgos Karagiannidis,858.0,169.0,42.0,96.0,53.0,33.0,26.0,20.0,33.0,79.0,56.0,62.0,35.0,114.0,38.0,2.0
68.0,Athanasios Papadopoulos,858.0,118.0,82.0,59.0,72.0,33.0,26.0,20.0,33.0,48.0,56.0,77.0,80.0,114.0,38.0,2.0
70.0,Alexandros Lazaridis Michailidis,863.0,112.0,131.0,185.0,92.0,33.0,26.0,20.0,33.0,34.0,56.0,77.0,21.0,17.0,24.0,2.0
71.0,Aristidis-Savvas Peristeris,868.0,102.0,105.0,131.0,92.0,33.0,26.0,20.0,33.0,33.0,56.0,77.0,6.0,114.0,38.0,2.0
