Rank,name,Sum,333,222,444,555,666,333bf,333oh,clock,minx,pyram,skewb,sq1
42.0,Theo Quami Psifa,159.0,43.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,17.0,7.0,3.0
42.0,Varun Kanabar,159.0,26.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
44.0,Issa Joseph Owaga,160.0,27.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
45.0,Aryan S. Khalsa,164.0,37.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,28.0,7.0,3.0
45.0,Adam Christopher Rebeiro,164.0,52.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,13.0,7.0,3.0
47.0,Ryan Rureri,168.0,50.0,39.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,27.0,7.0,3.0
48.0,Shravan Kotecha,169.0,42.0,41.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
48.0,Dhruv Kanabar,169.0,36.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
50.0,Mucoki Waweru,171.0,45.0,40.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
51.0,Ryan Kiplagat Kurui,175.0,51.0,38.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
51.0,Ruby Gathoni Ngunjiri,175.0,48.0,43.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,32.0,7.0,3.0
53.0,Shem Koech,176.0,46.0,47.0,12.0,6.0,3.0,3.0,11.0,2.0,2.0,34.0,7.0,3.0
54.0,Deeve Gudka,181.0,53.0,42.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
55.0,Caelan Shah,183.0,61.0,36.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
56.0,Tamara Wayu,185.0,55.0,44.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
57.0,Maxwel Mutai,186.0,63.0,37.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
58.0,Colin Osidiana,187.0,57.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,31.0,7.0,3.0
59.0,Eleazar Rutto,189.0,56.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
60.0,Ashok Xavier Rebeiro,191.0,58.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
61.0,Dayyan Kassiri,192.0,60.0,46.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
61.0,Gabriella Munanie Mutiga,192.0,59.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
63.0,Jagmeet Singh Kalsi,195.0,71.0,47.0,3.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
63.0,Dancun Opiyo Junior,195.0,62.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
65.0,Jamie Kenan Baraka,197.0,68.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,30.0,7.0,3.0
65.0,Joyblessing Kibet,197.0,64.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
67.0,Michael Nziwa Makanga,198.0,67.0,45.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
67.0,Barrack Kigen,198.0,65.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
69.0,Mwongera Mutiga,199.0,66.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
70.0,Samuel Kamau,202.0,69.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
71.0,Divisha Parmar,203.0,70.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
