Rank,name,Sum,333,222,444,555,333oh,pyram
66.0,Emmanuel Rahanitriniaina,179.0,60.0,47.0,26.0,11.0,33.0,2.0
67.0,Andriantsihoaramahery Harentsoa Rakotovao,180.0,61.0,47.0,26.0,11.0,33.0,2.0
68.0,Lovaniaina Franck Randrianarivelo,181.0,62.0,47.0,26.0,11.0,33.0,2.0
69.0,Kantoniaina Manantsoa Randriambelosoa,182.0,63.0,47.0,26.0,11.0,33.0,2.0
69.0,Faniriniaina Fiderana Henintsoa,182.0,75.0,35.0,26.0,11.0,33.0,2.0
71.0,Tsitohaina Ryan Rabemanantsoa,186.0,67.0,47.0,26.0,11.0,33.0,2.0
72.0,Avoaina Randrianasolo,187.0,68.0,47.0,26.0,11.0,33.0,2.0
73.0,Arofenitra Rakotonirina,188.0,69.0,47.0,26.0,11.0,33.0,2.0
73.0,Ny Fitiavana Zo Rayan Andriantsoa,188.0,80.0,36.0,26.0,11.0,33.0,2.0
75.0,Rado Tiana Rakotonomenjanahary,189.0,70.0,47.0,26.0,11.0,33.0,2.0
76.0,Adoré Solonirina Razafindrainisoamavo,190.0,81.0,38.0,25.0,11.0,33.0,2.0
76.0,Miarotiana Fifaliana Rajaonasitera,190.0,84.0,34.0,26.0,11.0,33.0,2.0
78.0,Ainasoa Miaronavalona Razafimanjato,192.0,74.0,47.0,26.0,10.0,33.0,2.0
78.0,Mamonjisoa Rasetason,192.0,73.0,47.0,26.0,11.0,33.0,2.0
78.0,Yakhin Harris Jinoro,192.0,114.0,6.0,26.0,11.0,33.0,2.0
81.0,Mathieu Nilaina Raharinaivoson,194.0,86.0,40.0,24.0,11.0,31.0,2.0
82.0,Mandatahiana Ranaivoarisoa,196.0,77.0,47.0,26.0,11.0,33.0,2.0
83.0,Mendrikaja Faniry Nathalia Randria,197.0,78.0,47.0,26.0,11.0,33.0,2.0
84.0,Tolotra Sarobidy Rakotosalama Andriamanalintsoa,198.0,79.0,47.0,26.0,11.0,33.0,2.0
85.0,Gabriel Andre,201.0,87.0,42.0,26.0,11.0,33.0,2.0
85.0,Josoa Ratsimisanta,201.0,82.0,47.0,26.0,11.0,33.0,2.0
87.0,Bryan Randrianasolo,202.0,83.0,47.0,26.0,11.0,33.0,2.0
88.0,Mirando Andrianantenaina,204.0,85.0,47.0,26.0,11.0,33.0,2.0
89.0,Deban Lucky Tsara Fitahiana Randrema,205.0,90.0,43.0,26.0,11.0,33.0,2.0
90.0,Bryan Ralaivao,206.0,93.0,41.0,26.0,11.0,33.0,2.0
90.0,Mandrindra Rivoharinjaka Robinson,206.0,95.0,39.0,26.0,11.0,33.0,2.0
92.0,Princy Finaritra Randrianaivoson,207.0,88.0,47.0,26.0,11.0,33.0,2.0
92.0,Christopher Eden Rovison,207.0,98.0,37.0,26.0,11.0,33.0,2.0
94.0,Nomena Fitiavana Ramanandraibe,208.0,89.0,47.0,26.0,11.0,33.0,2.0
95.0,Manda Rakotomahanina,210.0,114.0,47.0,3.0,11.0,33.0,2.0
95.0,Raymond Parker Falihery,210.0,91.0,47.0,26.0,11.0,33.0,2.0
97.0,Alexandre Hariseheno,211.0,92.0,47.0,26.0,11.0,33.0,2.0
97.0,Marc Randriamahefa,211.0,94.0,46.0,26.0,11.0,32.0,2.0
99.0,Niaro Mahery Andriamalala,213.0,114.0,27.0,26.0,11.0,33.0,2.0
100.0,Tsiky Andrianaivo,215.0,96.0,47.0,26.0,11.0,33.0,2.0
101.0,Tafita Delloue Ralaimiharintsoa,216.0,97.0,47.0,26.0,11.0,33.0,2.0
102.0,Nantenaina Ralambomahay,217.0,114.0,47.0,10.0,11.0,33.0,2.0
103.0,Tiavinirina Andrinimanda,218.0,99.0,47.0,26.0,11.0,33.0,2.0
104.0,Mitantsoa Rakotomamonjy,219.0,100.0,47.0,26.0,11.0,33.0,2.0
105.0,Seyah Nathan Razafindrabesa,220.0,101.0,47.0,26.0,11.0,33.0,2.0
106.0,Nomena Rasandifera,221.0,102.0,47.0,26.0,11.0,33.0,2.0
107.0,Ronald Andrianavalova,222.0,103.0,47.0,26.0,11.0,33.0,2.0
108.0,Myriam Gracia Ramanitriniaina,223.0,104.0,47.0,26.0,11.0,33.0,2.0
109.0,Eric Razafinarivo,224.0,105.0,47.0,26.0,11.0,33.0,2.0
110.0,Toavinirina Andriamanda,225.0,106.0,47.0,26.0,11.0,33.0,2.0
111.0,Randykael Rasoanarivo,226.0,107.0,47.0,26.0,11.0,33.0,2.0
112.0,Mandresy Aaron Ramorasata,227.0,108.0,47.0,26.0,11.0,33.0,2.0
113.0,Mahery Andrianaivo,228.0,109.0,47.0,26.0,11.0,33.0,2.0
114.0,Landry Ramampiandra,229.0,110.0,47.0,26.0,11.0,33.0,2.0
115.0,Kanto Rasoanarivo,230.0,111.0,47.0,26.0,11.0,33.0,2.0
116.0,Aina Avana,231.0,114.0,45.0,26.0,11.0,33.0,2.0
116.0,Lafatra Ratsiambakaina,231.0,112.0,47.0,26.0,11.0,33.0,2.0
118.0,Fanevamampiandra Herinirina,232.0,113.0,47.0,26.0,11.0,33.0,2.0
118.0,Anayah Andriatsimisetra,232.0,114.0,47.0,26.0,11.0,33.0,1.0
