Rank,name,Sum,333,222,333oh
1.0,Tareq Mohammed Mahmoud Alaggad,3.0,1.0,1.0,1.0
2.0,Smret Abraham,6.0,2.0,2.0,2.0
3.0,Forqan Hashemi,7.0,3.0,2.0,2.0
