Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
75.0,Adam Caeiro,568.0,66.0,42.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
76.0,Filipe José Miranda Machado,574.0,67.0,100.0,88.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,56.0,41.0,32.0,2.0,5.0
77.0,Vasco Maria Mateus Barata,575.0,97.0,29.0,96.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
77.0,Francisco Huhn,575.0,85.0,63.0,107.0,33.0,12.0,8.0,12.0,10.0,36.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
79.0,Bruno Azinheirinha,578.0,78.0,92.0,60.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,23.0,82.0,49.0,32.0,2.0,5.0
80.0,Bernardo Cunha,580.0,92.0,61.0,75.0,33.0,12.0,8.0,12.0,10.0,68.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
81.0,Estêvão Moreira Gomes,583.0,29.0,180.0,80.0,33.0,12.0,8.0,12.0,10.0,10.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
82.0,André de Martins Santos,597.0,132.0,91.0,84.0,33.0,12.0,8.0,12.0,10.0,57.0,11.0,28.0,31.0,49.0,32.0,2.0,5.0
83.0,Emanuel Marques,599.0,76.0,82.0,107.0,33.0,12.0,8.0,12.0,10.0,50.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
84.0,Mingus Ferreira,600.0,88.0,98.0,66.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,77.0,49.0,32.0,2.0,5.0
85.0,Vicente Aroso,614.0,126.0,47.0,107.0,33.0,12.0,8.0,12.0,10.0,65.0,11.0,28.0,67.0,49.0,32.0,2.0,5.0
85.0,José Santos,614.0,71.0,83.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
85.0,Rodrigo Xavier de Aquino Tavares,614.0,93.0,95.0,73.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
88.0,Leandro Carvalho,615.0,77.0,78.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
89.0,António Power,616.0,95.0,61.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
90.0,Alexandre van Velze,617.0,106.0,51.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
91.0,Daniela Kostenko,621.0,113.0,86.0,69.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
92.0,David Nassauer,622.0,114.0,64.0,107.0,33.0,12.0,8.0,12.0,10.0,53.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
92.0,Gonçalo Cruz Lobo,622.0,82.0,89.0,107.0,33.0,12.0,8.0,12.0,10.0,60.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
94.0,Adrian Bispo Siqueira,624.0,124.0,124.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,22.0,25.0,32.0,2.0,5.0
95.0,Guilherme Santos,626.0,105.0,107.0,85.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,59.0,48.0,32.0,2.0,5.0
96.0,Henrique Figueiredo,631.0,111.0,122.0,62.0,27.0,12.0,8.0,12.0,10.0,58.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
97.0,Henrique Moreira Atabão,635.0,121.0,96.0,65.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
98.0,Márcio André Cardoso Pereira,642.0,96.0,142.0,71.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,29.0,32.0,2.0,5.0
99.0,José Miguel Freitas Teixeira,643.0,128.0,75.0,87.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
100.0,Jimi M. V. Hamilton,646.0,107.0,79.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
100.0,Guilherme Gaspar,646.0,103.0,112.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,53.0,49.0,32.0,2.0,5.0
102.0,Daniel Fonseca,648.0,98.0,117.0,107.0,33.0,12.0,8.0,12.0,10.0,42.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
