Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
40.0,Giorgi Zaalishvili (გიორგი ზაალიშვილი),298.0,49.0,24.0,34.0,11.0,2.0,4.0,3.0,34.0,2.0,8.0,88.0,34.0,5.0
42.0,Sandro Saria,299.0,42.0,59.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,54.0,26.0,5.0
42.0,Mushni Chankseliani (მუშნი ჩანქსელიანი),299.0,45.0,61.0,39.0,11.0,2.0,4.0,3.0,33.0,2.0,8.0,52.0,34.0,5.0
44.0,Luka Nadiradze (ლუკა ნადირაძე),301.0,89.0,46.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,14.0,34.0,5.0
45.0,Nikoloz Kobakhidze,302.0,60.0,75.0,35.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,19.0,34.0,5.0
45.0,Mikheil Shubitidze (მიხეილ შუბითიძე),302.0,59.0,27.0,30.0,9.0,2.0,4.0,3.0,31.0,2.0,8.0,88.0,34.0,5.0
47.0,Saba Gogilashvili,303.0,41.0,22.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
48.0,Tengizi Maziashvili,305.0,32.0,51.0,21.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
48.0,Archili Gongadze,305.0,20.0,74.0,39.0,11.0,2.0,4.0,3.0,15.0,2.0,8.0,88.0,34.0,5.0
50.0,Mariami Balakhashvili (მარიამი ბალახაშვილი),308.0,93.0,32.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,31.0,34.0,5.0
51.0,Gaga Khoperia,309.0,21.0,48.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
52.0,Zurab Katcharava,310.0,64.0,52.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,47.0,29.0,5.0
53.0,Giorgi Tamazashvili,311.0,44.0,41.0,39.0,11.0,2.0,4.0,3.0,30.0,2.0,8.0,88.0,34.0,5.0
54.0,Nika Zaridze (ნიკა ზარიძე),314.0,48.0,57.0,39.0,11.0,2.0,4.0,3.0,13.0,2.0,8.0,88.0,34.0,5.0
55.0,Mikhail Khechoyan (მიხაილი ხეჩოიანი),315.0,65.0,70.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,37.0,25.0,5.0
56.0,Nikoloz Abashidze,316.0,94.0,66.0,28.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,28.0,21.0,5.0
56.0,Giorgi Chkhaidze (გიორგი ჩხაიძე),316.0,78.0,49.0,39.0,11.0,2.0,4.0,3.0,37.0,2.0,8.0,58.0,20.0,5.0
58.0,Ilia Jalal (ილია ჯალალ),318.0,43.0,35.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
58.0,Nikolozi Tskhomelidze,318.0,81.0,62.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,23.0,34.0,5.0
60.0,Giorgi Qebadze (გიორგი ქებაძე),322.0,61.0,44.0,39.0,11.0,2.0,4.0,3.0,40.0,2.0,8.0,69.0,34.0,5.0
61.0,Bagrat Shonia,334.0,82.0,60.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,40.0,34.0,5.0
62.0,Saba Mikaia (საბა მიქაია),341.0,75.0,26.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
63.0,Revaz Rukhadze,344.0,85.0,54.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,53.0,34.0,5.0
64.0,Dachi Abesadze,353.0,73.0,69.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,59.0,34.0,5.0
65.0,Andria Skhirtladze (ანდრია სხრიტლაძე),356.0,88.0,72.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,44.0,34.0,5.0
65.0,George Jacobashvili,356.0,112.0,71.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,21.0,34.0,5.0
67.0,Luka Gogichaishvili,358.0,66.0,113.0,29.0,11.0,2.0,4.0,3.0,32.0,2.0,8.0,61.0,22.0,5.0
68.0,Gurami Pureliani,360.0,97.0,73.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,48.0,24.0,5.0
68.0,Nikoloz Chaladze,360.0,62.0,58.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
70.0,Robert Avetisov,364.0,95.0,91.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,26.0,34.0,5.0
71.0,Petre Tenieshvili,371.0,24.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,28.0,5.0
72.0,Davit Dudashvili,380.0,71.0,90.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,67.0,34.0,5.0
73.0,Lizi Matchutadze,381.0,28.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
74.0,Ketevan Sikharulidze,384.0,77.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,42.0,34.0,5.0
75.0,Gega Tsetskhladze (გეგა ცეცხლაძე),385.0,100.0,79.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,54.0,34.0,5.0
76.0,Levani Mushkudiani (ლევან მუშკუდიანი),389.0,69.0,80.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
77.0,Tornike Devdariani,390.0,37.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
77.0,Avtandil Kaplanishvili,390.0,87.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,38.0,34.0,5.0
79.0,Dachi Tchatchia (დაჩი ჭაჭია),392.0,56.0,113.0,39.0,11.0,2.0,4.0,3.0,27.0,2.0,8.0,88.0,34.0,5.0
80.0,Giorgi Mailashvili,397.0,79.0,100.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,66.0,34.0,5.0
81.0,Andria Sulashvili,399.0,103.0,64.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,80.0,34.0,5.0
81.0,Nodar Mtskhetadze (ნოდარ მცხეთაძე),399.0,114.0,45.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
83.0,Nika Pkhaladze,400.0,47.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
83.0,Giorgi Gogichashvili,400.0,96.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,39.0,34.0,5.0
83.0,Irakli Elizbarashvili (ირაკლი ელიზბარაშვილი),400.0,91.0,94.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,63.0,34.0,5.0
86.0,Giorgi Tsatava (გიორგი ცატავა),404.0,51.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
86.0,Guga Kakablishvili (გუგა კაკაბლიშვილი),404.0,161.0,55.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,36.0,34.0,5.0
88.0,Dachi Cindadze,405.0,80.0,103.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,70.0,34.0,5.0
89.0,Rati Chakhaia (რატი ჩახაია),406.0,53.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
89.0,Daniel Mamonov,406.0,67.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,74.0,34.0,5.0
91.0,Nikoloz Jojua,408.0,55.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
92.0,Lasha Gogolashvili,409.0,118.0,97.0,39.0,11.0,2.0,4.0,3.0,43.0,2.0,8.0,43.0,34.0,5.0
92.0,Nikoloz Nikolashvili (ნიკოლოზ ნიკოლაშვილი),409.0,146.0,34.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,77.0,34.0,5.0
94.0,Ana Gachechiladze (ანა გაჩეჩილაძე),410.0,104.0,66.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
94.0,Sandro Gokieli,410.0,107.0,63.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
96.0,Bacho Gvelesiani (ბაჩო გველესიანი),411.0,58.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
97.0,Nikolozi Tarielashvili (ნიკოლოზ ტარიელაშვილი),413.0,67.0,113.0,32.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
98.0,Beka Varamashvili,414.0,113.0,89.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,62.0,32.0,5.0
98.0,Tato Shervashidze,414.0,115.0,87.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,64.0,30.0,5.0
100.0,Nika Khachaturovi,416.0,63.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
101.0,Boris Jangiani,417.0,92.0,85.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
101.0,Lasha Baqaquri,417.0,106.0,86.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,73.0,34.0,5.0
103.0,Iva Japaridze (ივა ჯაფარიძე),421.0,101.0,92.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,76.0,34.0,5.0
104.0,Nikoloz Dzmanashvili,423.0,70.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
105.0,Davit Jalaliani,427.0,74.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
106.0,Luka Khokhiashvili,429.0,76.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
107.0,Ana Marchilashvili (ანა მარჩილაშვილი),432.0,132.0,83.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,65.0,34.0,5.0
