Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
47.0,Reem Mohd,181.0,39.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
49.0,Ahmed Nayel Saleh Salem Alsawaeer,185.0,43.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
50.0,Narjes Jaafar Fardan,187.0,51.0,39.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
51.0,Hussain Ali Ismail,188.0,46.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
51.0,Layla Abdulla Mohamed Ali Edhrabooh,188.0,49.0,42.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
53.0,Mohsin Al Hashimi,192.0,50.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
54.0,Hosna Mohamed Alfardan,195.0,53.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
55.0,Mohamed Nesaif,196.0,54.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
56.0,Maryam Sayed Baqer Abdulla,197.0,55.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
57.0,Zahraa Mohamed,198.0,56.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
58.0,Ali Isa Ahmed Aljazeeri,199.0,57.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
59.0,Abdulaziz Ali Abdulaziz Mohammed Alshaikh,200.0,58.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
60.0,Basil Sayed Ansar Husain Sayed,201.0,60.0,44.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
60.0,Wadeea Nasaif,201.0,59.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
62.0,Vikram Rathod,203.0,64.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,23.0,14.0,4.0
62.0,Hamzah Sayyed Irfan Anwar Ahmed Husain,203.0,61.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
64.0,Balqees Saeed Ababneh,204.0,62.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
65.0,Fawaz Abdulrahim Khunji,205.0,63.0,45.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
