Rank,name,Sum,333,222,444,333oh,minx,pyram,skewb
1.0,Abdulrahman Saif,12.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0
2.0,Ibrahim Alkebsi,15.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0
3.0,Sam Othman,16.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
4.0,Husam Fatehi Ahmed Naji,18.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0
5.0,Mohammed Ameen Abdulrahman,19.0,5.0,4.0,1.0,2.0,2.0,2.0,3.0
6.0,Sohaib Ibrahim Alghaili Alhashimi,22.0,6.0,4.0,3.0,2.0,2.0,2.0,3.0
