Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1,444bf
40.0,Seyi Omobomi,234.0,43.0,44.0,30.0,17.0,4.0,3.0,7.0,23.0,2.0,11.0,31.0,13.0,4.0,2.0
43.0,Chimaobi Amadi,236.0,28.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
43.0,Fiyin Oyeleye,236.0,37.0,44.0,21.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
45.0,Basit Sadiq,237.0,49.0,24.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
46.0,Ikechi Desire,238.0,50.0,32.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,23.0,13.0,4.0,2.0
47.0,Obi Chibuikem Emmanuel,240.0,32.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
48.0,Ujuatonu Michael Onyedikachi,241.0,33.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
49.0,Onerhime Moses,242.0,34.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
50.0,Chukwunazam Ejikeme-Ibe,243.0,66.0,22.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,22.0,13.0,4.0,2.0
51.0,Adai Praise Ejeh,244.0,36.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
52.0,Ezuruike Raphael,246.0,38.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
53.0,Oluwafeolami Sodeinde,247.0,39.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
54.0,Toluhi Peace-Pact,248.0,51.0,44.0,26.0,15.0,4.0,3.0,7.0,35.0,2.0,11.0,31.0,13.0,4.0,2.0
55.0,David Zeb-Amah,252.0,48.0,44.0,30.0,17.0,4.0,3.0,7.0,36.0,2.0,11.0,31.0,13.0,4.0,2.0
56.0,Irabor Osaze,255.0,47.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
57.0,Wari-Sylva Karakaraye Himson,256.0,55.0,44.0,30.0,17.0,4.0,3.0,7.0,33.0,2.0,11.0,31.0,13.0,4.0,2.0
58.0,Oluwatobiloba Adebajo,259.0,72.0,23.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
59.0,Angelo Adim-okozi,261.0,53.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
59.0,Koripamo Theodore,261.0,63.0,44.0,30.0,17.0,4.0,3.0,7.0,30.0,2.0,11.0,31.0,13.0,4.0,2.0
61.0,Idiaghe Daniel,262.0,54.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
62.0,Unuafe-Victor Iruoghene,264.0,56.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
63.0,Wari-Sylva Wasara,265.0,57.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
64.0,Saka Abdullah Olawale,267.0,59.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
65.0,Agbarey Gregory,269.0,61.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
66.0,Philip Abasi-Ifreke Innocent Nicholas,270.0,62.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
67.0,Akande Tobi,271.0,70.0,37.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
67.0,Oyeyemi Olorunkoya,271.0,63.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
69.0,Oluwapese Alo,273.0,74.0,44.0,30.0,17.0,4.0,3.0,7.0,31.0,2.0,11.0,31.0,13.0,4.0,2.0
70.0,Ayomide David Ajayi,275.0,67.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
71.0,Ezeala Kosisochukwu,276.0,68.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
72.0,Habib-Mohammed Ahanavi,277.0,69.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
73.0,Obi Chibuikem,278.0,70.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
74.0,Adejumo Iyinoluwa Samuel,279.0,89.0,44.0,20.0,12.0,4.0,3.0,7.0,37.0,2.0,11.0,31.0,13.0,4.0,2.0
75.0,Nathan Henry,280.0,77.0,39.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
76.0,Onwutalobi Collins,281.0,73.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
77.0,Alexander Awosoji,283.0,85.0,34.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
77.0,Ihedimunma Mgbeokwere,283.0,75.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
79.0,Obot Godswill,284.0,76.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
80.0,Afolabi Fawaz,286.0,78.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
81.0,Oguoba Dave,287.0,79.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
82.0,Munirudeen Abdullah Molade,288.0,103.0,44.0,25.0,14.0,4.0,3.0,7.0,25.0,2.0,11.0,31.0,13.0,4.0,2.0
82.0,Ogundokun John Oluwapelumi,288.0,80.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
84.0,Prince Daniel,289.0,81.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
85.0,Kalio Mitchell,290.0,82.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
86.0,Agwunobi Tobechukwu,291.0,83.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
86.0,Onyeka-Ofodile Somto,291.0,108.0,19.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
88.0,Ikeyi Chijioke,292.0,84.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
88.0,Chukwuemerie Osuagwu,292.0,99.0,29.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
90.0,Jompe Emmanuel Ayomiposi,294.0,86.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
91.0,Ojo Timothy Ayodele,295.0,87.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
92.0,Joel Mafuru,296.0,88.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
93.0,Medunoye Semilore,298.0,90.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
94.0,Dada Samuel,299.0,91.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
95.0,Tobi Onafowokan,300.0,92.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
96.0,Adeniji Ayomikun,301.0,93.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
97.0,Mbechi Emeka,302.0,94.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
98.0,Ufochukwu Promise,303.0,95.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
98.0,Okafor Anoziem,303.0,95.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
98.0,Adewole Joel,303.0,95.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
101.0,Maduafokwa Joseph Elochukwu,306.0,98.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
102.0,Elumaro Adedapo Michael,308.0,100.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
103.0,Moemeke Chiwendu Gabriel,309.0,101.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
104.0,Eric Body Lawson,310.0,102.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
105.0,Elijah Usih,311.0,103.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
106.0,Ivwurie Oghenerukevwe Daniel,313.0,105.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
107.0,Noruwa Joshua,314.0,106.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
108.0,Babatope Oluwadunsin,315.0,107.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
109.0,Ayobami Daniel,316.0,108.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
110.0,Aborisade Faithful,318.0,110.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
110.0,Onisile Ayomide,318.0,110.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
112.0,Okondu Oliseh,320.0,112.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
113.0,Maximus Okite,321.0,113.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
114.0,Ikechukwu Tochukwu,322.0,114.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
115.0,Tobechukwu Okoroji,323.0,115.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
116.0,Okpara Joachim Ogechukwu,324.0,116.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
117.0,Fortune Adekogbe,325.0,117.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
117.0,Oyetunbosun David Diya,325.0,118.0,44.0,29.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
119.0,Igboekwu Fidelis Chijoke,327.0,119.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
120.0,Tega Idogun,328.0,120.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
121.0,Amafonye Favour Onyedika,329.0,121.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
122.0,Akwukwaegbu Justyn,330.0,122.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
123.0,Folorunsho Alli,331.0,123.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
124.0,Oyelude Favour,332.0,124.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
125.0,Victor Olaniyan Anuoluwapo,333.0,125.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
