Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
47.0,Adam Ahmed Mahmoud Afana,249.0,57.0,36.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
48.0,Sabri Makki,251.0,73.0,53.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,16.0,19.0,9.0,2.0
49.0,Issa Mohammad Abase,256.0,68.0,32.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
50.0,Firas Waleed Herbawy,258.0,14.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
50.0,Ahmad Abu Kteash,258.0,36.0,66.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
50.0,Aabed Alrhmn Abu Sneenh,258.0,38.0,64.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
53.0,Mera Mohammed Halawani,259.0,77.0,40.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,35.0,17.0,9.0,2.0
54.0,Mahmoud Said Mahmoud Hudairi,260.0,50.0,54.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
54.0,Malek Awde,260.0,52.0,52.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
56.0,Mohammad Abd Alsalam Ghosha,265.0,83.0,57.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,15.0,20.0,9.0,2.0
57.0,Osayd Khalil Ibrahim Sabri,266.0,62.0,48.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
58.0,Zaid Nabulsi,267.0,41.0,70.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
58.0,Omran Shadi Qawasma,267.0,51.0,60.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
60.0,Firas Rami Shwiki,271.0,27.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
60.0,Omar Talgy,271.0,28.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,23.0,3.0,12.0,46.0,20.0,9.0,2.0
62.0,Mathias Awad,278.0,40.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,18.0,3.0,12.0,46.0,20.0,9.0,2.0
63.0,Maen Shhadeh,280.0,87.0,37.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
64.0,Sameer Atari,283.0,78.0,49.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
65.0,Khaled Abu Rajab,284.0,66.0,62.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
66.0,Yousef Jamal Abu Remaileh,286.0,42.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
66.0,Bashar Madi,286.0,59.0,71.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
66.0,Evelina Khalid Nasrallah,286.0,70.0,60.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
69.0,Majd Mamoun Daoud Farrah,287.0,43.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
70.0,Loona Wesam Tamimi,288.0,67.0,65.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
70.0,Hamza Muhtaseb,288.0,44.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
72.0,Bushra Alayan,289.0,45.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
73.0,Ghaith Zahda,292.0,60.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,34.0,20.0,9.0,2.0
74.0,Ahmad Mohammad Shanty,296.0,101.0,56.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,29.0,20.0,9.0,2.0
75.0,Motasem Tamimi,298.0,69.0,73.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
75.0,Noor Zohair,298.0,54.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
75.0,Amer Ahmad Saad,298.0,79.0,63.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
78.0,Eiad Taha Abd Albaset,299.0,55.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
78.0,Roaa Karem Baktan,299.0,84.0,59.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
80.0,Yassen Abedalrzaq Jaber,300.0,56.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
81.0,Sadeen Faqeeh,307.0,76.0,75.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
81.0,Yazan Dweik,307.0,81.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,28.0,20.0,9.0,2.0
81.0,Ahmad Karameh,307.0,74.0,77.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
84.0,Jana Said Mahmoud Hudairi,308.0,64.0,88.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
85.0,Maryam Jamjoum,311.0,100.0,55.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
86.0,Hesham Jean,313.0,85.0,72.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
