Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
36.0,Nikita Nosov (Никита Носов),344.0,52.0,28.0,26.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,66.0,28.0,19.0,2.0
37.0,Temirlan Isaev (Темирлан Исаев),354.0,61.0,51.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,11.0,10.0,19.0,2.0
38.0,Doolot Maksatbekov (Доолот Максатбеков),360.0,57.0,20.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,39.0,23.0,19.0,2.0
39.0,Adilet Ikramov (Адилет Икрамов),363.0,59.0,35.0,19.0,10.0,3.0,2.0,5.0,2.0,22.0,4.0,15.0,117.0,49.0,19.0,2.0
40.0,Nurbek Dosbolov (Нурбек Досболов),369.0,89.0,63.0,37.0,24.0,3.0,2.0,5.0,2.0,43.0,4.0,29.0,28.0,19.0,19.0,2.0
41.0,Kolbai Esenbekov (Кольбай Эсенбеков),370.0,74.0,27.0,77.0,24.0,3.0,2.0,5.0,2.0,47.0,4.0,29.0,35.0,20.0,19.0,2.0
42.0,Abdurakhim Zhumaly (Абдурахим Жумалы),373.0,33.0,52.0,10.0,24.0,3.0,2.0,5.0,2.0,16.0,4.0,29.0,117.0,55.0,19.0,2.0
42.0,Nurel Nuraliev (Нурэл Нуралиев),373.0,69.0,39.0,77.0,24.0,3.0,2.0,5.0,2.0,38.0,4.0,29.0,17.0,43.0,19.0,2.0
44.0,Torobek Kalmanbetov (Торобек Калманбетов),374.0,87.0,38.0,42.0,19.0,3.0,2.0,5.0,2.0,54.0,4.0,17.0,54.0,26.0,19.0,2.0
45.0,Iskender Beishenaliev (Искендер Бейшеналиев),376.0,56.0,43.0,47.0,18.0,3.0,2.0,5.0,2.0,54.0,4.0,26.0,40.0,55.0,19.0,2.0
46.0,Maxim Shabelnickov,381.0,36.0,47.0,48.0,21.0,3.0,2.0,5.0,2.0,54.0,4.0,28.0,63.0,47.0,19.0,2.0
46.0,Aibiyke Kerimkulova (Айбийке Керимкулова),381.0,45.0,69.0,22.0,24.0,3.0,2.0,5.0,2.0,42.0,4.0,29.0,58.0,55.0,19.0,2.0
48.0,Nursultan Abdullaev (Нурсултан Абдуллаев),391.0,75.0,11.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,29.0,55.0,19.0,2.0
49.0,Batyrhan Mamashev (Батырхан Мамашев),395.0,30.0,6.0,77.0,24.0,3.0,2.0,5.0,2.0,20.0,4.0,29.0,117.0,55.0,19.0,2.0
50.0,Bayel Arzykulov (Байэл Арзыкулов),398.0,42.0,74.0,77.0,24.0,3.0,2.0,5.0,2.0,34.0,4.0,29.0,52.0,29.0,19.0,2.0
51.0,Temirlan Kerimkulov (Темирлан Керимкулов),399.0,37.0,45.0,24.0,24.0,3.0,2.0,5.0,2.0,49.0,4.0,23.0,116.0,44.0,19.0,2.0
52.0,Joodarbek Erkebaev (Жоодарбек Эркебаев),408.0,60.0,48.0,38.0,24.0,3.0,2.0,5.0,2.0,46.0,4.0,29.0,71.0,55.0,19.0,2.0
53.0,Ermek Asangulov (Эрмек Асангулов),426.0,67.0,76.0,77.0,24.0,3.0,2.0,5.0,2.0,51.0,4.0,29.0,10.0,55.0,19.0,2.0
54.0,Danil Darienko (Данил Дариенко),431.0,72.0,60.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,53.0,25.0,19.0,2.0
54.0,Aidar Abdiev (Айдар Абдиев),431.0,50.0,62.0,54.0,24.0,3.0,2.0,5.0,2.0,41.0,4.0,29.0,79.0,55.0,19.0,2.0
56.0,Akyl Kurmanaliev (Акыл Курманалиев),434.0,77.0,54.0,51.0,20.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,57.0,55.0,19.0,2.0
57.0,Elzar Adylbekov (Элзар Адылбеков),438.0,32.0,46.0,44.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,117.0,55.0,19.0,2.0
57.0,Iskhak Zikirov (Исхак Зикиров),438.0,38.0,77.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,61.0,41.0,19.0,2.0
59.0,Erbol Emilov (Эрбол Эмилов),442.0,70.0,81.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,15.0,55.0,19.0,2.0
60.0,Marat Uulu Askar (Марат Уулу Аскар),445.0,51.0,50.0,28.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,117.0,55.0,19.0,2.0
