Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
36.0,Khuslen Narmandakh,497.0,44.0,24.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,29.0,32.0,24.0,2.0
37.0,Gegeenbileg Naranchimeg,505.0,10.0,29.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,36.0,62.0,24.0,2.0
38.0,Khangai Erdenebileg,513.0,50.0,68.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,7.0,20.0,24.0,2.0
39.0,Sar-Uul Regzedmaa,525.0,61.0,61.0,98.0,51.0,17.0,10.0,21.0,10.0,57.0,29.0,21.0,46.0,17.0,24.0,2.0
40.0,Emujin Batjargal,531.0,64.0,87.0,57.0,45.0,17.0,10.0,21.0,10.0,76.0,15.0,28.0,34.0,41.0,24.0,2.0
41.0,Purewdorj Enkhtur,543.0,49.0,58.0,54.0,35.0,17.0,10.0,21.0,10.0,21.0,29.0,30.0,9.0,174.0,24.0,2.0
42.0,Purewdawaa Enkhtur,559.0,46.0,53.0,28.0,33.0,17.0,10.0,21.0,10.0,32.0,29.0,30.0,180.0,44.0,24.0,2.0
43.0,Munkh-Orgil Purevdorj,591.0,52.0,28.0,98.0,27.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,104.0,83.0,4.0,2.0
44.0,Narankhun Khatanbaatar (Хатанбаатар Наранхун),595.0,79.0,152.0,50.0,51.0,17.0,10.0,8.0,10.0,76.0,29.0,30.0,19.0,38.0,24.0,2.0
45.0,Temuulen Munkhtushig,597.0,30.0,42.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,42.0,115.0,24.0,2.0
46.0,Tsenguun Battulga (Баттулга Цэнгүүн),604.0,63.0,57.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,71.0,45.0,24.0,2.0
47.0,Erelkhegbaatar Lkhagva,613.0,69.0,74.0,41.0,34.0,17.0,10.0,7.0,10.0,44.0,29.0,30.0,82.0,140.0,24.0,2.0
47.0,Bakhdal Dembereldorj,613.0,90.0,64.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,52.0,39.0,24.0,2.0
49.0,Unubold Altanzul,631.0,94.0,53.0,49.0,37.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,110.0,77.0,16.0,2.0
50.0,Tuvshin Onon (Онон Түвшин),637.0,22.0,85.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,92.0,70.0,24.0,2.0
51.0,Otgonbayar Bombish (Бомбиш Отгонбаяр),640.0,55.0,62.0,61.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,18.0,174.0,24.0,2.0
52.0,Dulguun Altankhonkh,645.0,42.0,70.0,98.0,41.0,17.0,10.0,21.0,10.0,39.0,29.0,30.0,38.0,174.0,24.0,2.0
53.0,Garid Bilguun (Билгүүн Гарьд),647.0,77.0,43.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,89.0,70.0,24.0,2.0
54.0,Anar Ganjoloo,657.0,31.0,44.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,40.0,174.0,24.0,2.0
55.0,Temuulen Urangua,665.0,105.0,64.0,98.0,51.0,17.0,10.0,21.0,10.0,68.0,29.0,30.0,106.0,30.0,24.0,2.0
56.0,Zoljargal Enkhchimeg,667.0,58.0,19.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,48.0,174.0,24.0,2.0
57.0,Az Sukhbold,668.0,140.0,105.0,89.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,31.0,33.0,24.0,2.0
57.0,Aliya Bakhytjan (Бахытжан Алия),668.0,57.0,77.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,86.0,80.0,24.0,2.0
59.0,Gantulga Bat-Erdene,669.0,70.0,45.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,12.0,174.0,24.0,2.0
60.0,Anand Nandin,672.0,42.0,79.0,39.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,156.0,86.0,24.0,2.0
61.0,Lkhamjav Byaruuzan (Бяруузан Лхамжав),674.0,75.0,53.0,36.0,32.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,85.0,174.0,24.0,2.0
62.0,Otgonbat Zorigt (Зоригт Отгонбат),678.0,82.0,73.0,51.0,51.0,17.0,10.0,21.0,10.0,43.0,29.0,30.0,68.0,174.0,17.0,2.0
63.0,Angarag Amartugs,682.0,87.0,78.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,44.0,105.0,24.0,2.0
64.0,Ariunsaikhan Erdenebileg,685.0,74.0,56.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,5.0,30.0,131.0,80.0,24.0,2.0
65.0,Erdenemandah Erdenekhuu (Эрдэнэхүү Эрдэнэмандах),687.0,51.0,113.0,25.0,51.0,17.0,10.0,17.0,10.0,33.0,29.0,30.0,101.0,174.0,24.0,2.0
66.0,Enkhtur Battaivan,695.0,153.0,86.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,57.0,31.0,24.0,2.0
67.0,Manlai Javkhlan,701.0,160.0,69.0,98.0,51.0,17.0,10.0,21.0,10.0,62.0,29.0,30.0,94.0,24.0,24.0,2.0
68.0,Enkhmandakh Bayarmagnai,716.0,84.0,67.0,58.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,161.0,76.0,24.0,2.0
69.0,Sorgilsetsen Jargalsaikhan,718.0,71.0,124.0,73.0,51.0,17.0,10.0,21.0,10.0,66.0,27.0,30.0,164.0,34.0,18.0,2.0
70.0,Gunbilegt Davaakhuu (Даваахүү Гүнбилэгт),723.0,39.0,51.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,91.0,174.0,24.0,2.0
