Rank,name,Sum,333,222,444,555,333oh,minx,pyram,skewb,sq1
1.0,Joshua Tekwie,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
2.0,Caleb Tekwie,17.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
3.0,Alois Hemetsberger,28.0,4.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0
4.0,Zachariah Kone,29.0,3.0,4.0,2.0,2.0,4.0,2.0,6.0,4.0,2.0
4.0,Israel Tekwie,29.0,5.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0
6.0,Ezekiel Hemetsberger,33.0,7.0,7.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0
7.0,David Tekwie,34.0,6.0,6.0,2.0,2.0,3.0,2.0,7.0,4.0,2.0
8.0,Franz Hemetsberger,39.0,8.0,8.0,2.0,2.0,4.0,2.0,7.0,4.0,2.0
