Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
38.0,Mohammad Amanat Alam,624.0,34.0,99.0,30.0,37.0,19.0,17.0,16.0,17.0,91.0,7.0,44.0,58.0,120.0,31.0,2.0,2.0
39.0,Iftakharul Islam,628.0,93.0,70.0,57.0,34.0,25.0,17.0,19.0,17.0,32.0,7.0,50.0,127.0,66.0,10.0,2.0,2.0
40.0,Rayeed Rashed,630.0,51.0,9.0,21.0,16.0,25.0,17.0,19.0,17.0,76.0,7.0,59.0,190.0,86.0,33.0,2.0,2.0
41.0,Mohammad Didar Ali Afridi,632.0,91.0,73.0,144.0,64.0,25.0,17.0,19.0,17.0,120.0,7.0,25.0,4.0,2.0,20.0,2.0,2.0
42.0,Shudipto Sarwar,634.0,69.0,41.0,144.0,64.0,25.0,17.0,19.0,17.0,75.0,7.0,59.0,47.0,13.0,33.0,2.0,2.0
43.0,Farhan Labib,635.0,131.0,21.0,61.0,56.0,25.0,17.0,19.0,17.0,113.0,7.0,19.0,43.0,69.0,33.0,2.0,2.0
44.0,Humayun Kabir Rasel,637.0,27.0,46.0,92.0,64.0,25.0,17.0,19.0,17.0,37.0,7.0,59.0,70.0,120.0,33.0,2.0,2.0
45.0,SM Shish,644.0,57.0,20.0,27.0,64.0,25.0,17.0,19.0,17.0,151.0,7.0,59.0,32.0,112.0,33.0,2.0,2.0
46.0,Kayes Ahmed Shatabdo,648.0,145.0,107.0,67.0,64.0,25.0,17.0,19.0,17.0,72.0,7.0,41.0,27.0,3.0,33.0,2.0,2.0
47.0,Taiyeb Al Kavi,654.0,36.0,57.0,144.0,64.0,25.0,17.0,19.0,17.0,46.0,7.0,59.0,49.0,77.0,33.0,2.0,2.0
48.0,Durjoy Paul Apon,660.0,118.0,53.0,66.0,42.0,25.0,17.0,19.0,17.0,86.0,7.0,59.0,74.0,40.0,33.0,2.0,2.0
49.0,Ishmam Mahdi,672.0,64.0,66.0,40.0,10.0,4.0,4.0,19.0,17.0,131.0,7.0,40.0,125.0,108.0,33.0,2.0,2.0
50.0,Farhanul Haque Khan,675.0,65.0,25.0,63.0,41.0,24.0,17.0,19.0,16.0,78.0,7.0,38.0,131.0,114.0,33.0,2.0,2.0
51.0,Muhammad Sarim Hasan,679.0,93.0,22.0,81.0,57.0,25.0,17.0,19.0,17.0,58.0,7.0,53.0,73.0,120.0,33.0,2.0,2.0
52.0,Mohammad Shadman Bin Hasan,683.0,101.0,31.0,102.0,64.0,25.0,17.0,19.0,17.0,130.0,7.0,59.0,35.0,39.0,33.0,2.0,2.0
53.0,Fahiyeen Dewan,691.0,41.0,50.0,72.0,64.0,25.0,17.0,19.0,17.0,74.0,7.0,48.0,120.0,100.0,33.0,2.0,2.0
54.0,Asad Mahmud,693.0,33.0,89.0,11.0,13.0,9.0,9.0,19.0,17.0,36.0,7.0,59.0,234.0,120.0,33.0,2.0,2.0
54.0,Shatadru Kundu,693.0,70.0,42.0,144.0,64.0,25.0,17.0,19.0,17.0,51.0,7.0,59.0,21.0,120.0,33.0,2.0,2.0
