Rank,name,Sum,333,222,444,333oh
1.0,Zainab Abo Jamal,7.0,2.0,1.0,2.0,2.0
2.0,Abdulrahman Ahmed,8.0,1.0,3.0,3.0,1.0
3.0,Yousuf Tarig,9.0,3.0,2.0,1.0,3.0
4.0,Abdelbagi Hydoub,13.0,4.0,3.0,3.0,3.0
5.0,Mishkat Eltegani Musa,14.0,5.0,3.0,3.0,3.0
6.0,Ahmed Ali Suliman Elwakeel,15.0,6.0,3.0,3.0,3.0
