Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
34.0,Ali Teimori (علی تیموری),716.0,153.0,55.0,69.0,38.0,18.0,11.0,33.0,37.0,64.0,36.0,35.0,67.0,66.0,23.0,2.0,9.0
35.0,Mohammad Sadegh Majidi (محمد صادق مجیدی),730.0,19.0,116.0,10.0,1.0,1.0,1.0,33.0,47.0,53.0,36.0,12.0,233.0,134.0,23.0,2.0,9.0
36.0,Arashk Alivandi (ارشک علیوندی),734.0,151.0,61.0,83.0,60.0,16.0,22.0,33.0,27.0,102.0,36.0,27.0,57.0,44.0,4.0,2.0,9.0
37.0,Ehsan Rajabi Vahdat (احسان رجبی وحدت),739.0,56.0,89.0,59.0,63.0,26.0,22.0,28.0,47.0,46.0,29.0,59.0,138.0,50.0,16.0,2.0,9.0
38.0,Mir Amir Hosein Hoseini (مير امير حسين حسيني),741.0,65.0,103.0,56.0,26.0,3.0,21.0,8.0,40.0,67.0,36.0,59.0,164.0,59.0,23.0,2.0,9.0
39.0,Kasra Abbasi (كسری عباسى),749.0,62.0,166.0,46.0,53.0,19.0,22.0,33.0,47.0,93.0,36.0,55.0,43.0,40.0,23.0,2.0,9.0
40.0,Parsa Mohammadi (پارسا محمدی),751.0,132.0,133.0,66.0,56.0,26.0,22.0,33.0,37.0,40.0,36.0,39.0,46.0,69.0,5.0,2.0,9.0
41.0,Seyed Amirparsa Hosseini Nayeri (سید امیرپارسا حسینی نیری),798.0,23.0,74.0,8.0,9.0,26.0,22.0,13.0,11.0,17.0,36.0,6.0,407.0,134.0,1.0,2.0,9.0
42.0,Mehrdad Navidian Mehr (مهرداد نویدیان مهر),802.0,140.0,103.0,123.0,82.0,26.0,22.0,12.0,17.0,82.0,19.0,30.0,74.0,43.0,23.0,2.0,4.0
43.0,Amir Reza Motallebi (امیر رضا مطلبی),815.0,82.0,102.0,100.0,123.0,26.0,22.0,33.0,47.0,55.0,36.0,59.0,76.0,20.0,23.0,2.0,9.0
44.0,Parsa Irani (پارسا ایرانی),851.0,36.0,41.0,122.0,73.0,26.0,22.0,33.0,47.0,56.0,36.0,41.0,150.0,134.0,23.0,2.0,9.0
45.0,Aria Aghabozorgi,855.0,61.0,131.0,57.0,123.0,26.0,22.0,33.0,47.0,113.0,36.0,59.0,79.0,34.0,23.0,2.0,9.0
46.0,Erfan Memariani (عرفان معماریانی),871.0,102.0,246.0,60.0,49.0,26.0,22.0,33.0,47.0,80.0,36.0,59.0,23.0,54.0,23.0,2.0,9.0
46.0,Ali Reza Pour Abedini (علی رضا پورعابدینی),871.0,66.0,69.0,43.0,35.0,26.0,22.0,33.0,34.0,65.0,17.0,59.0,234.0,134.0,23.0,2.0,9.0
48.0,Alireza Mohamadzadeh (علیرضا محمدزاده),877.0,143.0,61.0,27.0,123.0,26.0,22.0,33.0,47.0,91.0,36.0,51.0,95.0,88.0,23.0,2.0,9.0
49.0,Amir Mohammad Ehsani (امیرمحمد احسانی),894.0,128.0,82.0,35.0,62.0,26.0,22.0,33.0,47.0,77.0,36.0,59.0,119.0,134.0,23.0,2.0,9.0
50.0,Mohammad Hadi Yazdanian Ardestani (محمد هادی یزدانیان اردستانی),897.0,47.0,111.0,256.0,123.0,26.0,22.0,33.0,47.0,23.0,36.0,59.0,27.0,53.0,23.0,2.0,9.0
51.0,Seyyed Parsa Ghasemi (سید پارسا قاسمی),902.0,99.0,72.0,125.0,123.0,26.0,22.0,33.0,47.0,54.0,36.0,59.0,38.0,134.0,23.0,2.0,9.0
52.0,Mohammad Mahyar Mohammadi (محمد مهیار محمدی),911.0,51.0,32.0,38.0,45.0,26.0,22.0,33.0,47.0,149.0,36.0,9.0,255.0,134.0,23.0,2.0,9.0
53.0,Mohammad Hossein Meftah (محمد حسین مفتاح),918.0,87.0,147.0,133.0,65.0,26.0,22.0,33.0,47.0,52.0,36.0,59.0,43.0,134.0,23.0,2.0,9.0
54.0,Yasin Rajabi (یاسین رجبی),924.0,112.0,35.0,30.0,123.0,26.0,22.0,33.0,11.0,60.0,36.0,59.0,209.0,134.0,23.0,2.0,9.0
55.0,Mohammad Reza Karimi (محمد رضا کریمی),934.0,26.0,3.0,256.0,123.0,26.0,22.0,33.0,47.0,3.0,36.0,59.0,132.0,134.0,23.0,2.0,9.0
56.0,Iliya Froughi (ایلیا فروغی),936.0,85.0,17.0,128.0,123.0,26.0,22.0,33.0,24.0,84.0,14.0,59.0,273.0,17.0,20.0,2.0,9.0
57.0,Arses Shahravan (آرسس شهروان),938.0,57.0,191.0,86.0,123.0,26.0,22.0,33.0,47.0,111.0,3.0,59.0,33.0,134.0,2.0,2.0,9.0
58.0,Mahan Bagheri (ماهان باقری),939.0,123.0,169.0,54.0,50.0,26.0,22.0,33.0,47.0,114.0,36.0,59.0,38.0,134.0,23.0,2.0,9.0
59.0,Shayan Abedin (شايان عابدين),943.0,72.0,37.0,169.0,123.0,26.0,22.0,33.0,47.0,143.0,36.0,59.0,8.0,134.0,23.0,2.0,9.0
60.0,Masood Ghorbani (مسعود قربانی),951.0,115.0,18.0,75.0,123.0,26.0,22.0,33.0,47.0,160.0,36.0,59.0,69.0,134.0,23.0,2.0,9.0
61.0,Sajad Saghafi (سجاد ثقفی),969.0,93.0,172.0,148.0,61.0,26.0,22.0,33.0,47.0,115.0,36.0,59.0,65.0,58.0,23.0,2.0,9.0
62.0,Mohammad Hosseini Aeinehvand (محمد حسین آئینه وند),971.0,214.0,149.0,114.0,70.0,26.0,22.0,33.0,47.0,85.0,36.0,28.0,103.0,15.0,18.0,2.0,9.0
63.0,Alireza Heshmati (علیرضا حشمتی),992.0,115.0,163.0,161.0,123.0,26.0,22.0,33.0,47.0,144.0,36.0,26.0,21.0,41.0,23.0,2.0,9.0
64.0,Sepehr Lotfi (سپهر لطفی),993.0,160.0,39.0,256.0,123.0,26.0,22.0,33.0,46.0,169.0,5.0,59.0,3.0,18.0,23.0,2.0,9.0
65.0,Erfan Norozi (عرفان نوروزی),1002.0,88.0,65.0,106.0,123.0,26.0,22.0,33.0,47.0,120.0,36.0,59.0,153.0,90.0,23.0,2.0,9.0
66.0,Mohammad Mahdi Khosravi (محمد مهدی خسروی),1004.0,2.0,28.0,24.0,123.0,26.0,22.0,33.0,47.0,29.0,36.0,59.0,407.0,134.0,23.0,2.0,9.0
67.0,Pouya Parehkar (پویا پاره کار),1005.0,31.0,60.0,51.0,40.0,26.0,22.0,33.0,47.0,25.0,36.0,59.0,407.0,134.0,23.0,2.0,9.0
68.0,Majid Alizadeh (مجید علیزاده),1008.0,96.0,25.0,36.0,37.0,26.0,22.0,33.0,47.0,21.0,36.0,54.0,407.0,134.0,23.0,2.0,9.0
69.0,Mohammad Ali Salimian (محمد علی سلیمیان),1022.0,107.0,162.0,132.0,123.0,26.0,22.0,33.0,47.0,72.0,36.0,59.0,35.0,134.0,23.0,2.0,9.0
70.0,Sina Salehpour (سینا صالح پور),1025.0,199.0,124.0,32.0,19.0,10.0,16.0,33.0,36.0,147.0,2.0,59.0,180.0,134.0,23.0,2.0,9.0
71.0,Armin Soleimani (آرمین سلیمانی),1032.0,16.0,195.0,7.0,3.0,26.0,22.0,33.0,47.0,13.0,36.0,59.0,407.0,134.0,23.0,2.0,9.0
72.0,Taha Alavi (طاها علوی),1034.0,112.0,90.0,256.0,123.0,26.0,22.0,33.0,47.0,135.0,36.0,59.0,28.0,33.0,23.0,2.0,9.0
73.0,Benyamin Seddiqi (بنیامین صدیقی),1042.0,159.0,20.0,256.0,123.0,26.0,22.0,33.0,47.0,164.0,36.0,59.0,40.0,23.0,23.0,2.0,9.0
74.0,Parsa Janati (پارسا جنتی),1044.0,70.0,106.0,49.0,123.0,26.0,22.0,33.0,47.0,264.0,36.0,59.0,41.0,134.0,23.0,2.0,9.0
