Rank,name,Sum,333,222,444,pyram,skewb
1.0,David Haidarov (Давид Хайдаров),7.0,1.0,2.0,2.0,1.0,1.0
2.0,Pavel Pekarskiy (Павел Пекарский),8.0,2.0,1.0,1.0,2.0,2.0
3.0,Artem Lukyanov (Артём Лукьянов),12.0,3.0,3.0,2.0,2.0,2.0
